epoch	train_task_loss	val_loss	expert_entropy	avg_depth	max_cos_sim	routing_accuracy
1	0.065658	0.021488	1.9315	2.86	0.0055	0.3020
2	0.020086	0.014879	1.9448	2.15	0.0076	0.0095
3	0.015351	0.014577	1.9440	2.20	0.0091	0.0862
4	0.014993	0.017850	1.9424	2.15	0.0113	0.0889
5	0.027932	0.024098	1.9420	2.08	0.0169	0.0828
6	0.020027	0.014547	1.9431	1.84	0.0172	0.0952
7	0.016356	0.015283	1.9436	2.25	0.0175	0.0749
8	0.014211	0.013178	1.9433	2.40	0.0183	0.0954
9	0.013204	0.010891	1.9425	2.71	0.0185	0.1160
10	0.012518	0.009938	1.9445	2.16	0.0187	0.3191
11	0.010859	0.010709	1.9442	2.15	0.0195	0.0162
12	0.010386	0.009929	1.9447	2.42	0.0199	0.0079
13	0.009872	0.009145	1.9446	2.28	0.0204	0.0099
14	0.009087	0.007323	1.9449	1.55	0.0213	0.0899
15	0.007457	0.006518	1.9435	2.43	0.0220	0.0847
16	0.006685	0.006797	1.9443	1.62	0.0223	0.2850
17	0.007539	0.007615	1.9437	1.83	0.0227	0.0086
18	0.008840	0.008909	1.9427	1.93	0.0244	0.0194
19	0.006301	0.005388	1.9429	2.05	0.0249	0.0816
20	0.005414	0.005101	1.9445	1.73	0.0248	0.2972
21	0.005359	0.005309	1.9452	2.84	0.0245	0.0088
22	0.008773	0.008424	1.9418	1.71	0.0275	0.0096
23	0.007020	0.005984	1.9434	2.24	0.0279	0.2488
24	0.005572	0.004584	1.9450	2.35	0.0271	0.0134
25	0.004848	0.004028	1.9446	2.48	0.0277	0.0114
26	0.004326	0.004012	1.9447	2.35	0.0276	0.0109
27	0.004110	0.003988	1.9446	2.27	0.0279	0.0114
28	0.004058	0.003751	1.9450	2.45	0.0277	0.0121
29	0.003772	0.003308	1.9450	2.34	0.0281	0.0113
30	0.003483	0.002805	1.9448	2.34	0.0279	0.0139
31	0.003291	0.002878	1.9450	2.62	0.0284	0.0112
32	0.003077	0.002689	1.9445	2.40	0.0283	0.0120
33	0.003069	0.002719	1.9449	2.58	0.0282	0.0120
34	0.002982	0.002718	1.9449	2.84	0.0283	0.0119
35	0.002884	0.002635	1.9450	2.48	0.0283	0.0117
36	0.002839	0.002579	1.9449	2.84	0.0285	0.0233
37	0.002843	0.002457	1.9449	2.67	0.0285	0.0113
38	0.002782	0.002457	1.9451	2.88	0.0286	0.0117
39	0.002774	0.002588	1.9450	2.74	0.0285	0.0124
40	0.002776	0.002404	1.9450	2.63	0.0287	0.0125
41	0.002792	0.002410	1.9450	2.79	0.0288	0.0230
42	0.002624	0.002401	1.9450	2.63	0.0288	0.0119
43	0.002664	0.002381	1.9451	2.78	0.0288	0.0124
44	0.002539	0.002375	1.9450	2.83	0.0288	0.0121
45	0.002582	0.002374	1.9450	2.72	0.0289	0.0118
46	0.002570	0.002327	1.9450	2.77	0.0289	0.0119
47	0.002602	0.002319	1.9451	2.76	0.0289	0.0116
48	0.002546	0.002318	1.9450	2.91	0.0289	0.0119
49	0.002549	0.002316	1.9450	2.91	0.0289	0.0121
50	0.002524	0.002319	1.9451	2.93	0.0289	0.0119
