metric,value
best_val_loss,0.002320
val_loss_epoch_50,0.002332
throughput_sequences_sec,3638.5740
throughput_tokens_sec,25470.0180
avg_recursion_depth,2.2599
expert_load_entropy,1.9347
expert_load/expert_0_pct,11.9137
expert_load/expert_1_pct,12.1525
expert_load/expert_2_pct,14.9142
expert_load/expert_3_pct,17.0052
expert_load/expert_4_pct,16.8541
expert_load/expert_5_pct,15.3737
expert_load/expert_6_pct,11.7865
recursion/avg_depth/E1_ADD_SUB,1.0364
recursion/avg_depth/E2_MULT_DIV,1.0288
recursion/avg_depth/E3_MOD_POW,1.7002
recursion/avg_depth/E4_LOGIC,6.6773
recursion/avg_depth/E5_SHIFT,6.5631
recursion/avg_depth/E6_SORT_STAT,1.2942
