epoch	train_task_loss	val_loss	expert_entropy	avg_depth	max_cos_sim	routing_accuracy
1	0.065184	0.025025	1.9275	5.00	0.0060	0.0448
2	0.016385	0.016434	1.9334	5.00	0.0070	0.0462
3	0.013864	0.011565	1.9340	5.00	0.0082	0.0339
4	0.011915	0.009690	1.9354	5.00	0.0091	0.0359
5	0.010541	0.011674	1.9354	5.00	0.0107	0.0424
6	0.008950	0.008224	1.9333	5.00	0.0115	0.0435
7	0.009160	0.035335	1.9300	5.00	0.0137	0.0314
8	0.021401	0.016494	1.9361	5.00	0.0264	0.0393
9	0.010809	0.008965	1.9366	5.00	0.0276	0.0378
10	0.007852	0.008047	1.9328	5.00	0.0277	0.0332
11	0.007183	0.007406	1.9323	5.00	0.0278	0.0336
12	0.006723	0.006816	1.9322	5.00	0.0281	0.0450
13	0.005468	0.004740	1.9320	5.00	0.0286	0.0355
14	0.005011	0.004469	1.9295	5.00	0.0292	0.0374
15	0.004241	0.004539	1.9278	5.00	0.0294	0.0395
16	0.004158	0.004037	1.9283	5.00	0.0298	0.0379
17	0.003584	0.002989	1.9252	5.00	0.0301	0.0362
18	0.003428	0.004129	1.9263	5.00	0.0306	0.0360
19	0.003318	0.002940	1.9251	5.00	0.0310	0.0360
20	0.003152	0.002908	1.9254	5.00	0.0313	0.0475
21	0.002900	0.002901	1.9236	5.00	0.0317	0.0387
22	0.002782	0.002324	1.9238	5.00	0.0321	0.0497
23	0.002724	0.002443	1.9237	5.00	0.0324	0.0356
24	0.002632	0.002183	1.9234	5.00	0.0324	0.0375
25	0.002504	0.002290	1.9228	5.00	0.0326	0.0377
26	0.002415	0.002326	1.9227	5.00	0.0328	0.0377
27	0.002364	0.002132	1.9222	5.00	0.0330	0.0369
28	0.002282	0.002200	1.9212	5.00	0.0333	0.0387
29	0.002278	0.002292	1.9219	5.00	0.0334	0.0446
30	0.002248	0.001934	1.9217	5.00	0.0337	0.0489
31	0.002125	0.001980	1.9220	5.00	0.0338	0.0478
32	0.002148	0.001955	1.9218	5.00	0.0338	0.0504
33	0.002066	0.001884	1.9215	5.00	0.0337	0.0387
34	0.002024	0.001994	1.9216	5.00	0.0339	0.0477
35	0.002011	0.002030	1.9213	5.00	0.0340	0.0393
36	0.001956	0.002041	1.9219	5.00	0.0342	0.0388
37	0.001897	0.001881	1.9222	5.00	0.0343	0.0403
38	0.001918	0.001826	1.9217	5.00	0.0344	0.0566
39	0.001844	0.001891	1.9211	5.00	0.0344	0.0520
40	0.001840	0.001871	1.9220	5.00	0.0345	0.0419
41	0.001796	0.001804	1.9221	5.00	0.0344	0.0425
42	0.001814	0.001808	1.9208	5.00	0.0343	0.0398
43	0.001774	0.001812	1.9221	5.00	0.0343	0.0430
44	0.001748	0.001803	1.9213	5.00	0.0343	0.0428
45	0.001711	0.001800	1.9208	5.00	0.0343	0.0403
46	0.001726	0.001797	1.9211	5.00	0.0343	0.0406
47	0.001703	0.001787	1.9216	5.00	0.0343	0.0403
48	0.001676	0.001778	1.9213	5.00	0.0343	0.0403
49	0.001703	0.001783	1.9212	5.00	0.0343	0.0402
50	0.001666	0.001781	1.9205	5.00	0.0343	0.0403
