epoch	train_task_loss	val_loss	expert_entropy_normalized	avg_depth	mean_cos_sim	max_cos_sim	routing_accuracy	routing_hungarian_acc	routing_ami
1	0.122317	N/A	N/A	2.00	N/A	N/A	N/A	N/A	N/A
2	0.075187	0.070813	N/A	2.00	N/A	N/A	N/A	N/A	N/A
3	0.073400	N/A	N/A	2.00	N/A	N/A	N/A	N/A	N/A
4	0.072761	0.069382	N/A	2.01	N/A	N/A	N/A	N/A	N/A
5	0.071665	N/A	N/A	1.95	N/A	N/A	N/A	N/A	N/A
6	0.070888	0.068111	N/A	2.04	N/A	N/A	N/A	N/A	N/A
7	0.069440	N/A	N/A	1.99	N/A	N/A	N/A	N/A	N/A
8	0.068857	0.066278	N/A	2.03	N/A	N/A	N/A	N/A	N/A
9	0.067904	N/A	N/A	2.05	N/A	N/A	N/A	N/A	N/A
10	0.067828	0.067885	N/A	2.01	N/A	N/A	N/A	N/A	N/A
11	0.067207	N/A	N/A	2.02	N/A	N/A	N/A	N/A	N/A
12	0.066715	0.064539	N/A	2.03	N/A	N/A	N/A	N/A	N/A
13	0.066950	N/A	N/A	2.04	N/A	N/A	N/A	N/A	N/A
14	0.066344	0.065365	N/A	1.99	N/A	N/A	N/A	N/A	N/A
15	0.066201	N/A	N/A	1.99	N/A	N/A	N/A	N/A	N/A
16	0.065395	0.066178	N/A	1.99	N/A	N/A	N/A	N/A	N/A
17	0.065552	N/A	N/A	1.99	N/A	N/A	N/A	N/A	N/A
18	0.065453	0.064410	N/A	2.04	N/A	N/A	N/A	N/A	N/A
19	0.065491	N/A	N/A	2.03	N/A	N/A	N/A	N/A	N/A
20	0.064861	0.064003	N/A	2.01	N/A	N/A	N/A	N/A	N/A
21	0.064478	N/A	N/A	1.97	N/A	N/A	N/A	N/A	N/A
22	0.064599	0.063514	N/A	2.00	N/A	N/A	N/A	N/A	N/A
23	0.064723	N/A	N/A	2.01	N/A	N/A	N/A	N/A	N/A
24	0.064257	0.063285	N/A	1.99	N/A	N/A	N/A	N/A	N/A
25	0.064189	N/A	N/A	2.01	N/A	N/A	N/A	N/A	N/A
26	0.063881	0.063539	N/A	2.00	N/A	N/A	N/A	N/A	N/A
27	0.064066	N/A	N/A	2.00	N/A	N/A	N/A	N/A	N/A
28	0.063691	0.063349	N/A	1.97	N/A	N/A	N/A	N/A	N/A
29	0.063740	N/A	N/A	1.99	N/A	N/A	N/A	N/A	N/A
30	0.063518	0.063706	N/A	1.97	N/A	N/A	N/A	N/A	N/A
31	0.063355	N/A	N/A	1.97	N/A	N/A	N/A	N/A	N/A
32	0.063136	0.063806	N/A	1.97	N/A	N/A	N/A	N/A	N/A
33	0.062884	N/A	N/A	2.00	N/A	N/A	N/A	N/A	N/A
34	0.062883	0.063216	N/A	1.99	N/A	N/A	N/A	N/A	N/A
35	0.062896	N/A	N/A	1.97	N/A	N/A	N/A	N/A	N/A
36	0.062628	0.062608	N/A	2.00	N/A	N/A	N/A	N/A	N/A
37	0.062450	N/A	N/A	1.99	N/A	N/A	N/A	N/A	N/A
38	0.062246	0.062865	N/A	1.99	N/A	N/A	N/A	N/A	N/A
39	0.062261	N/A	N/A	1.99	N/A	N/A	N/A	N/A	N/A
40	0.062114	0.062897	N/A	1.99	N/A	N/A	N/A	N/A	N/A
41	0.061941	N/A	N/A	1.98	N/A	N/A	N/A	N/A	N/A
42	0.061746	0.062738	N/A	2.00	N/A	N/A	N/A	N/A	N/A
43	0.061818	N/A	N/A	1.99	N/A	N/A	N/A	N/A	N/A
44	0.061638	0.062940	N/A	1.98	N/A	N/A	N/A	N/A	N/A
45	0.061501	N/A	N/A	1.99	N/A	N/A	N/A	N/A	N/A
46	0.061528	0.062996	N/A	1.99	N/A	N/A	N/A	N/A	N/A
47	0.061280	N/A	N/A	1.98	N/A	N/A	N/A	N/A	N/A
48	0.061333	0.062844	N/A	1.99	N/A	N/A	N/A	N/A	N/A
49	0.061122	N/A	N/A	1.99	N/A	N/A	N/A	N/A	N/A
50	0.061356	0.062872	N/A	1.99	N/A	N/A	N/A	N/A	N/A
