metric,value
depth_dist/step_1_pct,61.30924225
depth_dist/step_2_pct,28.09747756
depth_dist/step_3_pct,5.668907613
depth_dist/step_4_pct,1.495798305
depth_dist/step_5_pct,0.574789895
depth_dist/step_6_pct,0.324369757
depth_dist/step_7_pct,2.529411763
diag/max_pairwise_cosine_sim,0.010227891
epoch,50
perf/throughput_tokens_sec,"1,164.10"
train/aux_routing_loss,0.000692784
train/avg_recursion_steps,1.453703761
train/expert_load_entropy,0
train/halting_loss,0.054659311489392355the entire run t
train/task_loss,0.020011381
train/total_loss,0.38907653
val/loss,0.018211795
