epoch	train_task_loss	val_loss	expert_entropy	avg_depth	max_cos_sim
1	0.039421	nan	0.0248	1.19	0.0042
2	0.031804	nan	-0.0000	1.67	0.0042
3	0.030663	nan	-0.0000	1.91	0.0052
4	0.032074	nan	-0.0000	3.30	0.0046
5	0.041024	nan	0.0007	2.52	0.0064
6	0.042814	nan	0.0015	2.05	0.0088
7	0.036685	nan	-0.0000	1.84	0.0101
8	0.039671	nan	0.0194	2.23	0.0114
9	0.035893	nan	-0.0000	1.96	0.0104
10	0.041126	0.039944	-0.0000	1.73	0.0109
11	0.039411	nan	-0.0000	1.48	0.0115
12	0.049305	nan	0.0001	1.73	0.0122
13	0.047524	nan	-0.0000	2.02	0.0133
14	0.046692	nan	-0.0000	2.32	0.0143
15	0.047127	nan	-0.0000	1.87	0.0136
16	0.042496	nan	-0.0000	1.60	0.0126
17	0.040025	nan	0.0008	1.44	0.0109
18	0.034621	nan	0.0003	1.60	0.0110
19	0.033641	nan	-0.0000	1.71	0.0119
20	0.032366	0.032994	-0.0000	1.57	0.0114
21	0.031173	nan	-0.0000	1.26	0.0130
22	0.032999	nan	0.0003	1.57	0.0121
23	0.031343	nan	-0.0000	1.56	0.0120
24	0.029357	nan	-0.0000	1.27	0.0129
25	0.029725	nan	-0.0000	1.58	0.0123
26	0.030364	nan	0.0003	1.77	0.0119
27	0.028383	nan	-0.0000	1.51	0.0123
28	0.025541	nan	0.0007	1.46	0.0118
29	0.026226	nan	-0.0000	1.53	0.0111
30	0.024745	0.022548	-0.0000	1.44	0.0110
31	0.024044	nan	0.0001	1.47	0.0106
32	0.023697	nan	-0.0000	1.50	0.0104
33	0.023248	nan	-0.0000	1.38	0.0103
34	0.022582	nan	-0.0000	1.44	0.0102
35	0.022906	nan	-0.0000	1.50	0.0101
36	0.022008	nan	-0.0000	1.47	0.0101
37	0.022159	nan	-0.0000	1.62	0.0098
38	0.021480	nan	-0.0000	1.61	0.0102
39	0.021040	nan	-0.0000	1.47	0.0101
40	0.020818	0.018874	-0.0000	1.55	0.0099
41	0.020608	nan	-0.0000	1.57	0.0100
42	0.020585	nan	-0.0000	1.73	0.0101
43	0.020364	nan	-0.0000	1.59	0.0102
44	0.020323	nan	-0.0000	1.69	0.0101
45	0.020332	nan	-0.0000	1.55	0.0102
46	0.020338	nan	-0.0000	1.46	0.0102
47	0.020074	nan	-0.0000	1.79	0.0102
48	0.019829	nan	-0.0000	1.74	0.0102
49	0.020088	nan	-0.0000	1.47	0.0102
50	0.020011	0.018212	-0.0000	1.45	0.0102
