Router gradient norm: 3.096125 | Noise scales: ['0.1000', '0.1000']
Router gradient norm: 2.178820 | Noise scales: ['0.1010', '0.1010']
Router gradient norm: 2.363420 | Noise scales: ['0.1020', '0.1011']
Router gradient norm: 2.511870 | Noise scales: ['0.1030', '0.1017']
Router gradient norm: 2.227216 | Noise scales: ['0.1030', '0.1019']
Router gradient norm: 4.450591 | Noise scales: ['0.1026', '0.1023']
Router gradient norm: 4.691536 | Noise scales: ['0.1020', '0.1027']
Router gradient norm: 2.713152 | Noise scales: ['0.1016', '0.1029']
Router gradient norm: 3.033330 | Noise scales: ['0.1014', '0.1029']
Router gradient norm: 3.789056 | Noise scales: ['0.1011', '0.1030']
Router gradient norm: 2.096746 | Noise scales: ['0.1010', '0.1032']
Router gradient norm: 1.354190 | Noise scales: ['0.1008', '0.1034']
Router gradient norm: 1.657742 | Noise scales: ['0.1006', '0.1039']
Router gradient norm: 1.601915 | Noise scales: ['0.1003', '0.1045']
Router gradient norm: 3.029009 | Noise scales: ['0.1000', '0.1048']
Router gradient norm: 2.112792 | Noise scales: ['0.0996', '0.1052']
Router gradient norm: 1.744291 | Noise scales: ['0.0991', '0.1054']
Router gradient norm: 1.632609 | Noise scales: ['0.0986', '0.1057']
Router gradient norm: 1.120707 | Noise scales: ['0.0982', '0.1059']
Router gradient norm: 1.000328 | Noise scales: ['0.0977', '0.1062']
Router gradient norm: 1.166780 | Noise scales: ['0.0975', '0.1060']
Router gradient norm: 1.466918 | Noise scales: ['0.0971', '0.1059']
Router gradient norm: 1.186424 | Noise scales: ['0.0965', '0.1058']
Router gradient norm: 0.911248 | Noise scales: ['0.0960', '0.1057']
Router gradient norm: 1.003236 | Noise scales: ['0.0955', '0.1056']
Router gradient norm: 0.983929 | Noise scales: ['0.0950', '0.1055']
Router gradient norm: 3.124333 | Noise scales: ['0.0946', '0.1054']
Router gradient norm: 1.121637 | Noise scales: ['0.0943', '0.1054']
Router gradient norm: 1.177350 | Noise scales: ['0.0942', '0.1053']
Router gradient norm: 1.679276 | Noise scales: ['0.0940', '0.1053']
Router gradient norm: 1.334910 | Noise scales: ['0.0935', '0.1053']
Router gradient norm: 1.063466 | Noise scales: ['0.0930', '0.1051']
Router gradient norm: 1.069879 | Noise scales: ['0.0926', '0.1046']
Router gradient norm: 0.748318 | Noise scales: ['0.0921', '0.1042']
Router gradient norm: 1.021170 | Noise scales: ['0.0916', '0.1035']
Router gradient norm: 1.082270 | Noise scales: ['0.0913', '0.1030']
Router gradient norm: 0.713952 | Noise scales: ['0.0911', '0.1025']
Router gradient norm: 0.897912 | Noise scales: ['0.0908', '0.1021']
Router gradient norm: 0.852922 | Noise scales: ['0.0905', '0.1017']
Router gradient norm: 0.885802 | Noise scales: ['0.0903', '0.1013']
Router gradient norm: 0.808443 | Noise scales: ['0.0900', '0.1009']
Router gradient norm: 0.762431 | Noise scales: ['0.0898', '0.1006']
Router gradient norm: 0.943777 | Noise scales: ['0.0897', '0.1003']
Router gradient norm: 1.188172 | Noise scales: ['0.0896', '0.1001']
Router gradient norm: 0.663320 | Noise scales: ['0.0893', '0.0999']
Router gradient norm: 0.457851 | Noise scales: ['0.0889', '0.0997']
Router gradient norm: 0.816512 | Noise scales: ['0.0886', '0.0994']
Router gradient norm: 1.754236 | Noise scales: ['0.0882', '0.0992']
Router gradient norm: 0.706378 | Noise scales: ['0.0878', '0.0989']
Router gradient norm: 0.888718 | Noise scales: ['0.0874', '0.0986']
