metric,architecture,mean,std,n_numeric,n_na,n_bool
architecture,moe,N/A,N/A,0,5,0
architecture,mor,N/A,N/A,0,5,0
architecture,more,N/A,N/A,0,5,0
best_val_loss,moe,3.952933343,0.03962369725,5,0,0
best_val_loss,mor,3.520222442,0.0405551235,5,0,0
best_val_loss,more,3.503064136,0.01332645867,5,0,0
config_hash,moe,N/A,N/A,0,5,0
config_hash,mor,N/A,N/A,0,5,0
config_hash,more,N/A,N/A,0,5,0
depth/allocation_error_abs,moe,N/A,N/A,0,5,0
depth/allocation_error_abs,mor,N/A,N/A,0,5,0
depth/allocation_error_abs,more,N/A,N/A,0,5,0
depth/allocation_error_rel,moe,N/A,N/A,0,5,0
depth/allocation_error_rel,mor,N/A,N/A,0,5,0
depth/allocation_error_rel,more,N/A,N/A,0,5,0
depth/by_document/between,moe,N/A,N/A,0,5,0
depth/by_document/between,mor,0.01327808659,0.02001498773,5,0,0
depth/by_document/between,more,7.378327322e-05,5.045968666e-05,5,0,0
depth/by_document/between_share,moe,N/A,N/A,0,5,0
depth/by_document/between_share,mor,0.01042122057,0.009904810134,5,0,0
depth/by_document/between_share,more,0.0003011732994,0.0002194413494,5,0,0
depth/by_document/n_documents,moe,N/A,N/A,0,5,0
depth/by_document/n_documents,mor,61,0,5,0,0
depth/by_document/n_documents,more,61,0,5,0,0
depth/by_document/per_document_mean_max,moe,N/A,N/A,0,5,0
depth/by_document/per_document_mean_max,mor,6.739592967,0.3365699356,5,0,0
depth/by_document/per_document_mean_max,more,6.961462847,0.02351612153,5,0,0
depth/by_document/per_document_mean_min,moe,N/A,N/A,0,5,0
depth/by_document/per_document_mean_min,mor,4.141867044,1.519857398,5,0,0
depth/by_document/per_document_mean_min,more,3.789257356,2.472778978,5,0,0
depth/by_document/per_document_mean_std,moe,N/A,N/A,0,5,0
depth/by_document/per_document_mean_std,mor,0.3405687195,0.1771898951,5,0,0
depth/by_document/per_document_mean_std,more,0.4017327751,0.3124605025,5,0,0
depth/by_document/sum_matches_total,moe,N/A,N/A,0,5,0
depth/by_document/sum_matches_total,mor,1,0,5,0,0
depth/by_document/sum_matches_total,more,1,0,5,0,0
depth/by_document/total,moe,N/A,N/A,0,5,0
depth/by_document/total,mor,0.7369605346,0.714145544,5,0,0
depth/by_document/total,more,0.2655087046,0.08160691155,5,0,0
depth/by_document/within,moe,N/A,N/A,0,5,0
depth/by_document/within,mor,0.723682448,0.6947722174,5,0,0
