experiment_id,experiment_group,architecture,variant,seed_declared,resolved_seed,dataset_version,train_split_version,config_hash,code_git_commit,code_git_dirty,total_params,resolved_epochs,resolved_subset_fraction,run_dir,architecture,best_val_loss,config_hash,depth/allocation_error_abs,depth/allocation_error_rel,depth_dist/step_1_pct,depth_dist/step_2_pct,depth_dist/step_3_pct,depth_dist/step_4_pct,depth_dist/step_5_pct,depth_dist/step_6_pct,depth_dist/step_7_pct,diag/max_pairwise_cosine_sim,diag/mean_pairwise_cosine_sim,dispatch/capacity_policy,dispatch/evals_per_token,dispatch/expert_evaluations,dispatch/experts_called_max,dispatch/max_load_fraction,dispatch/overflow_rate,dispatch/overflow_tokens,dispatch/router_noise,dispatch/router_noise_scale,dispatch/routing_mode,dispatch/tokens_dispatched,epoch,experiment_group,experiment_id,expert_load/expert_0_pct,expert_load/expert_1_pct,expert_load/expert_2_pct,expert_load/expert_3_pct,expert_load/expert_4_pct,expert_load/expert_5_pct,halt/early_exit_rate,halt/early_exits,halt/forced_exit_rate,halt/forced_exits,halt/mean_halt_mass,halt/mean_remainder,halting_mode,num_experts,perf/throughput_tokens_sec,prov/total_params,recursion/avg_depth_by_family/E1_ADD_SUB,recursion/avg_depth_by_family/E2_MULT_DIV,recursion/avg_depth_by_family/E3_MOD_POW,recursion/avg_depth_by_family/E4_LOGIC,recursion/avg_depth_by_family/E5_SHIFT,recursion/avg_depth_by_family/E6_SORT_STAT,recursion/avg_depth_by_op/ADD,recursion/avg_depth_by_op/AND,recursion/avg_depth_by_op/DIV,recursion/avg_depth_by_op/MAX,recursion/avg_depth_by_op/MEDIAN,recursion/avg_depth_by_op/MIN,recursion/avg_depth_by_op/MOD,recursion/avg_depth_by_op/MULT,recursion/avg_depth_by_op/NOT,recursion/avg_depth_by_op/OR,recursion/avg_depth_by_op/POW,recursion/avg_depth_by_op/SHIFT_L,recursion/avg_depth_by_op/SHIFT_R,recursion/avg_depth_by_op/SORT,recursion/avg_depth_by_op/SUB,recursion/avg_depth_by_op/XOR,router_noise,routing_balance_normalization,routing_mode,train/aux_routing_loss,train/avg_recursion_steps,train/balance_to_task_ratio,train/classification_loss,train/entropy_term,train/entropy_term_normalized,train/expert_load_entropy_normalized,train/family_cls_loss,train/halting_loss,train/halting_supervision_loss,train/ponder_cost,train/routing_balance_loss,train/step_routing_loss,train/switch_aux_term,train/task_loss,train/total_loss,val/loss,val/routing_accuracy,val/routing_ami,val/routing_collapsed_experts,val/routing_f1/E1_ADD_SUB,val/routing_f1/E2_MULT_DIV,val/routing_f1/E3_MOD_POW,val/routing_f1/E4_LOGIC,val/routing_f1/E5_SHIFT,val/routing_f1/E6_SORT_STAT,val/routing_f1_matched/E1_ADD_SUB,val/routing_f1_matched/E2_MULT_DIV,val/routing_f1_matched/E3_MOD_POW,val/routing_f1_matched/E4_LOGIC,val/routing_f1_matched/E5_SHIFT,val/routing_f1_matched/E6_SORT_STAT,val/routing_hungarian_accuracy,val/routing_hungarian_assignment,val/routing_macro_recall,val/routing_matched_macro_recall,val/routing_precision/E1_ADD_SUB,val/routing_precision/E2_MULT_DIV,val/routing_precision/E3_MOD_POW,val/routing_precision/E4_LOGIC,val/routing_precision/E5_SHIFT,val/routing_precision/E6_SORT_STAT,val/routing_precision_matched/E1_ADD_SUB,val/routing_precision_matched/E2_MULT_DIV,val/routing_precision_matched/E3_MOD_POW,val/routing_precision_matched/E4_LOGIC,val/routing_precision_matched/E5_SHIFT,val/routing_precision_matched/E6_SORT_STAT,val/routing_purity,val/routing_recall/E1_ADD_SUB,val/routing_recall/E2_MULT_DIV,val/routing_recall/E3_MOD_POW,val/routing_recall/E4_LOGIC,val/routing_recall/E5_SHIFT,val/routing_recall/E6_SORT_STAT,val/routing_recall_matched/E1_ADD_SUB,val/routing_recall_matched/E2_MULT_DIV,val/routing_recall_matched/E3_MOD_POW,val/routing_recall_matched/E4_LOGIC,val/routing_recall_matched/E5_SHIFT,val/routing_recall_matched/E6_SORT_STAT,val/task_loss,val_offline/avg_recursion_steps,val_offline/depth_allocation_error_abs,val_offline/depth_allocation_error_rel,val_offline/early_exit_rate,val_offline/forced_exit_rate,val_offline/mean_remainder
phaseB_moe_seed42__c35fe8b6,canonical_phase_b,moe,canonical,True,42,more6-v1-seed42-n70000-3c1087b6aad9,fixed-file-splits-v1,c35fe8b62eb5ce58e9cfc90c7084c11ab2b723aec812f5caad3f19cff755615e,f7166b4fa4f5dcf34d0284fcaa5a686ad4d835f9,True,3201555,50,1.0,phaseB_moe_seed42__c35fe8b6,N/A,0.0629156479196889,N/A,N/A,N/A,100.0,N/A,N/A,N/A,N/A,N/A,N/A,0.03723709285259247,0.024776691012084483,N/A,1.0,224450.0,6.0,0.2235376089811325,0.0,0.0,N/A,0.0,N/A,224450.0,50,N/A,N/A,17.280909419059753,18.43038499355316,20.369793474674225,16.779683530330658,14.389395713806152,12.74983286857605,N/A,0.0,N/A,224450.0,N/A,N/A,N/A,6,8257.489793050314,3201555,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,N/A,N/A,N/A,-0.7974523451083746,N/A,0.013253899940607997,5.231592004770974e-05,1.78567600555909,0.9966047542801122,0.9935809373855591,5.231592004770974e-05,N/A,0.0,N/A,-0.7974523451083746,0.6143538248844636,0.9882236604507153,0.06016737327743799,0.05939607900113632,0.06309038685475077,0.19316635589376607,0.5012889876319025,N/A,0.013582342954159592,0.4122862571247625,0.0,0.2926899739959549,0.0,0.3502718033561806,0.42093441150044925,0.39555702917771884,0.5667533261966662,0.665556480710519,0.36692121437884156,0.5957573354480571,0.5226528246736885,N/A,0.17538299910836863,0.5157335646460212,0.010889292196007259,0.3516068052930057,0.0,0.2962854635858438,0.0,0.6031746031746031,0.38135938135938136,0.34893243638490784,0.6445217391304348,0.6475830407777478,0.29794313369630976,0.7359784472201812,0.5745099027364814,0.01804511278195489,0.49827784156142363,0.0,0.2891807022552098,0.0,0.24679433805162365,0.46967418546365913,0.4565633371603521,0.5057314410480349,0.6845560947759064,0.4774600096946195,0.5004163197335554,0.06309038685475077,N/A,N/A,N/A,N/A,N/A,N/A
phaseB_moe_seed43__33afa654,canonical_phase_b,moe,canonical,True,43,more6-v1-seed42-n70000-3c1087b6aad9,fixed-file-splits-v1,33afa654b0f09cc5cd5886392d211bfaa78f18f1219ccd71b0adcf1614895aec,f7166b4fa4f5dcf34d0284fcaa5a686ad4d835f9,True,3201555,50,1.0,phaseB_moe_seed43__33afa654,N/A,0.06286902381266866,N/A,N/A,N/A,100.0,N/A,N/A,N/A,N/A,N/A,N/A,0.08815789222717285,0.03495728832979997,N/A,1.0,224450.0,6.0,0.25932443141937256,0.0,0.0,N/A,0.0,N/A,224450.0,50,N/A,N/A,15.34818410873413,16.775228083133698,9.520160406827927,16.79304987192154,23.6636221408844,17.899754643440247,N/A,0.0,N/A,224450.0,N/A,N/A,N/A,6,8923.24747419035,3201555,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,N/A,N/A,N/A,-0.8084199145818368,N/A,0.013364275256224398,4.960421220181534e-05,1.785540832923009,0.9965293129954964,0.9820734262466431,4.960421220181534e-05,N/A,0.0,N/A,-0.8084199145818368,0.606983367449198,0.9771209183411721,0.060491115236893676,0.05970749722268337,0.06319453150459699,0.1336995413999899,0.384130170264989,N/A,0.3755424063116371,0.0,0.0791863421721758,0.0,0.0,0.3127372416701814,0.3755424063116371,0.43069798213695004,0.5537249283667621,0.24892580922371813,0.36719478098788444,0.39709443099273606,0.40240890994305295,N/A,0.1306086108325121,0.43222820317373656,0.30959349593495933,0.0,0.11834961997828447,0.0,0.0,0.4262719172175913,0.30959349593495933,0.3792601223419749,0.4921477079796265,0.24978442081057775,0.29830405814657784,0.8458197611292074,0.4700902081338507,0.47719298245614034,0.0,0.05949781659388646,0.0,0.0,0.2469608659450458,0.47719298245614034,0.49827784156142363,0.6329148471615721,0.2480730802169569,0.4774600096946195,0.2594504579517069,0.06319453150459699,N/A,N/A,N/A,N/A,N/A,N/A
phaseB_moe_seed44__d522a4d0,canonical_phase_b,moe,canonical,True,44,more6-v1-seed42-n70000-3c1087b6aad9,fixed-file-splits-v1,d522a4d06d8d4528fd8a303b9862936020ce9c84a25170b650f2c4a8bb9d4610,f7166b4fa4f5dcf34d0284fcaa5a686ad4d835f9,True,3201555,50,1.0,phaseB_moe_seed44__d522a4d0,N/A,0.06284258115291595,N/A,N/A,N/A,100.0,N/A,N/A,N/A,N/A,N/A,N/A,0.06155092269182205,0.01870388809281091,N/A,1.0,224450.0,6.0,0.22789233922958374,0.0,0.0,N/A,0.0,N/A,224450.0,50,N/A,N/A,16.76587164402008,17.412786185741425,20.632657408714294,15.360213816165924,11.65916696190834,18.169303238391876,N/A,0.0,N/A,224450.0,N/A,N/A,N/A,6,8336.915638258786,3201555,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,N/A,N/A,N/A,-0.7921832410188822,N/A,0.013115266898982307,4.3628642183298674e-05,1.7867940358626537,0.9972287388733374,0.992102861404419,4.3628642183298674e-05,N/A,0.0,N/A,-0.7921832410188822,0.6393018586513324,0.9946107948437716,0.060401610361459926,0.059631240578033984,0.06349245379652296,0.10053923297888424,0.6022987264892342,N/A,0.7536834151870041,0.0,0.0,0.0,0.0,0.0,0.7536834151870041,0.5332519829164124,0.4505215675218495,0.5082857540732488,0.347910279167339,0.6660002221481728,0.5445245174620773,N/A,0.16666666666666666,0.5801050266363258,0.6047287056683843,0.0,0.0,0.0,0.0,0.0,0.6047287056683843,0.5690104166666666,0.46588921282798834,0.4961935834692768,0.2607643928398645,1.0,0.6430479262208335,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5017221584385764,0.4361353711790393,0.5209820154153583,0.5225399903053806,0.49925062447960034,0.06349245379652296,N/A,N/A,N/A,N/A,N/A,N/A
phaseB_moe_seed45__5a7cb215,canonical_phase_b,moe,canonical,True,45,more6-v1-seed42-n70000-3c1087b6aad9,fixed-file-splits-v1,5a7cb215b7ccd495b54c714104bbf4dcfc622f43751022d190a5f341c35dc3c8,f7166b4fa4f5dcf34d0284fcaa5a686ad4d835f9,True,3201555,50,1.0,phaseB_moe_seed45__5a7cb215,N/A,0.06298318701131003,N/A,N/A,N/A,100.0,N/A,N/A,N/A,N/A,N/A,N/A,0.039269305765628815,0.017839628892640274,N/A,1.0,224450.0,6.0,0.2504323720932007,0.0,0.0,N/A,0.0,N/A,224450.0,50,N/A,N/A,11.43372654914856,22.463800013065338,12.798841297626495,17.751392722129822,20.638003945350647,14.914235472679138,N/A,0.0,N/A,224450.0,N/A,N/A,N/A,6,8813.626085159633,3201555,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,N/A,N/A,N/A,-0.8122127797359076,N/A,0.013438235580028884,4.601969825065074e-05,1.7828604471989167,0.9950333612396243,0.9838694334030151,4.601969825065074e-05,N/A,0.0,N/A,-0.8122127797359076,0.5605007333633227,0.9706476674630091,0.06044043318774456,0.059651230151454605,0.06320289232475416,0.47593609837222195,0.5029091734972259,N/A,0.46488294314381273,0.7347110923660902,0.5973565441650547,0.29603794642857145,0.012776412776412777,0.6520763187429854,0.46488294314381273,0.7347110923660902,0.5973565441650547,0.23379721669980122,0.3763966480446928,0.6520763187429854,0.5192763191049741,N/A,0.466500336769613,0.5419230741624448,0.4440894568690096,0.5806666666666667,0.7295275590551181,0.28949522510231923,0.009648688767936665,1.0,0.4440894568690096,0.5806666666666667,0.7295275590551181,0.2182088075210292,0.2941336971350614,1.0,0.5779871995162021,0.48771929824561405,1.0,0.5057314410480349,0.3028832429346275,0.018904507998061076,0.48376353039134057,0.48771929824561405,1.0,0.5057314410480349,0.25178418498429916,0.5225399903053806,0.48376353039134057,0.06320289232475416,N/A,N/A,N/A,N/A,N/A,N/A
phaseB_moe_seed46__0c558a88,canonical_phase_b,moe,canonical,True,46,more6-v1-seed42-n70000-3c1087b6aad9,fixed-file-splits-v1,0c558a88b38fdb14498b35b4f3991ada00f8c446e864b6c7b2af1664dc2f563d,f7166b4fa4f5dcf34d0284fcaa5a686ad4d835f9,True,3201555,50,1.0,phaseB_moe_seed46__0c558a88,N/A,0.06248592976587159,N/A,N/A,N/A,100.0,N/A,N/A,N/A,N/A,N/A,N/A,0.029546769335865974,0.017349175953616697,N/A,1.0,224450.0,6.0,0.22442695498466492,0.0,0.0,N/A,0.0,N/A,224450.0,50,N/A,N/A,18.76319944858551,20.370684564113617,13.749164342880249,12.093116343021393,16.889284551143646,18.134550750255585,N/A,0.0,N/A,224450.0,N/A,N/A,N/A,6,8095.589344685491,3201555,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,N/A,N/A,N/A,-0.7921160482443296,N/A,0.01303582981449749,6.420767390525911e-05,1.7879053201430883,0.9978489584393674,0.9913985133171082,6.420767390525911e-05,N/A,0.0,N/A,-0.7921160482443296,0.5251068640977908,0.9957892718987588,0.06076452819009622,0.06000451585994317,0.06332002927575793,0.10467167263014665,0.5752447489876299,N/A,0.39193183794122766,0.0,0.0,0.31905961376994124,0.0,0.0,0.0,0.8205369759773905,0.527394336132062,0.4965341632479842,0.4178154825026511,0.5917089173874143,0.5131280552335836,N/A,0.13935139971920477,0.4966296008596958,0.30005324813631523,0.0,0.0,0.38743882544861336,0.0,0.0,0.0,0.6956869009584664,0.5509961344038061,0.49214806505888953,0.37141779788838614,0.7340897878638382,0.5916444086075694,0.5649122807017544,0.0,0.0,0.2711961176134742,0.0,0.0,0.0,1.0,0.5057314410480349,0.5009991435912076,0.4774600096946195,0.49558701082431306,0.06332002927575793,N/A,N/A,N/A,N/A,N/A,N/A
phaseB_mor_seed42__87d75af9,canonical_phase_b,mor,canonical,True,42,more6-v1-seed42-n70000-3c1087b6aad9,fixed-file-splits-v1,87d75af90e0f5361245b0381b41e60d49c77ed374e3b2c48d31d9811f1964a2b,f7166b4fa4f5dcf34d0284fcaa5a686ad4d835f9,True,3197710,50,1.0,phaseB_mor_seed42__87d75af9,N/A,0.0625092243041311,N/A,0.9724767108758291,0.6172461891785647,0.02405881095910445,98.4388530254364,0.7315660361200571,0.2704388462007046,0.24281577207148075,0.17197594279423356,0.12029404751956463,N/A,N/A,N/A,1.0,456231.0,1.0,1.0,0.0,0.0,N/A,0.0,N/A,456231.0,50,N/A,N/A,100.0,N/A,N/A,N/A,N/A,N/A,0.9987970594787258,224180.0,0.0012029405212742258,270.0,0.9999999946508652,0.12402431017313248,N/A,1,3367.642345288766,3197710,2.1012531328320803,2.0,2.0092794759825328,2.0650870682272338,2.074648570043626,2.0223147377185677,2.099691675231244,2.0189473684210526,2.0,2.0758988015978694,2.0032808398950133,2.0101282916948007,2.018348623853211,2.0,2.0275689223057642,2.141860465116279,2.0,2.1363636363636362,2.0071065989847714,2.0,2.1027397260273974,2.0737430167597766,N/A,N/A,N/A,N/A,2.048689126968384,N/A,3.278801292393697e-05,N/A,N/A,N/A,3.278801292393697e-05,0.2695992825887142,0.0,0.2695992825887142,N/A,0.5777013439398545,N/A,0.061774628141369574,0.062060620970068835,0.06262258014082908,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.06262258014082908,2.152226742624918,0.9890782833099365,0.6328475560460772,0.9932469888625712,0.006753011137428816,0.10057049563952855
phaseB_mor_seed43__93eb15bc,canonical_phase_b,mor,canonical,True,43,more6-v1-seed42-n70000-3c1087b6aad9,fixed-file-splits-v1,93eb15bcee558cfcd160e765ad2c5d19533314868125aa01c06a92bc6a666c57,f7166b4fa4f5dcf34d0284fcaa5a686ad4d835f9,True,3197710,50,1.0,phaseB_mor_seed43__93eb15bc,N/A,0.0626084580208574,N/A,0.9587466754974463,0.6066213150819143,3.112497180700302,95.52684426307678,1.1672978289425373,0.191133888438344,0.0022276675736065954,0.0,0.0,N/A,N/A,N/A,1.0,445407.0,1.0,1.0,0.0,0.0,N/A,0.0,N/A,445407.0,50,N/A,N/A,100.0,N/A,N/A,N/A,N/A,N/A,1.0,224450.0,0.0,0.0,0.9999999900658926,0.18849367361802322,N/A,1,5020.353102107245,3197710,2.0330827067669173,2.016456180635285,1.9699781659388647,2.016842706251784,1.5540475036354824,2.007493755203997,2.050359712230216,2.02,2.01906941266209,2.015312916111851,2.0039370078740157,2.0094530722484807,2.018348623853211,2.013824884792627,2.0275689223057642,2.0,1.920485919381557,1.1465677179962894,2.0,2.001335113484646,2.016634050880626,2.0201117318435755,N/A,N/A,N/A,N/A,1.9916729927062988,N/A,2.2237101755961656e-05,N/A,N/A,N/A,2.2237101755961656e-05,0.27162091739666766,0.0,0.27162091739666766,N/A,0.6149010895154415,N/A,0.061355700238774985,0.06163843998160118,0.06287191023571151,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.06287191023571151,2.1430334325628055,0.9332259808267865,0.5894173213413784,1.0,0.0,0.18278931294168746
phaseB_mor_seed44__5bb04148,canonical_phase_b,mor,canonical,True,44,more6-v1-seed42-n70000-3c1087b6aad9,fixed-file-splits-v1,5bb04148ebdf006ead8fcb4428e52042251eb762662236b4100353b6c50aecf1,f7166b4fa4f5dcf34d0284fcaa5a686ad4d835f9,True,3197710,50,1.0,phaseB_mor_seed44__5bb04148,N/A,0.06254529512354305,N/A,0.9548083681326646,0.6008191742958167,0.674537755548954,96.94586992263794,2.2009355947375298,0.16440186882391572,0.01425707305315882,0.0,0.0,N/A,N/A,N/A,1.0,453160.0,1.0,1.0,0.0,0.0,N/A,0.0,N/A,453160.0,50,N/A,N/A,100.0,N/A,N/A,N/A,N/A,N/A,1.0,224450.0,0.0,0.0,0.9999999908300546,0.13016350796589485,N/A,1,4803.361752603433,3197710,2.0456140350877194,2.0114810562571757,1.9716157205240175,2.045104196403083,2.0033931168201646,2.0139883430474605,2.049331963001028,2.0526315789473686,2.026697177726926,2.0199733688415447,2.020997375328084,2.0155300472653614,2.021046950890448,1.9961597542242704,2.0288220551378444,2.0441860465116277,1.921038100496963,2.0,2.0071065989847714,1.999332443257677,2.0420743639921723,2.052513966480447,N/A,N/A,N/A,N/A,2.0196220874786377,N/A,2.681708277426272e-05,N/A,N/A,N/A,2.681708277426272e-05,0.2686419368554384,0.0,0.2686419368554384,N/A,0.562765543277447,N/A,0.061459572364886604,0.06174162302452784,0.06270173181806292,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.06270173181806292,2.1133985280546037,0.9339802946363177,0.5857743620872498,1.0,0.0,0.1091238898890359
phaseB_mor_seed45__e5955ef2,canonical_phase_b,mor,canonical,True,45,more6-v1-seed42-n70000-3c1087b6aad9,fixed-file-splits-v1,e5955ef2bff8f02a3af826764a1eb7bf7aa6d34968ff3512238eba907ee988bc,f7166b4fa4f5dcf34d0284fcaa5a686ad4d835f9,True,3197710,50,1.0,phaseB_mor_seed45__e5955ef2,N/A,0.06249874422379902,N/A,0.9437072666791769,0.6030941231128497,1.0296279564499855,97.08933234214783,1.7701046541333199,0.10559144429862499,0.005346402394934557,0.0,0.0,N/A,N/A,N/A,1.0,451072.0,1.0,1.0,0.0,0.0,N/A,0.0,N/A,451072.0,50,N/A,N/A,100.0,N/A,N/A,N/A,N/A,N/A,1.0,224450.0,0.0,0.0,0.9999999954150274,0.16065779099097618,N/A,1,5142.455747329671,3197710,2.0385964912280703,1.9827784156142365,2.0068231441048034,2.0405366828432774,2.0,2.01781848459617,2.038026721479959,2.0736842105263156,2.0205949656750573,2.0219707057256993,2.0301837270341205,2.0222822417285617,2.0188882892606586,1.944700460829493,2.031328320802005,2.01046511627907,1.9944781888459415,2.0,2.0,1.9966622162883845,2.0391389432485325,2.042458100558659,N/A,N/A,N/A,N/A,2.020124912261963,N/A,2.6338517599446604e-05,N/A,N/A,N/A,2.6338517599446604e-05,0.27129943859882844,0.0,0.27129943859882844,N/A,0.5829605781115018,N/A,0.0613611294195438,0.0616455981746698,0.06274572857788631,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.06274572857788631,2.124209172866376,0.9325476544243949,0.5871787071228027,1.0,0.0,0.15857282068048204
phaseB_mor_seed46__2ffafc33,canonical_phase_b,mor,canonical,True,46,more6-v1-seed42-n70000-3c1087b6aad9,fixed-file-splits-v1,2ffafc337fc9ace74b6908d2bcc3d32ac022d936f3aad193c1eb0e4a8f7adb02,f7166b4fa4f5dcf34d0284fcaa5a686ad4d835f9,True,3197710,50,1.0,phaseB_mor_seed46__2ffafc33,N/A,0.06247304580892835,N/A,0.9249879297537681,0.574464521346948,0.7770104799419641,97.5954532623291,1.4190242625772953,0.17464914126321673,0.033415015786886215,0.0004455335329112131,0.0,N/A,N/A,N/A,1.0,451354.0,1.0,1.0,0.0,0.0,N/A,0.0,N/A,451354.0,50,N/A,N/A,100.0,N/A,N/A,N/A,N/A,N/A,1.0,224450.0,0.0,0.0,0.9999999961791894,0.10579275072385104,N/A,1,4537.4675280328265,3197710,2.039097744360902,2.0,1.9991812227074235,2.027690550956323,2.0014541929229277,2.019317235636969,2.035971223021583,2.0157894736842104,2.0,2.0426098535286283,2.0249343832021,2.014854827819041,2.018348623853211,2.0,2.026315789473684,2.031395348837209,1.9795692987299833,2.0,2.003045685279188,1.9946595460614152,2.0420743639921723,2.0379888268156425,N/A,N/A,N/A,N/A,2.004497766494751,N/A,2.678885233856421e-05,N/A,N/A,N/A,2.678885233856421e-05,0.2645836285291574,0.0,0.2645836285291574,N/A,0.5190467750414823,N/A,0.061552975613337294,0.061830953909800604,0.06258627298048565,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.06258627298048565,2.1087552177168902,0.922629041331155,0.5744066153253827,1.0,0.0,0.09032996850354331
