metric,architecture,mean,std,n_numeric,n_na,n_bool
architecture,moe,N/A,N/A,0,5,0
architecture,mor,N/A,N/A,0,5,0
architecture,more,N/A,N/A,0,5,0
best_val_loss,moe,0.06281927393,0.0001938375953,5,0,0
best_val_loss,mor,0.0625269535,5.242978371e-05,5,0,0
best_val_loss,more,0.06289154892,0.000215991147,5,0,0
config_hash,moe,N/A,N/A,0,5,0
config_hash,mor,N/A,N/A,0,5,0
config_hash,more,N/A,N/A,0,5,0
depth/allocation_error_abs,moe,N/A,N/A,0,5,0
depth/allocation_error_abs,mor,0.9509453902,0.01778735932,5,0,0
depth/allocation_error_abs,more,1.005457496,0.1154975421,5,0,0
depth/allocation_error_rel,moe,N/A,N/A,0,5,0
depth/allocation_error_rel,mor,0.6004490646,0.0158316919,5,0,0
depth/allocation_error_rel,more,0.6874761745,0.07938461966,5,0,0
depth_dist/step_1_pct,moe,100,0,5,0,0
depth_dist/step_1_pct,mor,1.123546437,1.172104384,5,0,0
depth_dist/step_1_pct,more,1.202494969,1.574551807,5,0,0
depth_dist/step_2_pct,moe,N/A,N/A,0,5,0
depth_dist/step_2_pct,mor,97.11927056,1.064757418,5,0,0
depth_dist/step_2_pct,more,92.66322136,3.183955716,5,0,0
depth_dist/step_3_pct,moe,N/A,N/A,0,5,0
depth_dist/step_3_pct,mor,1.457785675,0.5619376183,5,0,0
depth_dist/step_3_pct,more,4.878146648,3.794312622,5,0,0
depth_dist/step_4_pct,moe,N/A,N/A,0,5,0
depth_dist/step_4_pct,mor,0.1812430378,0.05938010863,5,0,0
depth_dist/step_4_pct,more,0.8438404789,1.05611828,5,0,0
depth_dist/step_5_pct,moe,N/A,N/A,0,5,0
depth_dist/step_5_pct,mor,0.05961238618,0.1031318212,5,0,0
depth_dist/step_5_pct,more,0.3068834875,0.4757623512,5,0,0
depth_dist/step_6_pct,moe,N/A,N/A,0,5,0
depth_dist/step_6_pct,mor,0.03448429527,0.07686040967,5,0,0
depth_dist/step_6_pct,more,0.08759189048,0.1351196004,5,0,0
depth_dist/step_7_pct,moe,N/A,N/A,0,5,0
depth_dist/step_7_pct,mor,0.0240588095,0.05379713351,5,0,0
depth_dist/step_7_pct,more,0.01782134103,0.02273094434,5,0,0
diag/max_pairwise_cosine_sim,moe,0.05115239657,0.02387039331,5,0,0
diag/max_pairwise_cosine_sim,mor,N/A,N/A,0,5,0
diag/max_pairwise_cosine_sim,more,0.0732555151,0.02608762219,5,0,0
