epoch	train_task_loss	val_loss	expert_entropy_normalized	avg_depth	mean_cos_sim	max_cos_sim	routing_accuracy	routing_hungarian_acc	routing_ami
1	0.087711	nan	0.9141	2.37	-0.0002	0.0048	N/A	N/A	N/A
2	0.076452	nan	0.9123	2.59	-0.0005	0.0038	N/A	N/A	N/A
3	0.074192	nan	0.8926	2.40	-0.0008	0.0036	N/A	N/A	N/A
4	0.071752	nan	0.8881	2.37	-0.0010	0.0041	N/A	N/A	N/A
5	0.071159	nan	0.9087	2.41	-0.0010	0.0043	N/A	N/A	N/A
6	0.070036	nan	0.8688	2.53	-0.0009	0.0049	N/A	N/A	N/A
7	0.068958	nan	0.8758	2.56	-0.0009	0.0049	N/A	N/A	N/A
8	0.068116	nan	0.8688	2.45	-0.0009	0.0052	N/A	N/A	N/A
9	0.067441	nan	0.8734	2.43	-0.0009	0.0051	N/A	N/A	N/A
10	0.066892	0.067309	0.8961	2.38	-0.0009	0.0051	1.0000	1.0000	1.0000
11	0.066337	nan	0.9048	2.32	-0.0008	0.0050	N/A	N/A	N/A
12	0.065884	nan	0.9055	2.32	-0.0007	0.0050	N/A	N/A	N/A
13	0.065421	nan	0.9051	2.30	-0.0007	0.0050	N/A	N/A	N/A
14	0.065293	nan	0.9051	2.32	-0.0007	0.0048	N/A	N/A	N/A
15	0.065031	nan	0.9051	2.31	-0.0007	0.0048	N/A	N/A	N/A
16	0.064536	nan	0.9051	2.31	-0.0006	0.0047	N/A	N/A	N/A
17	0.064181	nan	0.9051	2.30	-0.0006	0.0047	N/A	N/A	N/A
18	0.064047	nan	0.9053	2.32	-0.0006	0.0047	N/A	N/A	N/A
19	0.063787	nan	0.9053	2.31	-0.0006	0.0047	N/A	N/A	N/A
20	0.063747	0.063945	0.9053	2.29	-0.0006	0.0047	1.0000	1.0000	1.0000
