epoch	train_task_loss	val_loss	expert_entropy_normalized	avg_depth	mean_cos_sim	max_cos_sim	routing_accuracy	routing_hungarian_acc	routing_ami
1	0.087431	nan	0.8544	2.30	-0.0000	0.0049	N/A	N/A	N/A
2	0.076217	nan	0.8660	2.24	-0.0002	0.0043	N/A	N/A	N/A
3	0.074810	nan	0.8783	2.23	-0.0005	0.0030	N/A	N/A	N/A
4	0.073407	nan	0.8610	2.18	-0.0005	0.0035	N/A	N/A	N/A
5	0.071599	nan	0.8794	2.07	-0.0005	0.0032	N/A	N/A	N/A
6	0.071015	nan	0.8737	2.05	-0.0004	0.0032	N/A	N/A	N/A
7	0.069976	nan	0.8675	2.00	-0.0002	0.0034	N/A	N/A	N/A
8	0.068909	nan	0.8633	2.00	-0.0001	0.0036	N/A	N/A	N/A
9	0.068345	nan	0.8588	1.92	0.0000	0.0036	N/A	N/A	N/A
10	0.067782	0.067009	0.8628	2.09	0.0002	0.0038	1.0000	1.0000	1.0000
11	0.066959	nan	0.8668	2.05	0.0002	0.0042	N/A	N/A	N/A
12	0.066190	nan	0.8586	1.97	0.0003	0.0046	N/A	N/A	N/A
13	0.065708	nan	0.8594	1.89	0.0004	0.0048	N/A	N/A	N/A
14	0.065471	nan	0.8537	2.05	0.0004	0.0047	N/A	N/A	N/A
15	0.065298	nan	0.8538	2.06	0.0004	0.0048	N/A	N/A	N/A
16	0.064879	nan	0.8529	2.03	0.0005	0.0049	N/A	N/A	N/A
17	0.064393	nan	0.8502	2.03	0.0005	0.0049	N/A	N/A	N/A
18	0.064209	nan	0.8569	2.06	0.0005	0.0049	N/A	N/A	N/A
19	0.063940	nan	0.8551	2.01	0.0005	0.0049	N/A	N/A	N/A
20	0.064055	0.063985	0.8542	2.04	0.0005	0.0049	1.0000	1.0000	1.0000
