epoch	train_task_loss	val_loss	expert_entropy_normalized	avg_depth	mean_cos_sim	max_cos_sim	routing_accuracy	routing_hungarian_acc	routing_ami
1	0.081937	nan	0.9162	2.42	0.0006	0.0030	N/A	N/A	N/A
2	0.075753	nan	0.9101	2.24	0.0003	0.0027	N/A	N/A	N/A
3	0.074402	nan	0.8916	2.06	-0.0002	0.0023	N/A	N/A	N/A
4	0.072999	nan	0.8724	2.15	-0.0001	0.0019	N/A	N/A	N/A
5	0.071623	nan	0.8718	2.22	-0.0001	0.0018	N/A	N/A	N/A
6	0.070536	nan	0.8819	2.09	-0.0000	0.0033	N/A	N/A	N/A
7	0.069648	nan	0.8780	2.04	0.0003	0.0049	N/A	N/A	N/A
8	0.069697	nan	0.8785	1.92	0.0004	0.0059	N/A	N/A	N/A
9	0.068712	nan	0.8651	1.99	0.0005	0.0067	N/A	N/A	N/A
10	0.068210	0.067200	0.8618	2.04	0.0008	0.0078	1.0000	1.0000	1.0000
11	0.067203	nan	0.8648	2.09	0.0010	0.0082	N/A	N/A	N/A
12	0.066509	nan	0.8564	2.03	0.0011	0.0088	N/A	N/A	N/A
13	0.066694	nan	0.8646	2.08	0.0011	0.0089	N/A	N/A	N/A
14	0.066012	nan	0.8598	2.00	0.0011	0.0090	N/A	N/A	N/A
15	0.065420	nan	0.8595	1.98	0.0012	0.0090	N/A	N/A	N/A
16	0.064855	nan	0.8596	1.97	0.0012	0.0091	N/A	N/A	N/A
17	0.064803	nan	0.8605	2.08	0.0012	0.0091	N/A	N/A	N/A
18	0.064534	nan	0.8594	2.04	0.0013	0.0091	N/A	N/A	N/A
19	0.064463	nan	0.8604	2.07	0.0013	0.0091	N/A	N/A	N/A
20	0.064386	0.063749	0.8599	2.09	0.0013	0.0091	1.0000	1.0000	1.0000
