epoch	train_task_loss	val_loss	expert_entropy_normalized	avg_depth	mean_cos_sim	max_cos_sim	routing_accuracy	routing_hungarian_acc	routing_ami
1	0.089417	nan	0.8805	2.35	-0.0004	0.0036	N/A	N/A	N/A
2	0.076266	nan	0.8853	2.18	-0.0004	0.0034	N/A	N/A	N/A
3	0.074597	nan	0.8494	2.11	-0.0007	0.0028	N/A	N/A	N/A
4	0.072433	nan	0.8803	2.11	-0.0006	0.0027	N/A	N/A	N/A
5	0.072811	nan	0.8944	2.12	-0.0007	0.0025	N/A	N/A	N/A
6	0.071332	nan	0.8896	2.10	-0.0005	0.0026	N/A	N/A	N/A
7	0.069637	nan	0.8882	1.94	-0.0003	0.0038	N/A	N/A	N/A
8	0.068519	nan	0.8738	1.93	0.0000	0.0045	N/A	N/A	N/A
9	0.067525	nan	0.8665	1.96	0.0001	0.0051	N/A	N/A	N/A
10	0.067188	0.067410	0.8674	2.08	0.0003	0.0049	1.0000	1.0000	1.0000
11	0.066990	nan	0.8628	1.94	0.0004	0.0057	N/A	N/A	N/A
12	0.066109	nan	0.8655	1.99	0.0005	0.0059	N/A	N/A	N/A
13	0.065716	nan	0.8650	1.92	0.0005	0.0062	N/A	N/A	N/A
14	0.065430	nan	0.8603	1.99	0.0007	0.0063	N/A	N/A	N/A
15	0.065236	nan	0.8629	2.02	0.0007	0.0065	N/A	N/A	N/A
16	0.064606	nan	0.8633	1.96	0.0008	0.0067	N/A	N/A	N/A
17	0.064248	nan	0.8625	2.00	0.0008	0.0067	N/A	N/A	N/A
18	0.064107	nan	0.8640	2.09	0.0008	0.0067	N/A	N/A	N/A
19	0.064068	nan	0.8623	2.05	0.0008	0.0067	N/A	N/A	N/A
20	0.063858	0.064124	0.8624	2.04	0.0008	0.0067	1.0000	1.0000	1.0000
