epoch	train_task_loss	val_loss	expert_entropy_normalized	avg_depth	mean_cos_sim	max_cos_sim	routing_accuracy	routing_hungarian_acc	routing_ami
1	0.086848	nan	0.8886	2.86	-0.0002	0.0040	N/A	N/A	N/A
2	0.075490	nan	0.9115	2.55	-0.0002	0.0040	N/A	N/A	N/A
3	0.073765	nan	0.9106	2.28	0.0000	0.0040	N/A	N/A	N/A
4	0.072008	nan	0.9436	2.30	0.0001	0.0047	N/A	N/A	N/A
5	0.071193	nan	0.9360	2.25	0.0002	0.0050	N/A	N/A	N/A
6	0.070724	nan	0.9408	2.28	0.0007	0.0049	N/A	N/A	N/A
7	0.069553	nan	0.9258	2.31	0.0017	0.0070	N/A	N/A	N/A
8	0.068556	nan	0.9299	2.25	0.0021	0.0082	N/A	N/A	N/A
9	0.068014	nan	0.9410	2.19	0.0027	0.0096	N/A	N/A	N/A
10	0.067701	0.065583	0.9543	2.15	0.0032	0.0107	0.1457	0.5270	0.4361
11	0.066800	nan	0.9550	2.18	0.0039	0.0114	N/A	N/A	N/A
12	0.065971	nan	0.9584	2.22	0.0043	0.0121	N/A	N/A	N/A
13	0.065619	nan	0.9648	2.25	0.0046	0.0131	N/A	N/A	N/A
14	0.065486	nan	0.9645	2.20	0.0046	0.0131	N/A	N/A	N/A
15	0.065109	nan	0.9684	2.17	0.0047	0.0135	N/A	N/A	N/A
16	0.064665	nan	0.9734	2.18	0.0048	0.0137	N/A	N/A	N/A
17	0.064196	nan	0.9725	2.18	0.0049	0.0139	N/A	N/A	N/A
18	0.064061	nan	0.9731	2.18	0.0049	0.0140	N/A	N/A	N/A
19	0.063729	nan	0.9712	2.21	0.0049	0.0140	N/A	N/A	N/A
20	0.063688	0.064012	0.9686	2.19	0.0049	0.0140	0.1283	0.5194	0.4562
