epoch	train_task_loss	val_loss	expert_entropy_normalized	avg_depth	mean_cos_sim	max_cos_sim	routing_accuracy	routing_hungarian_acc	routing_ami
1	0.081586	nan	0.8236	2.59	0.0004	0.0033	N/A	N/A	N/A
2	0.074991	nan	0.8734	2.54	0.0005	0.0035	N/A	N/A	N/A
3	0.073174	nan	0.9074	2.38	0.0010	0.0066	N/A	N/A	N/A
4	0.072296	nan	0.9035	2.42	0.0017	0.0119	N/A	N/A	N/A
5	0.070841	nan	0.9073	2.24	0.0029	0.0188	N/A	N/A	N/A
6	0.069364	nan	0.8940	2.06	0.0033	0.0232	N/A	N/A	N/A
7	0.068569	nan	0.8997	2.11	0.0041	0.0282	N/A	N/A	N/A
8	0.068379	nan	0.9266	2.01	0.0052	0.0340	N/A	N/A	N/A
9	0.067286	nan	0.9243	2.06	0.0057	0.0347	N/A	N/A	N/A
10	0.066972	0.065027	0.9245	2.06	0.0068	0.0366	0.0117	0.4729	0.4642
11	0.066134	nan	0.9252	2.04	0.0073	0.0382	N/A	N/A	N/A
12	0.065652	nan	0.9318	2.02	0.0076	0.0386	N/A	N/A	N/A
13	0.065716	nan	0.9488	2.02	0.0078	0.0399	N/A	N/A	N/A
14	0.065332	nan	0.9478	2.03	0.0079	0.0410	N/A	N/A	N/A
15	0.064719	nan	0.9419	2.02	0.0080	0.0410	N/A	N/A	N/A
16	0.064229	nan	0.9561	2.02	0.0080	0.0408	N/A	N/A	N/A
17	0.063976	nan	0.9590	2.03	0.0081	0.0409	N/A	N/A	N/A
18	0.063870	nan	0.9559	2.03	0.0081	0.0409	N/A	N/A	N/A
19	0.063786	nan	0.9548	2.05	0.0081	0.0408	N/A	N/A	N/A
20	0.063626	0.063331	0.9546	2.03	0.0081	0.0408	0.0138	0.5147	0.4909
