epoch	train_task_loss	val_loss	expert_entropy_normalized	avg_depth	mean_cos_sim	max_cos_sim	routing_accuracy	routing_hungarian_acc	routing_ami
1	0.091623	nan	0.9754	2.01	0.0028	0.0073	N/A	N/A	N/A
2	0.073513	nan	0.9857	2.03	0.0049	0.0090	N/A	N/A	N/A
3	0.072280	nan	0.9637	2.06	0.0078	0.0128	N/A	N/A	N/A
4	0.070395	nan	0.9590	2.03	0.0112	0.0165	N/A	N/A	N/A
5	0.069665	nan	0.9852	2.03	0.0151	0.0216	N/A	N/A	N/A
6	0.069243	nan	0.9546	2.06	0.0195	0.0293	N/A	N/A	N/A
7	0.068052	nan	0.9874	2.04	0.0237	0.0337	N/A	N/A	N/A
8	0.068209	nan	0.9588	1.99	0.0265	0.0348	N/A	N/A	N/A
9	0.067294	nan	0.9975	2.03	0.0301	0.0377	N/A	N/A	N/A
10	0.066610	0.065658	0.9696	2.02	0.0316	0.0400	0.1464	0.3931	0.3475
11	0.066070	nan	0.9865	2.04	0.0337	0.0417	N/A	N/A	N/A
12	0.065124	nan	0.9863	2.03	0.0348	0.0426	N/A	N/A	N/A
13	0.064798	nan	0.9879	2.02	0.0351	0.0426	N/A	N/A	N/A
14	0.064607	nan	0.9931	2.05	0.0360	0.0436	N/A	N/A	N/A
15	0.064287	nan	0.9876	2.02	0.0363	0.0443	N/A	N/A	N/A
16	0.063811	nan	0.9873	2.04	0.0362	0.0441	N/A	N/A	N/A
17	0.063198	nan	0.9687	2.03	0.0363	0.0440	N/A	N/A	N/A
18	0.063209	nan	0.9745	2.03	0.0362	0.0440	N/A	N/A	N/A
19	0.062850	nan	0.9761	2.04	0.0362	0.0440	N/A	N/A	N/A
20	0.062783	0.063598	0.9757	2.03	0.0361	0.0440	0.0932	0.4001	0.3075
