epoch	train_task_loss	val_loss	expert_entropy_normalized	avg_depth	mean_cos_sim	max_cos_sim	routing_accuracy	routing_hungarian_acc	routing_ami
1	0.081676	nan	0.9645	2.01	0.0021	0.0046	N/A	N/A	N/A
2	0.074008	nan	0.9721	2.11	0.0049	0.0086	N/A	N/A	N/A
3	0.072003	nan	0.9840	2.06	0.0088	0.0140	N/A	N/A	N/A
4	0.070941	nan	0.9691	2.05	0.0143	0.0226	N/A	N/A	N/A
5	0.069819	nan	0.9956	2.10	0.0184	0.0284	N/A	N/A	N/A
6	0.068857	nan	0.9873	2.09	0.0233	0.0386	N/A	N/A	N/A
7	0.068213	nan	0.9975	2.06	0.0269	0.0415	N/A	N/A	N/A
8	0.067153	nan	0.9854	2.06	0.0298	0.0478	N/A	N/A	N/A
9	0.066438	nan	0.9927	2.06	0.0323	0.0507	N/A	N/A	N/A
10	0.065831	0.064916	0.9891	2.06	0.0338	0.0517	0.1293	0.4748	0.4374
11	0.065227	nan	0.9927	2.10	0.0357	0.0538	N/A	N/A	N/A
12	0.065008	nan	0.9910	2.11	0.0366	0.0548	N/A	N/A	N/A
13	0.064710	nan	0.9949	2.08	0.0375	0.0565	N/A	N/A	N/A
14	0.064416	nan	0.9917	2.10	0.0381	0.0570	N/A	N/A	N/A
15	0.063886	nan	0.9983	2.17	0.0381	0.0573	N/A	N/A	N/A
16	0.063399	nan	0.9782	2.11	0.0383	0.0572	N/A	N/A	N/A
17	0.063319	nan	0.9833	2.10	0.0384	0.0572	N/A	N/A	N/A
18	0.063133	nan	0.9765	2.09	0.0385	0.0572	N/A	N/A	N/A
19	0.062994	nan	0.9756	2.13	0.0384	0.0570	N/A	N/A	N/A
20	0.062894	0.063362	0.9761	2.11	0.0384	0.0570	0.2106	0.4587	0.3871
