epoch	train_task_loss	val_loss	expert_entropy_normalized	avg_depth	mean_cos_sim	max_cos_sim	routing_accuracy	routing_hungarian_acc	routing_ami
1	0.094734	nan	0.9635	2.00	0.0034	0.0067	N/A	N/A	N/A
2	0.075038	nan	0.9874	2.05	0.0061	0.0118	N/A	N/A	N/A
3	0.072168	nan	0.9540	2.08	0.0075	0.0136	N/A	N/A	N/A
4	0.071245	nan	0.9699	2.09	0.0118	0.0165	N/A	N/A	N/A
5	0.069807	nan	0.9837	2.17	0.0150	0.0201	N/A	N/A	N/A
6	0.068986	nan	0.9685	2.12	0.0192	0.0246	N/A	N/A	N/A
7	0.067879	nan	0.9777	2.08	0.0217	0.0283	N/A	N/A	N/A
8	0.067296	nan	0.9833	2.06	0.0246	0.0324	N/A	N/A	N/A
9	0.067215	nan	0.9742	2.12	0.0275	0.0363	N/A	N/A	N/A
10	0.066317	0.065880	0.9818	2.06	0.0290	0.0385	0.1885	0.3793	0.3347
11	0.066024	nan	0.9880	2.08	0.0307	0.0416	N/A	N/A	N/A
12	0.065452	nan	0.9968	2.09	0.0316	0.0430	N/A	N/A	N/A
13	0.064940	nan	0.9933	2.09	0.0320	0.0446	N/A	N/A	N/A
14	0.064727	nan	0.9945	2.10	0.0330	0.0463	N/A	N/A	N/A
15	0.064663	nan	0.9892	2.08	0.0332	0.0467	N/A	N/A	N/A
16	0.063881	nan	0.9865	2.08	0.0334	0.0468	N/A	N/A	N/A
17	0.063457	nan	0.9857	2.11	0.0334	0.0468	N/A	N/A	N/A
18	0.063351	nan	0.9824	2.11	0.0333	0.0467	N/A	N/A	N/A
19	0.063117	nan	0.9895	2.12	0.0334	0.0468	N/A	N/A	N/A
20	0.062684	0.063302	0.9870	2.11	0.0334	0.0468	0.1098	0.4311	0.3758
