epoch	train_task_loss	val_loss	expert_entropy_normalized	avg_depth	mean_cos_sim	max_cos_sim	routing_accuracy	routing_hungarian_acc	routing_ami
1	0.086022	N/A	0.8854	1.00	0.0003	0.0054	N/A	N/A	N/A
2	0.076185	0.072238	0.8800	1.00	0.0000	0.0042	0.2315	0.5359	0.4528
3	0.073640	N/A	0.9114	1.00	-0.0001	0.0039	N/A	N/A	N/A
4	0.071775	0.067964	0.9299	1.00	-0.0000	0.0041	0.2312	0.5378	0.4467
5	0.070560	N/A	0.9251	1.00	0.0002	0.0045	N/A	N/A	N/A
6	0.070388	0.067584	0.9378	1.00	0.0014	0.0051	0.2291	0.4552	0.4297
7	0.069836	N/A	0.9388	1.00	0.0032	0.0096	N/A	N/A	N/A
8	0.068910	0.065025	0.9458	1.00	0.0049	0.0123	0.1871	0.4549	0.4217
9	0.068135	N/A	0.9383	1.00	0.0070	0.0136	N/A	N/A	N/A
10	0.067924	0.067769	0.9541	1.00	0.0080	0.0156	0.1871	0.4552	0.4132
11	0.067792	N/A	0.9696	1.00	0.0097	0.0171	N/A	N/A	N/A
12	0.066331	0.064975	0.9489	1.00	0.0099	0.0176	0.1871	0.4533	0.4190
13	0.066315	N/A	0.9750	1.00	0.0112	0.0196	N/A	N/A	N/A
14	0.066186	0.065098	0.9803	1.00	0.0120	0.0209	0.1872	0.4511	0.4795
15	0.066137	N/A	0.9351	1.00	0.0161	0.0270	N/A	N/A	N/A
16	0.065684	0.064275	0.9494	1.00	0.0169	0.0279	0.1895	0.4548	0.4195
17	0.065067	N/A	0.9623	1.00	0.0172	0.0287	N/A	N/A	N/A
18	0.065323	0.065072	0.9773	1.00	0.0180	0.0293	0.1890	0.5260	0.4694
19	0.064833	N/A	0.9784	1.00	0.0187	0.0302	N/A	N/A	N/A
20	0.064281	0.063521	0.9830	1.00	0.0191	0.0302	0.2256	0.5629	0.5080
21	0.064205	N/A	0.9831	1.00	0.0201	0.0312	N/A	N/A	N/A
22	0.064224	0.063595	0.9810	1.00	0.0209	0.0323	0.1896	0.5270	0.4642
23	0.063914	N/A	0.9812	1.00	0.0211	0.0316	N/A	N/A	N/A
24	0.064004	0.063288	0.9600	1.00	0.0217	0.0322	0.1887	0.5261	0.4650
25	0.063339	N/A	0.9778	1.00	0.0222	0.0332	N/A	N/A	N/A
26	0.063143	0.063187	0.9830	1.00	0.0226	0.0336	0.1888	0.4501	0.4637
27	0.063203	N/A	0.9912	1.00	0.0228	0.0337	N/A	N/A	N/A
28	0.063238	0.063961	0.9943	1.00	0.0230	0.0343	0.1897	0.4728	0.5182
29	0.062927	N/A	0.9944	1.00	0.0233	0.0345	N/A	N/A	N/A
30	0.062701	0.063126	0.9879	1.00	0.0236	0.0353	0.1894	0.4542	0.4816
31	0.062509	N/A	0.9925	1.00	0.0238	0.0357	N/A	N/A	N/A
32	0.062245	0.063229	0.9917	1.00	0.0238	0.0358	0.1922	0.4573	0.4798
33	0.062362	N/A	0.9912	1.00	0.0241	0.0360	N/A	N/A	N/A
34	0.062024	0.063458	0.9890	1.00	0.0243	0.0363	0.1900	0.4903	0.4864
35	0.061859	N/A	0.9934	1.00	0.0244	0.0367	N/A	N/A	N/A
36	0.061909	0.063345	0.9950	1.00	0.0244	0.0366	0.1901	0.4902	0.4852
37	0.061507	N/A	0.9888	1.00	0.0245	0.0365	N/A	N/A	N/A
38	0.061405	0.063528	0.9856	1.00	0.0246	0.0368	0.1901	0.4842	0.4734
39	0.060958	N/A	0.9940	1.00	0.0247	0.0368	N/A	N/A	N/A
40	0.061262	0.063473	0.9935	1.00	0.0246	0.0370	0.1930	0.4582	0.4845
41	0.061003	N/A	0.9935	1.00	0.0247	0.0371	N/A	N/A	N/A
42	0.060818	0.063469	0.9945	1.00	0.0248	0.0372	0.1930	0.4891	0.4729
43	0.060887	N/A	0.9925	1.00	0.0248	0.0373	N/A	N/A	N/A
44	0.060590	0.062916	0.9927	1.00	0.0248	0.0373	0.1921	0.5235	0.4991
45	0.060594	N/A	0.9932	1.00	0.0248	0.0372	N/A	N/A	N/A
46	0.060322	0.063612	0.9934	1.00	0.0248	0.0372	0.1945	0.5227	0.5254
47	0.060573	N/A	0.9935	1.00	0.0248	0.0373	N/A	N/A	N/A
48	0.060347	0.063117	0.9936	1.00	0.0248	0.0372	0.1932	0.5226	0.5002
49	0.060360	N/A	0.9936	1.00	0.0248	0.0372	N/A	N/A	N/A
50	0.060167	0.063090	0.9936	1.00	0.0248	0.0372	0.1932	0.5227	0.5013
