epoch	train_task_loss	val_loss	expert_entropy_normalized	avg_depth	mean_cos_sim	max_cos_sim	routing_accuracy	routing_hungarian_acc	routing_ami
1	0.081508	N/A	0.6938	1.00	0.0006	0.0039	N/A	N/A	N/A
2	0.076238	0.072555	0.7429	1.00	0.0014	0.0047	0.0562	0.4940	0.5259
3	0.073115	N/A	0.7906	1.00	0.0020	0.0062	N/A	N/A	N/A
4	0.072667	0.068477	0.8251	1.00	0.0030	0.0104	0.0563	0.4868	0.4914
5	0.071327	N/A	0.8581	1.00	0.0036	0.0147	N/A	N/A	N/A
6	0.070064	0.068888	0.9057	1.00	0.0045	0.0174	0.0567	0.5238	0.4903
7	0.069701	N/A	0.9099	1.00	0.0058	0.0206	N/A	N/A	N/A
8	0.069041	0.067159	0.8959	1.00	0.0095	0.0292	0.0561	0.4382	0.4330
9	0.068379	N/A	0.9262	1.00	0.0110	0.0372	N/A	N/A	N/A
10	0.068147	0.069173	0.9451	1.00	0.0147	0.0455	0.0560	0.4006	0.4434
11	0.068080	N/A	0.9141	1.00	0.0170	0.0520	N/A	N/A	N/A
12	0.067072	0.065060	0.8868	1.00	0.0187	0.0544	0.0568	0.4392	0.4488
13	0.067170	N/A	0.9324	1.00	0.0200	0.0564	N/A	N/A	N/A
14	0.066244	0.065166	0.9649	1.00	0.0213	0.0582	0.0548	0.4428	0.4089
15	0.066400	N/A	0.9644	1.00	0.0232	0.0635	N/A	N/A	N/A
16	0.065633	0.065429	0.9822	1.00	0.0245	0.0683	0.0547	0.4431	0.4071
17	0.065307	N/A	0.9722	1.00	0.0250	0.0699	N/A	N/A	N/A
18	0.065480	0.063929	0.9842	1.00	0.0265	0.0753	0.0580	0.4406	0.4013
19	0.065295	N/A	0.9672	1.00	0.0282	0.0775	N/A	N/A	N/A
20	0.064902	0.064451	0.9866	1.00	0.0287	0.0792	0.2097	0.3702	0.3797
21	0.064637	N/A	0.9814	1.00	0.0292	0.0810	N/A	N/A	N/A
22	0.064274	0.063770	0.9799	1.00	0.0297	0.0817	0.1222	0.3602	0.3421
23	0.064441	N/A	0.9822	1.00	0.0304	0.0826	N/A	N/A	N/A
24	0.064012	0.063525	0.9918	1.00	0.0309	0.0842	0.1322	0.4422	0.4317
25	0.063930	N/A	0.9974	1.00	0.0314	0.0853	N/A	N/A	N/A
26	0.063596	0.063935	0.9876	1.00	0.0317	0.0860	0.1329	0.3693	0.3613
27	0.063982	N/A	0.9859	1.00	0.0320	0.0858	N/A	N/A	N/A
28	0.063384	0.063856	0.9990	1.00	0.0328	0.0872	0.1322	0.4458	0.4419
29	0.063376	N/A	0.9897	1.00	0.0329	0.0868	N/A	N/A	N/A
30	0.063171	0.063482	0.9898	1.00	0.0333	0.0878	0.1321	0.4445	0.4064
31	0.062901	N/A	0.9980	1.00	0.0334	0.0877	N/A	N/A	N/A
32	0.062525	0.063984	0.9925	1.00	0.0339	0.0881	0.1231	0.3707	0.3628
33	0.062452	N/A	0.9889	1.00	0.0339	0.0877	N/A	N/A	N/A
34	0.062304	0.063132	0.9975	1.00	0.0343	0.0878	0.1333	0.3828	0.3767
35	0.062207	N/A	0.9973	1.00	0.0344	0.0881	N/A	N/A	N/A
36	0.061942	0.062869	0.9859	1.00	0.0345	0.0882	0.1334	0.4403	0.4047
37	0.061921	N/A	0.9957	1.00	0.0347	0.0882	N/A	N/A	N/A
38	0.061703	0.063086	0.9862	1.00	0.0347	0.0881	0.1332	0.4409	0.4034
39	0.061593	N/A	0.9918	1.00	0.0347	0.0882	N/A	N/A	N/A
40	0.061376	0.063240	0.9939	1.00	0.0347	0.0882	0.1335	0.4466	0.4098
41	0.061192	N/A	0.9874	1.00	0.0347	0.0881	N/A	N/A	N/A
42	0.061115	0.063223	0.9872	1.00	0.0349	0.0883	0.1336	0.4444	0.4074
43	0.060933	N/A	0.9825	1.00	0.0349	0.0883	N/A	N/A	N/A
44	0.060838	0.063191	0.9940	1.00	0.0349	0.0882	0.1336	0.3743	0.3585
45	0.060715	N/A	0.9894	1.00	0.0349	0.0882	N/A	N/A	N/A
46	0.060677	0.063392	0.9832	1.00	0.0349	0.0882	0.1336	0.4141	0.3881
47	0.060472	N/A	0.9819	1.00	0.0349	0.0881	N/A	N/A	N/A
48	0.060657	0.063175	0.9706	1.00	0.0350	0.0882	0.1336	0.4301	0.3965
49	0.060468	N/A	0.9801	1.00	0.0350	0.0882	N/A	N/A	N/A
50	0.060491	0.063195	0.9821	1.00	0.0350	0.0882	0.1337	0.4024	0.3841
