epoch	train_task_loss	val_loss	expert_entropy_normalized	avg_depth	mean_cos_sim	max_cos_sim	routing_accuracy	routing_hungarian_acc	routing_ami
1	0.087659	N/A	0.7016	1.00	-0.0001	0.0035	N/A	N/A	N/A
2	0.075760	0.073588	0.7847	1.00	-0.0003	0.0030	0.0983	0.5385	0.5334
3	0.073853	N/A	0.8357	1.00	0.0001	0.0064	N/A	N/A	N/A
4	0.072637	0.069741	0.8371	1.00	0.0009	0.0092	0.0990	0.5322	0.5232
5	0.072432	N/A	0.8790	1.00	0.0022	0.0143	N/A	N/A	N/A
6	0.071225	0.068745	0.9380	1.00	0.0032	0.0178	0.1005	0.5932	0.6293
7	0.070440	N/A	0.9267	1.00	0.0044	0.0211	N/A	N/A	N/A
8	0.069561	0.067602	0.9379	1.00	0.0057	0.0255	0.1005	0.5934	0.6263
9	0.068490	N/A	0.9479	1.00	0.0066	0.0281	N/A	N/A	N/A
10	0.067659	0.067268	0.9626	1.00	0.0074	0.0319	0.1005	0.6355	0.6859
11	0.067739	N/A	0.9583	1.00	0.0088	0.0358	N/A	N/A	N/A
12	0.066917	0.064552	0.9598	1.00	0.0096	0.0377	0.1005	0.5758	0.5989
13	0.066361	N/A	0.9618	1.00	0.0103	0.0403	N/A	N/A	N/A
14	0.066044	0.065101	0.9627	1.00	0.0107	0.0425	0.1005	0.5930	0.6461
15	0.066309	N/A	0.9654	1.00	0.0110	0.0436	N/A	N/A	N/A
16	0.065555	0.064485	0.9634	1.00	0.0118	0.0458	0.1005	0.5930	0.6465
17	0.065241	N/A	0.9624	1.00	0.0127	0.0487	N/A	N/A	N/A
18	0.065151	0.065085	0.9620	1.00	0.0136	0.0522	0.1005	0.5942	0.6500
19	0.064950	N/A	0.9622	1.00	0.0139	0.0528	N/A	N/A	N/A
20	0.064472	0.063977	0.9622	1.00	0.0141	0.0539	0.1005	0.5945	0.6505
21	0.064591	N/A	0.9672	1.00	0.0146	0.0547	N/A	N/A	N/A
22	0.064195	0.064044	0.9698	1.00	0.0151	0.0559	0.1005	0.6551	0.6573
23	0.063770	N/A	0.9730	1.00	0.0155	0.0565	N/A	N/A	N/A
24	0.063972	0.064068	0.9740	1.00	0.0157	0.0577	0.1005	0.6544	0.6559
25	0.063996	N/A	0.9794	1.00	0.0163	0.0586	N/A	N/A	N/A
26	0.063464	0.063872	0.9750	1.00	0.0167	0.0589	0.1005	0.5861	0.6318
27	0.063307	N/A	0.9731	1.00	0.0171	0.0590	N/A	N/A	N/A
28	0.063334	0.064874	0.9822	1.00	0.0174	0.0596	0.1005	0.5824	0.6317
29	0.062896	N/A	0.9880	1.00	0.0177	0.0603	N/A	N/A	N/A
30	0.062662	0.064340	0.9819	1.00	0.0179	0.0607	0.1005	0.5819	0.6257
31	0.062923	N/A	0.9819	1.00	0.0181	0.0609	N/A	N/A	N/A
32	0.062346	0.064768	0.9819	1.00	0.0182	0.0613	0.1005	0.5218	0.6263
33	0.062089	N/A	0.9842	1.00	0.0183	0.0615	N/A	N/A	N/A
34	0.062231	0.062843	0.9901	1.00	0.0184	0.0614	0.1005	0.5439	0.6006
35	0.061767	N/A	0.9883	1.00	0.0184	0.0615	N/A	N/A	N/A
36	0.061739	0.064134	0.9875	1.00	0.0186	0.0616	0.1005	0.5479	0.6036
37	0.061887	N/A	0.9897	1.00	0.0187	0.0616	N/A	N/A	N/A
38	0.061471	0.063650	0.9895	1.00	0.0187	0.0617	0.1005	0.5446	0.6017
39	0.061257	N/A	0.9918	1.00	0.0187	0.0617	N/A	N/A	N/A
40	0.061275	0.063487	0.9928	1.00	0.0187	0.0614	0.1005	0.5452	0.6029
41	0.061042	N/A	0.9942	1.00	0.0187	0.0615	N/A	N/A	N/A
42	0.060767	0.063642	0.9919	1.00	0.0187	0.0615	0.1005	0.5448	0.6022
43	0.060962	N/A	0.9923	1.00	0.0187	0.0615	N/A	N/A	N/A
44	0.060764	0.063631	0.9925	1.00	0.0187	0.0616	0.1005	0.5446	0.6027
45	0.060759	N/A	0.9926	1.00	0.0187	0.0615	N/A	N/A	N/A
46	0.060660	0.063490	0.9921	1.00	0.0187	0.0615	0.1005	0.5446	0.6024
47	0.060496	N/A	0.9921	1.00	0.0187	0.0616	N/A	N/A	N/A
48	0.060643	0.063481	0.9921	1.00	0.0187	0.0615	0.1005	0.5445	0.6023
49	0.060605	N/A	0.9921	1.00	0.0187	0.0616	N/A	N/A	N/A
50	0.060402	0.063492	0.9921	1.00	0.0187	0.0616	0.1005	0.5445	0.6023
