epoch	train_task_loss	val_loss	expert_entropy_normalized	avg_depth	mean_cos_sim	max_cos_sim	routing_accuracy	routing_hungarian_acc	routing_ami
1	0.082839	N/A	0.7727	1.00	0.0001	0.0029	N/A	N/A	N/A
2	0.075354	0.071941	0.7901	1.00	-0.0001	0.0027	0.4118	0.5529	0.5098
3	0.073673	N/A	0.8051	1.00	0.0000	0.0028	N/A	N/A	N/A
4	0.072615	0.069254	0.8944	1.00	0.0002	0.0043	0.4898	0.4898	0.4874
5	0.072009	N/A	0.9471	1.00	0.0004	0.0053	N/A	N/A	N/A
6	0.070140	0.067486	0.9536	1.00	0.0007	0.0063	0.4892	0.5068	0.5258
7	0.069752	N/A	0.9795	1.00	0.0015	0.0075	N/A	N/A	N/A
8	0.069281	0.066399	0.9526	1.00	0.0029	0.0081	0.6318	0.6318	0.5967
9	0.068527	N/A	0.9416	1.00	0.0041	0.0106	N/A	N/A	N/A
10	0.067441	0.065785	0.9764	1.00	0.0047	0.0127	0.5613	0.5613	0.5326
11	0.067027	N/A	0.9703	1.00	0.0057	0.0156	N/A	N/A	N/A
12	0.067125	0.066187	0.9755	1.00	0.0068	0.0180	0.4869	0.4869	0.4565
13	0.066642	N/A	0.9761	1.00	0.0076	0.0205	N/A	N/A	N/A
14	0.066169	0.064831	0.9850	1.00	0.0082	0.0219	0.5106	0.5198	0.5146
15	0.066068	N/A	0.9820	1.00	0.0089	0.0230	N/A	N/A	N/A
16	0.065617	0.064674	0.9855	1.00	0.0097	0.0248	0.4867	0.4867	0.4533
17	0.065311	N/A	0.9731	1.00	0.0105	0.0269	N/A	N/A	N/A
18	0.065395	0.063368	0.9686	1.00	0.0116	0.0281	0.4301	0.4500	0.4500
19	0.064939	N/A	0.9763	1.00	0.0124	0.0293	N/A	N/A	N/A
20	0.064917	0.064878	0.9799	1.00	0.0130	0.0305	0.5561	0.5561	0.5045
21	0.064817	N/A	0.9829	1.00	0.0131	0.0297	N/A	N/A	N/A
22	0.064470	0.063425	0.9909	1.00	0.0134	0.0311	0.4523	0.4523	0.4473
23	0.064116	N/A	0.9815	1.00	0.0138	0.0318	N/A	N/A	N/A
24	0.063811	0.063686	0.9897	1.00	0.0143	0.0337	0.4511	0.4511	0.4476
25	0.063898	N/A	0.9748	1.00	0.0146	0.0339	N/A	N/A	N/A
26	0.063668	0.064766	0.9753	1.00	0.0161	0.0368	0.4542	0.4542	0.4549
27	0.063481	N/A	0.9898	1.00	0.0162	0.0365	N/A	N/A	N/A
28	0.063202	0.063640	0.9938	1.00	0.0163	0.0363	0.5557	0.5557	0.5070
29	0.062987	N/A	0.9897	1.00	0.0167	0.0374	N/A	N/A	N/A
30	0.062998	0.063992	0.9951	1.00	0.0169	0.0382	0.4098	0.4609	0.4780
31	0.062658	N/A	0.9938	1.00	0.0171	0.0383	N/A	N/A	N/A
32	0.062614	0.062983	0.9877	1.00	0.0171	0.0383	0.4392	0.4823	0.4670
33	0.062504	N/A	0.9925	1.00	0.0173	0.0389	N/A	N/A	N/A
34	0.062043	0.063410	0.9899	1.00	0.0173	0.0387	0.4790	0.5220	0.5035
35	0.062050	N/A	0.9919	1.00	0.0175	0.0389	N/A	N/A	N/A
36	0.062001	0.063357	0.9973	1.00	0.0175	0.0389	0.4827	0.5256	0.5062
37	0.061759	N/A	0.9878	1.00	0.0176	0.0391	N/A	N/A	N/A
38	0.061555	0.063717	0.9872	1.00	0.0176	0.0391	0.4776	0.5211	0.5059
39	0.061456	N/A	0.9947	1.00	0.0177	0.0393	N/A	N/A	N/A
40	0.061412	0.063549	0.9974	1.00	0.0178	0.0394	0.4781	0.5213	0.5075
41	0.061246	N/A	0.9843	1.00	0.0178	0.0394	N/A	N/A	N/A
42	0.061064	0.063325	0.9899	1.00	0.0178	0.0393	0.4766	0.5203	0.5044
43	0.060966	N/A	0.9881	1.00	0.0178	0.0394	N/A	N/A	N/A
44	0.060748	0.063389	0.9850	1.00	0.0178	0.0393	0.4762	0.5196	0.5033
45	0.060759	N/A	0.9850	1.00	0.0178	0.0393	N/A	N/A	N/A
46	0.060603	0.063204	0.9844	1.00	0.0178	0.0393	0.4632	0.5067	0.4836
47	0.060292	N/A	0.9852	1.00	0.0178	0.0393	N/A	N/A	N/A
48	0.060475	0.063196	0.9843	1.00	0.0178	0.0393	0.4762	0.5197	0.5039
49	0.060570	N/A	0.9839	1.00	0.0178	0.0393	N/A	N/A	N/A
50	0.060440	0.063203	0.9839	1.00	0.0178	0.0393	0.4759	0.5193	0.5029
