epoch	train_task_loss	val_loss	expert_entropy_normalized	avg_depth	mean_cos_sim	max_cos_sim	routing_accuracy	routing_hungarian_acc	routing_ami
1	0.082450	N/A	0.6852	1.00	-0.0001	0.0031	N/A	N/A	N/A
2	0.076065	0.072670	0.6850	1.00	-0.0003	0.0022	0.1003	0.4636	0.4282
3	0.073788	N/A	0.7428	1.00	-0.0004	0.0020	N/A	N/A	N/A
4	0.072241	0.069145	0.8363	1.00	0.0003	0.0041	0.1482	0.5099	0.5700
5	0.072057	N/A	0.8876	1.00	0.0004	0.0042	N/A	N/A	N/A
6	0.071617	0.068728	0.8701	1.00	0.0010	0.0079	0.1484	0.5124	0.5567
7	0.070383	N/A	0.9626	1.00	0.0018	0.0082	N/A	N/A	N/A
8	0.069704	0.068673	0.9750	1.00	0.0024	0.0093	0.1484	0.5133	0.5989
9	0.068799	N/A	0.9753	1.00	0.0031	0.0103	N/A	N/A	N/A
10	0.068252	0.065584	0.9754	1.00	0.0043	0.0126	0.1484	0.5132	0.5692
11	0.067735	N/A	0.9660	1.00	0.0044	0.0143	N/A	N/A	N/A
12	0.066821	0.065421	0.9754	1.00	0.0050	0.0151	0.1484	0.5133	0.6010
13	0.066376	N/A	0.9709	1.00	0.0063	0.0195	N/A	N/A	N/A
14	0.066151	0.065198	0.9753	1.00	0.0066	0.0201	0.1484	0.5133	0.6003
15	0.065807	N/A	0.9755	1.00	0.0076	0.0203	N/A	N/A	N/A
16	0.065899	0.065243	0.9775	1.00	0.0082	0.0203	0.1039	0.5131	0.5646
17	0.065038	N/A	0.9767	1.00	0.0103	0.0216	N/A	N/A	N/A
18	0.065122	0.063800	0.9766	1.00	0.0108	0.0223	0.1484	0.5133	0.6026
19	0.065083	N/A	0.9765	1.00	0.0110	0.0223	N/A	N/A	N/A
20	0.064923	0.063230	0.9772	1.00	0.0115	0.0233	0.1484	0.5133	0.6008
21	0.064785	N/A	0.9758	1.00	0.0129	0.0267	N/A	N/A	N/A
22	0.064575	0.063206	0.9761	1.00	0.0133	0.0275	0.1045	0.5131	0.5643
23	0.064294	N/A	0.9786	1.00	0.0136	0.0277	N/A	N/A	N/A
24	0.064031	0.062486	0.9788	1.00	0.0139	0.0277	0.1484	0.5130	0.6005
25	0.063922	N/A	0.9778	1.00	0.0141	0.0280	N/A	N/A	N/A
26	0.063406	0.062767	0.9793	1.00	0.0143	0.0282	0.1484	0.5128	0.5990
27	0.063389	N/A	0.9786	1.00	0.0151	0.0281	N/A	N/A	N/A
28	0.063259	0.063397	0.9769	1.00	0.0156	0.0283	0.1484	0.5133	0.6013
29	0.063223	N/A	0.9780	1.00	0.0159	0.0286	N/A	N/A	N/A
30	0.063145	0.064020	0.9794	1.00	0.0161	0.0285	0.1045	0.5131	0.5589
31	0.062949	N/A	0.9897	1.00	0.0162	0.0285	N/A	N/A	N/A
32	0.062681	0.063133	0.9871	1.00	0.0164	0.0288	0.1024	0.5131	0.5746
33	0.062526	N/A	0.9918	1.00	0.0165	0.0289	N/A	N/A	N/A
34	0.062314	0.064193	0.9917	1.00	0.0167	0.0290	0.1030	0.5131	0.5746
35	0.062150	N/A	0.9917	1.00	0.0168	0.0291	N/A	N/A	N/A
36	0.062125	0.062969	0.9900	1.00	0.0169	0.0293	0.1449	0.5131	0.5963
37	0.061762	N/A	0.9913	1.00	0.0170	0.0293	N/A	N/A	N/A
38	0.061746	0.063333	0.9871	1.00	0.0170	0.0293	0.1038	0.5131	0.5752
39	0.061594	N/A	0.9916	1.00	0.0171	0.0294	N/A	N/A	N/A
40	0.061684	0.063135	0.9909	1.00	0.0172	0.0294	0.1045	0.5131	0.5752
41	0.061481	N/A	0.9893	1.00	0.0172	0.0295	N/A	N/A	N/A
42	0.061239	0.063203	0.9892	1.00	0.0173	0.0295	0.1045	0.5131	0.5752
43	0.061100	N/A	0.9915	1.00	0.0173	0.0295	N/A	N/A	N/A
44	0.061275	0.063375	0.9914	1.00	0.0173	0.0295	0.1052	0.5131	0.5753
45	0.060821	N/A	0.9852	1.00	0.0173	0.0295	N/A	N/A	N/A
46	0.060985	0.063331	0.9914	1.00	0.0173	0.0296	0.1045	0.5131	0.5752
47	0.060844	N/A	0.9914	1.00	0.0173	0.0296	N/A	N/A	N/A
48	0.060863	0.063301	0.9914	1.00	0.0173	0.0295	0.1047	0.5131	0.5752
49	0.060642	N/A	0.9914	1.00	0.0173	0.0295	N/A	N/A	N/A
50	0.060765	0.063320	0.9914	1.00	0.0173	0.0295	0.1047	0.5131	0.5752
