epoch	train_task_loss	val_loss	expert_entropy_normalized	avg_depth	mean_cos_sim	max_cos_sim	routing_accuracy	routing_hungarian_acc	routing_ami
1	0.097677	N/A	N/A	2.00	N/A	N/A	N/A	N/A	N/A
2	0.075438	0.073111	N/A	2.00	N/A	N/A	N/A	N/A	N/A
3	0.073712	N/A	N/A	2.00	N/A	N/A	N/A	N/A	N/A
4	0.071935	0.068245	N/A	2.02	N/A	N/A	N/A	N/A	N/A
5	0.071106	N/A	N/A	1.99	N/A	N/A	N/A	N/A	N/A
6	0.070020	0.067783	N/A	2.02	N/A	N/A	N/A	N/A	N/A
7	0.069600	N/A	N/A	1.95	N/A	N/A	N/A	N/A	N/A
8	0.068600	0.065339	N/A	1.99	N/A	N/A	N/A	N/A	N/A
9	0.068190	N/A	N/A	1.87	N/A	N/A	N/A	N/A	N/A
10	0.068117	0.066901	N/A	2.05	N/A	N/A	N/A	N/A	N/A
11	0.067558	N/A	N/A	2.04	N/A	N/A	N/A	N/A	N/A
12	0.066783	0.065378	N/A	2.06	N/A	N/A	N/A	N/A	N/A
13	0.066588	N/A	N/A	2.06	N/A	N/A	N/A	N/A	N/A
14	0.066708	0.066254	N/A	2.10	N/A	N/A	N/A	N/A	N/A
15	0.066588	N/A	N/A	2.07	N/A	N/A	N/A	N/A	N/A
16	0.066241	0.066011	N/A	2.08	N/A	N/A	N/A	N/A	N/A
17	0.065529	N/A	N/A	2.05	N/A	N/A	N/A	N/A	N/A
18	0.065617	0.065236	N/A	2.01	N/A	N/A	N/A	N/A	N/A
19	0.065247	N/A	N/A	2.06	N/A	N/A	N/A	N/A	N/A
20	0.064947	0.063278	N/A	2.06	N/A	N/A	N/A	N/A	N/A
21	0.064783	N/A	N/A	2.06	N/A	N/A	N/A	N/A	N/A
22	0.064988	0.062814	N/A	2.04	N/A	N/A	N/A	N/A	N/A
23	0.064647	N/A	N/A	2.03	N/A	N/A	N/A	N/A	N/A
24	0.064503	0.063513	N/A	2.04	N/A	N/A	N/A	N/A	N/A
25	0.064224	N/A	N/A	2.05	N/A	N/A	N/A	N/A	N/A
26	0.064077	0.062836	N/A	2.05	N/A	N/A	N/A	N/A	N/A
27	0.064052	N/A	N/A	2.05	N/A	N/A	N/A	N/A	N/A
28	0.063985	0.063697	N/A	2.04	N/A	N/A	N/A	N/A	N/A
29	0.063796	N/A	N/A	2.04	N/A	N/A	N/A	N/A	N/A
30	0.063638	0.062509	N/A	2.05	N/A	N/A	N/A	N/A	N/A
31	0.063468	N/A	N/A	2.04	N/A	N/A	N/A	N/A	N/A
32	0.063312	0.062935	N/A	2.03	N/A	N/A	N/A	N/A	N/A
33	0.063329	N/A	N/A	2.02	N/A	N/A	N/A	N/A	N/A
34	0.063129	0.062774	N/A	2.02	N/A	N/A	N/A	N/A	N/A
35	0.063154	N/A	N/A	2.03	N/A	N/A	N/A	N/A	N/A
36	0.063102	0.062793	N/A	2.05	N/A	N/A	N/A	N/A	N/A
37	0.062766	N/A	N/A	2.03	N/A	N/A	N/A	N/A	N/A
38	0.062629	0.062953	N/A	2.03	N/A	N/A	N/A	N/A	N/A
39	0.062426	N/A	N/A	2.03	N/A	N/A	N/A	N/A	N/A
40	0.062396	0.062768	N/A	2.02	N/A	N/A	N/A	N/A	N/A
41	0.062359	N/A	N/A	2.01	N/A	N/A	N/A	N/A	N/A
42	0.062201	0.062772	N/A	2.03	N/A	N/A	N/A	N/A	N/A
43	0.062108	N/A	N/A	2.01	N/A	N/A	N/A	N/A	N/A
44	0.061904	0.062512	N/A	2.04	N/A	N/A	N/A	N/A	N/A
45	0.062003	N/A	N/A	2.02	N/A	N/A	N/A	N/A	N/A
46	0.061927	0.062798	N/A	2.01	N/A	N/A	N/A	N/A	N/A
47	0.061966	N/A	N/A	2.03	N/A	N/A	N/A	N/A	N/A
48	0.061966	0.062701	N/A	2.02	N/A	N/A	N/A	N/A	N/A
49	0.061880	N/A	N/A	2.01	N/A	N/A	N/A	N/A	N/A
50	0.061775	0.062623	N/A	2.05	N/A	N/A	N/A	N/A	N/A
