epoch	train_task_loss	val_loss	expert_entropy_normalized	avg_depth	mean_cos_sim	max_cos_sim	routing_accuracy	routing_hungarian_acc	routing_ami
1	0.099430	N/A	N/A	2.00	N/A	N/A	N/A	N/A	N/A
2	0.075801	0.073163	N/A	2.00	N/A	N/A	N/A	N/A	N/A
3	0.073678	N/A	N/A	2.00	N/A	N/A	N/A	N/A	N/A
4	0.072507	0.070711	N/A	2.00	N/A	N/A	N/A	N/A	N/A
5	0.072014	N/A	N/A	2.03	N/A	N/A	N/A	N/A	N/A
6	0.070196	0.068338	N/A	2.07	N/A	N/A	N/A	N/A	N/A
7	0.069310	N/A	N/A	1.97	N/A	N/A	N/A	N/A	N/A
8	0.068492	0.067565	N/A	2.03	N/A	N/A	N/A	N/A	N/A
9	0.068398	N/A	N/A	2.04	N/A	N/A	N/A	N/A	N/A
10	0.067587	0.065124	N/A	2.05	N/A	N/A	N/A	N/A	N/A
11	0.067258	N/A	N/A	2.01	N/A	N/A	N/A	N/A	N/A
12	0.066898	0.065047	N/A	1.99	N/A	N/A	N/A	N/A	N/A
13	0.066491	N/A	N/A	2.00	N/A	N/A	N/A	N/A	N/A
14	0.066417	0.064588	N/A	1.99	N/A	N/A	N/A	N/A	N/A
15	0.066929	N/A	N/A	2.06	N/A	N/A	N/A	N/A	N/A
16	0.065825	0.064629	N/A	1.98	N/A	N/A	N/A	N/A	N/A
17	0.065403	N/A	N/A	2.03	N/A	N/A	N/A	N/A	N/A
18	0.065409	0.064436	N/A	2.02	N/A	N/A	N/A	N/A	N/A
19	0.065302	N/A	N/A	2.00	N/A	N/A	N/A	N/A	N/A
20	0.064946	0.064197	N/A	2.10	N/A	N/A	N/A	N/A	N/A
21	0.065148	N/A	N/A	2.02	N/A	N/A	N/A	N/A	N/A
22	0.064842	0.063529	N/A	2.02	N/A	N/A	N/A	N/A	N/A
23	0.064322	N/A	N/A	2.02	N/A	N/A	N/A	N/A	N/A
24	0.064544	0.063873	N/A	2.02	N/A	N/A	N/A	N/A	N/A
25	0.064492	N/A	N/A	2.03	N/A	N/A	N/A	N/A	N/A
26	0.064172	0.063705	N/A	2.02	N/A	N/A	N/A	N/A	N/A
27	0.063820	N/A	N/A	2.02	N/A	N/A	N/A	N/A	N/A
28	0.063983	0.063599	N/A	2.03	N/A	N/A	N/A	N/A	N/A
29	0.063663	N/A	N/A	2.02	N/A	N/A	N/A	N/A	N/A
30	0.063507	0.064349	N/A	2.03	N/A	N/A	N/A	N/A	N/A
31	0.063889	N/A	N/A	2.03	N/A	N/A	N/A	N/A	N/A
32	0.063322	0.063873	N/A	2.02	N/A	N/A	N/A	N/A	N/A
33	0.063099	N/A	N/A	2.00	N/A	N/A	N/A	N/A	N/A
34	0.063204	0.062545	N/A	2.01	N/A	N/A	N/A	N/A	N/A
35	0.062695	N/A	N/A	2.00	N/A	N/A	N/A	N/A	N/A
36	0.062793	0.062726	N/A	2.01	N/A	N/A	N/A	N/A	N/A
37	0.062860	N/A	N/A	2.01	N/A	N/A	N/A	N/A	N/A
38	0.062486	0.062736	N/A	2.02	N/A	N/A	N/A	N/A	N/A
39	0.062294	N/A	N/A	2.02	N/A	N/A	N/A	N/A	N/A
40	0.062204	0.062991	N/A	2.01	N/A	N/A	N/A	N/A	N/A
41	0.062185	N/A	N/A	2.01	N/A	N/A	N/A	N/A	N/A
42	0.061925	0.062869	N/A	2.01	N/A	N/A	N/A	N/A	N/A
43	0.061973	N/A	N/A	2.01	N/A	N/A	N/A	N/A	N/A
44	0.061898	0.063050	N/A	2.02	N/A	N/A	N/A	N/A	N/A
45	0.061743	N/A	N/A	2.02	N/A	N/A	N/A	N/A	N/A
46	0.061789	0.062658	N/A	2.02	N/A	N/A	N/A	N/A	N/A
47	0.061612	N/A	N/A	2.03	N/A	N/A	N/A	N/A	N/A
48	0.061626	0.062668	N/A	2.02	N/A	N/A	N/A	N/A	N/A
49	0.061485	N/A	N/A	2.02	N/A	N/A	N/A	N/A	N/A
50	0.061460	0.062702	N/A	2.02	N/A	N/A	N/A	N/A	N/A
