epoch	train_task_loss	val_loss	expert_entropy_normalized	avg_depth	mean_cos_sim	max_cos_sim	routing_accuracy	routing_hungarian_acc	routing_ami
1	0.094633	N/A	N/A	2.00	N/A	N/A	N/A	N/A	N/A
2	0.074624	0.070770	N/A	2.00	N/A	N/A	N/A	N/A	N/A
3	0.073164	N/A	N/A	2.06	N/A	N/A	N/A	N/A	N/A
4	0.072614	0.070781	N/A	2.04	N/A	N/A	N/A	N/A	N/A
5	0.071344	N/A	N/A	2.03	N/A	N/A	N/A	N/A	N/A
6	0.069812	0.067913	N/A	2.02	N/A	N/A	N/A	N/A	N/A
7	0.069133	N/A	N/A	1.98	N/A	N/A	N/A	N/A	N/A
8	0.068644	0.066196	N/A	1.91	N/A	N/A	N/A	N/A	N/A
9	0.068043	N/A	N/A	1.92	N/A	N/A	N/A	N/A	N/A
10	0.067419	0.064957	N/A	2.00	N/A	N/A	N/A	N/A	N/A
11	0.067166	N/A	N/A	2.07	N/A	N/A	N/A	N/A	N/A
12	0.066940	0.064517	N/A	2.00	N/A	N/A	N/A	N/A	N/A
13	0.066273	N/A	N/A	1.85	N/A	N/A	N/A	N/A	N/A
14	0.066009	0.064809	N/A	1.96	N/A	N/A	N/A	N/A	N/A
15	0.066042	N/A	N/A	1.90	N/A	N/A	N/A	N/A	N/A
16	0.065688	0.064756	N/A	1.93	N/A	N/A	N/A	N/A	N/A
17	0.065409	N/A	N/A	2.01	N/A	N/A	N/A	N/A	N/A
18	0.065949	0.064062	N/A	1.92	N/A	N/A	N/A	N/A	N/A
19	0.065009	N/A	N/A	2.00	N/A	N/A	N/A	N/A	N/A
20	0.065104	0.064070	N/A	1.97	N/A	N/A	N/A	N/A	N/A
21	0.065109	N/A	N/A	2.04	N/A	N/A	N/A	N/A	N/A
22	0.064566	0.063240	N/A	1.99	N/A	N/A	N/A	N/A	N/A
23	0.064489	N/A	N/A	1.95	N/A	N/A	N/A	N/A	N/A
24	0.064410	0.063483	N/A	2.00	N/A	N/A	N/A	N/A	N/A
25	0.064112	N/A	N/A	1.94	N/A	N/A	N/A	N/A	N/A
26	0.064013	0.063331	N/A	1.99	N/A	N/A	N/A	N/A	N/A
27	0.063910	N/A	N/A	1.97	N/A	N/A	N/A	N/A	N/A
28	0.063904	0.063288	N/A	1.99	N/A	N/A	N/A	N/A	N/A
29	0.063709	N/A	N/A	1.99	N/A	N/A	N/A	N/A	N/A
30	0.063631	0.063811	N/A	2.01	N/A	N/A	N/A	N/A	N/A
31	0.063338	N/A	N/A	1.99	N/A	N/A	N/A	N/A	N/A
32	0.063421	0.062499	N/A	2.00	N/A	N/A	N/A	N/A	N/A
33	0.063606	N/A	N/A	2.01	N/A	N/A	N/A	N/A	N/A
34	0.062926	0.063301	N/A	2.00	N/A	N/A	N/A	N/A	N/A
35	0.062860	N/A	N/A	2.01	N/A	N/A	N/A	N/A	N/A
36	0.062800	0.063606	N/A	2.01	N/A	N/A	N/A	N/A	N/A
37	0.062667	N/A	N/A	2.02	N/A	N/A	N/A	N/A	N/A
38	0.062434	0.063766	N/A	2.01	N/A	N/A	N/A	N/A	N/A
39	0.062325	N/A	N/A	2.00	N/A	N/A	N/A	N/A	N/A
40	0.062230	0.063010	N/A	2.01	N/A	N/A	N/A	N/A	N/A
41	0.062202	N/A	N/A	2.01	N/A	N/A	N/A	N/A	N/A
42	0.062053	0.063259	N/A	2.00	N/A	N/A	N/A	N/A	N/A
43	0.061859	N/A	N/A	2.00	N/A	N/A	N/A	N/A	N/A
44	0.061618	0.063087	N/A	2.02	N/A	N/A	N/A	N/A	N/A
45	0.061660	N/A	N/A	2.01	N/A	N/A	N/A	N/A	N/A
46	0.061526	0.062784	N/A	2.02	N/A	N/A	N/A	N/A	N/A
47	0.061157	N/A	N/A	2.01	N/A	N/A	N/A	N/A	N/A
48	0.061363	0.062740	N/A	2.00	N/A	N/A	N/A	N/A	N/A
49	0.061500	N/A	N/A	2.01	N/A	N/A	N/A	N/A	N/A
50	0.061361	0.062746	N/A	2.02	N/A	N/A	N/A	N/A	N/A
