epoch	train_task_loss	val_loss	expert_entropy_normalized	avg_depth	mean_cos_sim	max_cos_sim	routing_accuracy	routing_hungarian_acc	routing_ami
1	0.112840	N/A	N/A	2.00	N/A	N/A	N/A	N/A	N/A
2	0.075181	0.074356	N/A	2.00	N/A	N/A	N/A	N/A	N/A
3	0.073524	N/A	N/A	2.01	N/A	N/A	N/A	N/A	N/A
4	0.072347	0.069181	N/A	2.02	N/A	N/A	N/A	N/A	N/A
5	0.071166	N/A	N/A	2.02	N/A	N/A	N/A	N/A	N/A
6	0.070833	0.070125	N/A	2.03	N/A	N/A	N/A	N/A	N/A
7	0.069468	N/A	N/A	1.87	N/A	N/A	N/A	N/A	N/A
8	0.068647	0.067043	N/A	1.88	N/A	N/A	N/A	N/A	N/A
9	0.067620	N/A	N/A	1.80	N/A	N/A	N/A	N/A	N/A
10	0.067439	0.064573	N/A	1.75	N/A	N/A	N/A	N/A	N/A
11	0.067395	N/A	N/A	2.01	N/A	N/A	N/A	N/A	N/A
12	0.066457	0.065552	N/A	1.88	N/A	N/A	N/A	N/A	N/A
13	0.066255	N/A	N/A	1.93	N/A	N/A	N/A	N/A	N/A
14	0.066316	0.065551	N/A	1.97	N/A	N/A	N/A	N/A	N/A
15	0.065972	N/A	N/A	1.99	N/A	N/A	N/A	N/A	N/A
16	0.066064	0.064905	N/A	1.92	N/A	N/A	N/A	N/A	N/A
17	0.065241	N/A	N/A	1.98	N/A	N/A	N/A	N/A	N/A
18	0.065252	0.063951	N/A	1.98	N/A	N/A	N/A	N/A	N/A
19	0.065124	N/A	N/A	1.93	N/A	N/A	N/A	N/A	N/A
20	0.065144	0.064069	N/A	1.98	N/A	N/A	N/A	N/A	N/A
21	0.064873	N/A	N/A	1.97	N/A	N/A	N/A	N/A	N/A
22	0.064764	0.063552	N/A	1.98	N/A	N/A	N/A	N/A	N/A
23	0.064566	N/A	N/A	1.98	N/A	N/A	N/A	N/A	N/A
24	0.064369	0.062704	N/A	1.96	N/A	N/A	N/A	N/A	N/A
25	0.064382	N/A	N/A	1.99	N/A	N/A	N/A	N/A	N/A
26	0.064011	0.063283	N/A	1.97	N/A	N/A	N/A	N/A	N/A
27	0.063807	N/A	N/A	2.01	N/A	N/A	N/A	N/A	N/A
28	0.063794	0.063852	N/A	2.00	N/A	N/A	N/A	N/A	N/A
29	0.064093	N/A	N/A	2.02	N/A	N/A	N/A	N/A	N/A
30	0.063709	0.064227	N/A	2.00	N/A	N/A	N/A	N/A	N/A
31	0.063452	N/A	N/A	2.02	N/A	N/A	N/A	N/A	N/A
32	0.063375	0.063027	N/A	2.00	N/A	N/A	N/A	N/A	N/A
33	0.063221	N/A	N/A	2.01	N/A	N/A	N/A	N/A	N/A
34	0.062939	0.063722	N/A	2.00	N/A	N/A	N/A	N/A	N/A
35	0.062883	N/A	N/A	2.01	N/A	N/A	N/A	N/A	N/A
36	0.062840	0.062781	N/A	1.99	N/A	N/A	N/A	N/A	N/A
37	0.062575	N/A	N/A	2.00	N/A	N/A	N/A	N/A	N/A
38	0.062607	0.062715	N/A	1.98	N/A	N/A	N/A	N/A	N/A
39	0.062484	N/A	N/A	2.01	N/A	N/A	N/A	N/A	N/A
40	0.062498	0.062786	N/A	2.00	N/A	N/A	N/A	N/A	N/A
41	0.062411	N/A	N/A	1.99	N/A	N/A	N/A	N/A	N/A
42	0.061961	0.062473	N/A	2.00	N/A	N/A	N/A	N/A	N/A
43	0.062117	N/A	N/A	2.00	N/A	N/A	N/A	N/A	N/A
44	0.062062	0.062564	N/A	2.01	N/A	N/A	N/A	N/A	N/A
45	0.061765	N/A	N/A	2.01	N/A	N/A	N/A	N/A	N/A
46	0.061792	0.062535	N/A	2.01	N/A	N/A	N/A	N/A	N/A
47	0.061769	N/A	N/A	2.02	N/A	N/A	N/A	N/A	N/A
48	0.061748	0.062566	N/A	2.01	N/A	N/A	N/A	N/A	N/A
49	0.061420	N/A	N/A	2.01	N/A	N/A	N/A	N/A	N/A
50	0.061553	0.062586	N/A	2.00	N/A	N/A	N/A	N/A	N/A
