epoch	train_task_loss	val_loss	expert_entropy_normalized	avg_depth	mean_cos_sim	max_cos_sim	routing_accuracy	routing_hungarian_acc	routing_ami
1	0.086823	N/A	0.8935	2.92	-0.0003	0.0039	N/A	N/A	N/A
2	0.075434	0.072351	0.9071	2.83	-0.0004	0.0040	0.1420	0.4901	0.4139
3	0.073892	N/A	0.9306	2.47	-0.0002	0.0036	N/A	N/A	N/A
4	0.073023	0.069317	0.9269	2.30	0.0002	0.0043	0.1461	0.4918	0.4148
5	0.071636	N/A	0.9307	2.22	0.0006	0.0046	N/A	N/A	N/A
6	0.071469	0.068269	0.9329	2.20	0.0015	0.0055	0.1888	0.4853	0.4322
7	0.069720	N/A	0.9568	2.50	0.0023	0.0072	N/A	N/A	N/A
8	0.069099	0.065237	0.9703	2.30	0.0038	0.0107	0.1469	0.5584	0.4707
9	0.069550	N/A	0.9665	2.19	0.0056	0.0150	N/A	N/A	N/A
10	0.069151	0.066617	0.9587	2.19	0.0081	0.0188	0.1963	0.5224	0.4390
11	0.068147	N/A	0.9647	2.14	0.0098	0.0210	N/A	N/A	N/A
12	0.066689	0.066278	0.9522	2.14	0.0113	0.0233	0.1493	0.4322	0.4019
13	0.066550	N/A	0.9773	2.34	0.0125	0.0262	N/A	N/A	N/A
14	0.066359	0.064700	0.9672	2.14	0.0137	0.0288	0.1176	0.4917	0.4537
15	0.066077	N/A	0.9843	2.09	0.0146	0.0315	N/A	N/A	N/A
16	0.065523	0.064498	0.9747	2.07	0.0156	0.0332	0.1966	0.4462	0.4097
17	0.065188	N/A	0.9742	2.07	0.0160	0.0339	N/A	N/A	N/A
18	0.064830	0.064655	0.9820	2.20	0.0171	0.0367	0.0778	0.5481	0.5192
19	0.064659	N/A	0.9849	2.15	0.0183	0.0397	N/A	N/A	N/A
20	0.064228	0.063292	0.9799	2.10	0.0185	0.0398	0.0771	0.5002	0.4642
21	0.064229	N/A	0.9890	2.19	0.0196	0.0415	N/A	N/A	N/A
22	0.064076	0.064408	0.9872	2.13	0.0198	0.0419	0.1558	0.5541	0.4838
23	0.063767	N/A	0.9866	2.17	0.0203	0.0435	N/A	N/A	N/A
24	0.063720	0.063959	0.9840	2.14	0.0208	0.0437	0.0775	0.5758	0.4975
25	0.063230	N/A	0.9866	2.24	0.0215	0.0437	N/A	N/A	N/A
26	0.063038	0.063607	0.9886	2.13	0.0218	0.0440	0.1534	0.4746	0.4156
27	0.062959	N/A	0.9783	2.12	0.0219	0.0447	N/A	N/A	N/A
28	0.062925	0.065679	0.9841	2.17	0.0225	0.0455	0.0762	0.5306	0.4508
29	0.062692	N/A	0.9824	2.14	0.0229	0.0470	N/A	N/A	N/A
30	0.062583	0.063097	0.9864	2.09	0.0233	0.0464	0.1958	0.5589	0.4951
31	0.062037	N/A	0.9789	2.11	0.0232	0.0458	N/A	N/A	N/A
32	0.062055	0.063117	0.9909	2.06	0.0235	0.0460	0.1959	0.4231	0.4362
33	0.061802	N/A	0.9892	2.08	0.0237	0.0470	N/A	N/A	N/A
34	0.061774	0.063196	0.9913	2.07	0.0239	0.0471	0.1928	0.4555	0.4169
35	0.061771	N/A	0.9897	2.05	0.0240	0.0475	N/A	N/A	N/A
36	0.061533	0.063538	0.9865	2.04	0.0241	0.0472	0.1954	0.4210	0.4340
37	0.061197	N/A	0.9892	2.07	0.0241	0.0474	N/A	N/A	N/A
38	0.061085	0.063879	0.9880	2.06	0.0243	0.0478	0.1583	0.4292	0.3717
39	0.060737	N/A	0.9841	2.04	0.0244	0.0478	N/A	N/A	N/A
40	0.060752	0.063878	0.9866	2.03	0.0244	0.0477	0.1201	0.4922	0.4374
41	0.060692	N/A	0.9850	2.03	0.0244	0.0478	N/A	N/A	N/A
42	0.060430	0.063464	0.9833	2.07	0.0245	0.0479	0.1206	0.4447	0.4039
43	0.060330	N/A	0.9913	2.04	0.0245	0.0478	N/A	N/A	N/A
44	0.060042	0.063433	0.9932	2.06	0.0245	0.0478	0.1205	0.4643	0.4146
45	0.059918	N/A	0.9900	2.04	0.0245	0.0478	N/A	N/A	N/A
46	0.059978	0.063582	0.9841	2.06	0.0245	0.0478	0.1211	0.5204	0.4564
47	0.059989	N/A	0.9855	2.04	0.0245	0.0478	N/A	N/A	N/A
48	0.059982	0.063442	0.9849	2.05	0.0245	0.0477	0.1211	0.5466	0.4715
49	0.059730	N/A	0.9866	2.04	0.0245	0.0477	N/A	N/A	N/A
50	0.059712	0.063307	0.9857	2.05	0.0245	0.0477	0.1211	0.5429	0.4658
