epoch	train_task_loss	val_loss	expert_entropy_normalized	avg_depth	mean_cos_sim	max_cos_sim	routing_accuracy	routing_hungarian_acc	routing_ami
1	0.081423	N/A	0.8338	2.52	0.0003	0.0031	N/A	N/A	N/A
2	0.075092	0.070492	0.8875	2.56	0.0006	0.0031	0.0091	0.4446	0.4447
3	0.073073	N/A	0.9217	2.42	0.0010	0.0061	N/A	N/A	N/A
4	0.072218	0.070038	0.9026	2.52	0.0017	0.0102	0.0077	0.4445	0.4494
5	0.070558	N/A	0.9216	2.34	0.0028	0.0161	N/A	N/A	N/A
6	0.069668	0.069196	0.9177	2.38	0.0043	0.0207	0.0087	0.4371	0.4291
7	0.069051	N/A	0.8996	2.19	0.0057	0.0289	N/A	N/A	N/A
8	0.068549	0.067839	0.9043	2.23	0.0074	0.0336	0.0111	0.4868	0.5039
9	0.067982	N/A	0.9123	2.21	0.0086	0.0386	N/A	N/A	N/A
10	0.067324	0.065731	0.9271	2.20	0.0111	0.0435	0.0107	0.4480	0.4717
11	0.067310	N/A	0.9073	2.25	0.0137	0.0480	N/A	N/A	N/A
12	0.066989	0.064549	0.9180	2.20	0.0157	0.0528	0.0127	0.4438	0.4588
13	0.066694	N/A	0.9346	2.23	0.0171	0.0551	N/A	N/A	N/A
14	0.066351	0.065658	0.9330	2.23	0.0174	0.0541	0.0143	0.4680	0.4568
15	0.065885	N/A	0.9483	2.12	0.0183	0.0576	N/A	N/A	N/A
16	0.065415	0.065953	0.9532	2.13	0.0191	0.0602	0.0131	0.4675	0.4548
17	0.065638	N/A	0.9461	2.39	0.0214	0.0614	N/A	N/A	N/A
18	0.065257	0.064773	0.9477	2.18	0.0233	0.0658	0.0145	0.5910	0.5411
19	0.065124	N/A	0.9597	2.24	0.0237	0.0660	N/A	N/A	N/A
20	0.064462	0.063913	0.9604	2.27	0.0244	0.0686	0.0614	0.5941	0.5655
21	0.064214	N/A	0.9717	2.25	0.0251	0.0713	N/A	N/A	N/A
22	0.064109	0.064032	0.9620	2.14	0.0254	0.0730	0.0191	0.5856	0.5258
23	0.064178	N/A	0.9739	2.29	0.0261	0.0748	N/A	N/A	N/A
24	0.063687	0.063606	0.9800	2.17	0.0264	0.0757	0.0160	0.5955	0.5320
25	0.063468	N/A	0.9710	2.12	0.0269	0.0761	N/A	N/A	N/A
26	0.063395	0.064071	0.9734	2.12	0.0272	0.0763	0.0142	0.5881	0.5277
27	0.063654	N/A	0.9717	2.23	0.0279	0.0771	N/A	N/A	N/A
28	0.063123	0.063996	0.9783	2.25	0.0286	0.0786	0.1381	0.5086	0.4761
29	0.063062	N/A	0.9792	2.22	0.0287	0.0784	N/A	N/A	N/A
30	0.062796	0.063803	0.9792	2.25	0.0289	0.0793	0.0589	0.5009	0.4907
31	0.062516	N/A	0.9810	2.17	0.0291	0.0798	N/A	N/A	N/A
32	0.062370	0.063972	0.9825	2.23	0.0294	0.0800	0.0589	0.5154	0.4972
33	0.062145	N/A	0.9830	2.18	0.0295	0.0804	N/A	N/A	N/A
34	0.061989	0.063818	0.9855	2.14	0.0296	0.0807	0.0390	0.5009	0.4443
35	0.061959	N/A	0.9877	2.09	0.0299	0.0815	N/A	N/A	N/A
36	0.061674	0.062766	0.9899	2.16	0.0301	0.0819	0.2065	0.4484	0.4160
37	0.061599	N/A	0.9880	2.13	0.0302	0.0820	N/A	N/A	N/A
38	0.061361	0.063206	0.9877	2.11	0.0304	0.0823	0.0939	0.4462	0.4235
39	0.061302	N/A	0.9879	2.13	0.0304	0.0826	N/A	N/A	N/A
40	0.061215	0.063464	0.9873	2.10	0.0305	0.0826	0.0173	0.5152	0.4849
41	0.060978	N/A	0.9896	2.12	0.0306	0.0828	N/A	N/A	N/A
42	0.060744	0.063296	0.9883	2.14	0.0307	0.0829	0.0173	0.5155	0.4840
43	0.060777	N/A	0.9879	2.08	0.0307	0.0829	N/A	N/A	N/A
44	0.060541	0.063536	0.9891	2.12	0.0307	0.0829	0.0823	0.4500	0.4415
45	0.060403	N/A	0.9893	2.16	0.0308	0.0829	N/A	N/A	N/A
46	0.060414	0.063434	0.9894	2.11	0.0308	0.0829	0.0183	0.5138	0.4819
47	0.060231	N/A	0.9886	2.12	0.0308	0.0829	N/A	N/A	N/A
48	0.060297	0.063333	0.9892	2.13	0.0308	0.0829	0.0186	0.5132	0.4811
49	0.060216	N/A	0.9889	2.12	0.0308	0.0829	N/A	N/A	N/A
50	0.060197	0.063341	0.9888	2.13	0.0308	0.0829	0.0183	0.5134	0.4817
