epoch	train_task_loss	val_loss	expert_entropy_normalized	avg_depth	mean_cos_sim	max_cos_sim	routing_accuracy	routing_hungarian_acc	routing_ami
1	0.089028	N/A	0.8817	2.95	-0.0002	0.0037	N/A	N/A	N/A
2	0.075355	0.074136	0.9168	2.84	-0.0002	0.0035	0.0993	0.4482	0.4190
3	0.073769	N/A	0.9328	2.77	0.0000	0.0044	N/A	N/A	N/A
4	0.072591	0.069822	0.9343	2.81	0.0002	0.0065	0.1005	0.4953	0.4811
5	0.071631	N/A	0.9293	2.57	0.0011	0.0100	N/A	N/A	N/A
6	0.070521	0.067743	0.9706	2.49	0.0031	0.0186	0.0990	0.4715	0.4880
7	0.069547	N/A	0.9465	2.35	0.0047	0.0258	N/A	N/A	N/A
8	0.068814	0.068426	0.9610	2.39	0.0064	0.0304	0.0971	0.5778	0.5358
9	0.068020	N/A	0.9458	2.23	0.0076	0.0347	N/A	N/A	N/A
10	0.067245	0.066596	0.9454	2.24	0.0089	0.0412	0.0983	0.5342	0.5233
11	0.066739	N/A	0.9429	2.12	0.0102	0.0456	N/A	N/A	N/A
12	0.066481	0.065465	0.9422	2.08	0.0109	0.0474	0.0960	0.5935	0.6268
13	0.066347	N/A	0.9596	2.09	0.0122	0.0511	N/A	N/A	N/A
14	0.066035	0.064644	0.9647	2.05	0.0135	0.0579	0.0976	0.5568	0.5829
15	0.066228	N/A	0.9495	2.06	0.0140	0.0617	N/A	N/A	N/A
16	0.065558	0.064546	0.9387	2.07	0.0153	0.0653	0.1100	0.6331	0.6240
17	0.064864	N/A	0.9517	2.08	0.0159	0.0669	N/A	N/A	N/A
18	0.064933	0.064428	0.9501	2.12	0.0178	0.0704	0.1025	0.4349	0.4167
19	0.064797	N/A	0.9456	2.00	0.0190	0.0704	N/A	N/A	N/A
20	0.064722	0.063856	0.9470	2.08	0.0199	0.0705	0.0992	0.5164	0.5159
21	0.064509	N/A	0.9677	1.98	0.0201	0.0726	N/A	N/A	N/A
22	0.064217	0.063989	0.9705	2.00	0.0206	0.0730	0.0995	0.6335	0.6326
23	0.063674	N/A	0.9731	2.00	0.0212	0.0739	N/A	N/A	N/A
24	0.063747	0.063610	0.9710	2.03	0.0214	0.0749	0.0997	0.6133	0.6234
25	0.063594	N/A	0.9703	1.96	0.0217	0.0761	N/A	N/A	N/A
26	0.063467	0.063591	0.9736	1.98	0.0227	0.0776	0.0995	0.5810	0.5795
27	0.063105	N/A	0.9662	1.96	0.0227	0.0778	N/A	N/A	N/A
28	0.063004	0.063851	0.9740	2.06	0.0228	0.0789	0.0981	0.5914	0.5946
29	0.062608	N/A	0.9819	2.04	0.0232	0.0797	N/A	N/A	N/A
30	0.062634	0.064077	0.9847	1.94	0.0235	0.0805	0.0976	0.6065	0.5689
31	0.062697	N/A	0.9739	1.96	0.0234	0.0805	N/A	N/A	N/A
32	0.062301	0.063908	0.9861	1.97	0.0238	0.0815	0.0985	0.5423	0.5523
33	0.061967	N/A	0.9835	1.96	0.0240	0.0818	N/A	N/A	N/A
34	0.062022	0.062830	0.9867	1.96	0.0240	0.0822	0.0985	0.5455	0.5597
35	0.061500	N/A	0.9901	1.97	0.0242	0.0824	N/A	N/A	N/A
36	0.061543	0.063958	0.9834	1.96	0.0242	0.0823	0.0980	0.5556	0.5825
37	0.061739	N/A	0.9848	1.99	0.0242	0.0823	N/A	N/A	N/A
38	0.061379	0.063661	0.9850	1.96	0.0244	0.0828	0.0985	0.6249	0.6058
39	0.061027	N/A	0.9809	1.99	0.0244	0.0830	N/A	N/A	N/A
40	0.060997	0.063335	0.9833	1.98	0.0245	0.0831	0.0980	0.6088	0.5981
41	0.060709	N/A	0.9833	1.97	0.0245	0.0831	N/A	N/A	N/A
42	0.060610	0.063512	0.9840	2.00	0.0245	0.0831	0.0980	0.6063	0.5592
43	0.060692	N/A	0.9828	1.99	0.0245	0.0830	N/A	N/A	N/A
44	0.060378	0.063122	0.9844	1.98	0.0245	0.0831	0.0980	0.6038	0.5708
45	0.060405	N/A	0.9841	1.99	0.0246	0.0830	N/A	N/A	N/A
46	0.060447	0.063264	0.9824	1.99	0.0246	0.0830	0.0979	0.6058	0.5914
47	0.060230	N/A	0.9835	2.00	0.0246	0.0830	N/A	N/A	N/A
48	0.060364	0.063206	0.9835	1.97	0.0246	0.0830	0.0975	0.6048	0.5717
49	0.060168	N/A	0.9832	2.00	0.0246	0.0830	N/A	N/A	N/A
50	0.060197	0.063222	0.9835	1.98	0.0246	0.0830	0.0976	0.6050	0.5802
