epoch	train_task_loss	val_loss	expert_entropy_normalized	avg_depth	mean_cos_sim	max_cos_sim	routing_accuracy	routing_hungarian_acc	routing_ami
1	0.083522	N/A	0.8306	2.87	-0.0002	0.0021	N/A	N/A	N/A
2	0.075274	0.070590	0.8991	2.90	-0.0001	0.0019	0.3624	0.6184	0.6058
3	0.073539	N/A	0.9158	2.67	0.0001	0.0024	N/A	N/A	N/A
4	0.072619	0.069923	0.9278	2.39	0.0004	0.0029	0.3630	0.6177	0.6036
5	0.071480	N/A	0.9318	2.28	0.0013	0.0062	N/A	N/A	N/A
6	0.069732	0.066939	0.9518	2.25	0.0024	0.0103	0.3656	0.6169	0.6060
7	0.069202	N/A	0.9381	2.28	0.0031	0.0136	N/A	N/A	N/A
8	0.068940	0.067071	0.9335	2.17	0.0043	0.0184	0.4107	0.6608	0.6300
9	0.068334	N/A	0.9503	2.20	0.0052	0.0220	N/A	N/A	N/A
10	0.067998	0.067273	0.9383	2.14	0.0077	0.0281	0.3645	0.6184	0.6070
11	0.067922	N/A	0.9336	2.12	0.0094	0.0298	N/A	N/A	N/A
12	0.066843	0.065302	0.9371	2.04	0.0111	0.0312	0.3647	0.6053	0.5834
13	0.066325	N/A	0.9465	2.06	0.0117	0.0321	N/A	N/A	N/A
14	0.065986	0.065349	0.9572	2.11	0.0125	0.0348	0.4817	0.5178	0.5580
15	0.065904	N/A	0.9537	2.03	0.0128	0.0357	N/A	N/A	N/A
16	0.065573	0.064757	0.9617	2.02	0.0133	0.0374	0.4360	0.4718	0.5267
17	0.065232	N/A	0.9737	2.01	0.0139	0.0379	N/A	N/A	N/A
18	0.065581	0.064345	0.9860	2.01	0.0142	0.0392	0.4361	0.4688	0.5190
19	0.064740	N/A	0.9834	2.07	0.0146	0.0398	N/A	N/A	N/A
20	0.064786	0.064460	0.9867	2.02	0.0146	0.0392	0.4795	0.5136	0.5464
21	0.064457	N/A	0.9825	2.03	0.0150	0.0410	N/A	N/A	N/A
22	0.064440	0.063465	0.9861	2.07	0.0154	0.0415	0.5082	0.5174	0.5372
23	0.063988	N/A	0.9938	2.05	0.0163	0.0420	N/A	N/A	N/A
24	0.063827	0.063490	0.9886	2.02	0.0167	0.0431	0.4719	0.5167	0.5179
25	0.063695	N/A	0.9930	2.07	0.0170	0.0430	N/A	N/A	N/A
26	0.063479	0.064531	0.9946	2.05	0.0176	0.0435	0.4714	0.5148	0.5356
27	0.063473	N/A	0.9939	2.01	0.0178	0.0439	N/A	N/A	N/A
28	0.063184	0.063713	0.9924	2.04	0.0179	0.0441	0.4716	0.4823	0.5208
29	0.062725	N/A	0.9912	2.07	0.0181	0.0442	N/A	N/A	N/A
30	0.063002	0.063736	0.9927	2.05	0.0183	0.0448	0.5465	0.5895	0.5755
31	0.062605	N/A	0.9911	2.05	0.0185	0.0455	N/A	N/A	N/A
32	0.062414	0.063132	0.9916	2.04	0.0186	0.0457	0.5513	0.5610	0.5712
33	0.062508	N/A	0.9925	2.04	0.0188	0.0458	N/A	N/A	N/A
34	0.062055	0.063650	0.9921	2.09	0.0188	0.0460	0.4026	0.4679	0.5041
35	0.061999	N/A	0.9925	2.07	0.0189	0.0455	N/A	N/A	N/A
36	0.061843	0.063825	0.9916	2.03	0.0190	0.0455	0.5195	0.5626	0.5461
37	0.061693	N/A	0.9922	2.07	0.0191	0.0458	N/A	N/A	N/A
38	0.061440	0.063850	0.9913	2.12	0.0191	0.0459	0.4476	0.5127	0.5351
39	0.061326	N/A	0.9922	2.06	0.0191	0.0460	N/A	N/A	N/A
40	0.061157	0.063484	0.9909	2.13	0.0191	0.0459	0.4083	0.4732	0.5060
41	0.061224	N/A	0.9934	2.07	0.0191	0.0458	N/A	N/A	N/A
42	0.060984	0.063586	0.9926	2.11	0.0192	0.0458	0.4485	0.5124	0.5356
43	0.060820	N/A	0.9932	2.10	0.0192	0.0458	N/A	N/A	N/A
44	0.060649	0.063510	0.9927	2.12	0.0192	0.0458	0.4486	0.5124	0.5357
45	0.060706	N/A	0.9927	2.04	0.0192	0.0458	N/A	N/A	N/A
46	0.060416	0.063311	0.9876	2.05	0.0192	0.0458	0.4978	0.5410	0.5401
47	0.060190	N/A	0.9899	2.05	0.0192	0.0458	N/A	N/A	N/A
48	0.060377	0.063305	0.9885	2.04	0.0192	0.0458	0.5005	0.5438	0.5407
49	0.060405	N/A	0.9901	2.07	0.0192	0.0458	N/A	N/A	N/A
50	0.060370	0.063313	0.9911	2.06	0.0192	0.0458	0.4893	0.5325	0.5384
