epoch	train_task_loss	val_loss	expert_entropy_normalized	avg_depth	mean_cos_sim	max_cos_sim	routing_accuracy	routing_hungarian_acc	routing_ami
1	0.082497	N/A	0.8573	3.01	-0.0002	0.0038	N/A	N/A	N/A
2	0.076002	0.071134	0.8937	2.69	0.0000	0.0072	0.1005	0.4178	0.4695
3	0.073769	N/A	0.9102	2.54	0.0006	0.0152	N/A	N/A	N/A
4	0.072462	0.068253	0.9201	2.49	0.0014	0.0214	0.1005	0.4600	0.4895
5	0.071843	N/A	0.9328	2.30	0.0020	0.0236	N/A	N/A	N/A
6	0.070722	0.069507	0.9289	2.25	0.0027	0.0266	0.1005	0.4610	0.4798
7	0.071818	N/A	0.9347	2.21	0.0063	0.0442	N/A	N/A	N/A
8	0.070635	0.069894	0.9110	2.43	0.0083	0.0509	0.1014	0.4599	0.4757
9	0.069391	N/A	0.9286	2.29	0.0105	0.0600	N/A	N/A	N/A
10	0.068383	0.066532	0.9283	2.09	0.0120	0.0656	0.1348	0.4593	0.4872
11	0.067714	N/A	0.9481	2.04	0.0136	0.0722	N/A	N/A	N/A
12	0.066986	0.065198	0.9495	2.01	0.0150	0.0768	0.1074	0.4591	0.4653
13	0.068041	N/A	0.9519	2.28	0.0173	0.0784	N/A	N/A	N/A
14	0.066896	0.066222	0.9661	2.14	0.0191	0.0837	0.1010	0.4411	0.4487
15	0.066494	N/A	0.9717	2.05	0.0199	0.0869	N/A	N/A	N/A
16	0.066225	0.065218	0.9700	2.07	0.0215	0.0901	0.1412	0.5056	0.4835
17	0.065299	N/A	0.9730	2.10	0.0222	0.0921	N/A	N/A	N/A
18	0.065338	0.063930	0.9774	2.19	0.0222	0.0932	0.0634	0.5057	0.4716
19	0.064985	N/A	0.9605	2.14	0.0235	0.0968	N/A	N/A	N/A
20	0.065056	0.063518	0.9659	2.22	0.0245	0.0970	0.0969	0.4349	0.3864
21	0.064671	N/A	0.9664	2.11	0.0250	0.0984	N/A	N/A	N/A
22	0.064919	0.063272	0.9754	2.23	0.0266	0.0991	0.0619	0.4753	0.4374
23	0.064436	N/A	0.9815	2.18	0.0270	0.1006	N/A	N/A	N/A
24	0.063999	0.062781	0.9830	2.23	0.0273	0.1006	0.0960	0.4893	0.4798
25	0.064006	N/A	0.9861	2.23	0.0278	0.1013	N/A	N/A	N/A
26	0.063706	0.062632	0.9829	2.16	0.0281	0.1013	0.0964	0.4901	0.4819
27	0.063356	N/A	0.9838	2.21	0.0286	0.1025	N/A	N/A	N/A
28	0.063307	0.063141	0.9836	2.05	0.0287	0.1037	0.0956	0.4893	0.4614
29	0.063381	N/A	0.9834	2.03	0.0291	0.1040	N/A	N/A	N/A
30	0.063147	0.063642	0.9829	2.17	0.0291	0.1038	0.0201	0.4769	0.4712
31	0.062903	N/A	0.9905	2.11	0.0297	0.1052	N/A	N/A	N/A
32	0.062650	0.063012	0.9866	2.05	0.0298	0.1054	0.0635	0.4433	0.4141
33	0.062481	N/A	0.9860	2.09	0.0301	0.1056	N/A	N/A	N/A
34	0.062322	0.063604	0.9804	2.05	0.0304	0.1060	0.0640	0.4892	0.4335
35	0.062108	N/A	0.9811	2.11	0.0306	0.1065	N/A	N/A	N/A
36	0.062085	0.062645	0.9828	2.10	0.0307	0.1065	0.1059	0.4282	0.3908
37	0.061724	N/A	0.9857	2.08	0.0308	0.1070	N/A	N/A	N/A
38	0.061724	0.062718	0.9858	2.07	0.0309	0.1070	0.0229	0.4856	0.4282
39	0.061606	N/A	0.9862	2.09	0.0308	0.1068	N/A	N/A	N/A
40	0.061610	0.062740	0.9856	2.02	0.0310	0.1069	0.0655	0.4438	0.4105
41	0.061387	N/A	0.9848	2.09	0.0310	0.1067	N/A	N/A	N/A
42	0.061072	0.062664	0.9849	2.03	0.0310	0.1069	0.0701	0.4446	0.4071
43	0.061208	N/A	0.9845	2.09	0.0311	0.1070	N/A	N/A	N/A
44	0.061282	0.062777	0.9868	2.06	0.0311	0.1070	0.0674	0.4450	0.4071
45	0.060918	N/A	0.9868	2.04	0.0311	0.1069	N/A	N/A	N/A
46	0.060785	0.062798	0.9851	2.05	0.0312	0.1069	0.0898	0.4322	0.3924
47	0.060808	N/A	0.9857	2.12	0.0312	0.1069	N/A	N/A	N/A
48	0.060801	0.062755	0.9884	2.12	0.0312	0.1069	0.0799	0.4356	0.3908
49	0.060557	N/A	0.9884	2.13	0.0312	0.1069	N/A	N/A	N/A
50	0.060708	0.062748	0.9882	2.11	0.0312	0.1069	0.0881	0.4353	0.3873
