epoch	train_task_loss	val_loss	expert_entropy_normalized	avg_depth	mean_cos_sim	max_cos_sim	routing_accuracy	routing_hungarian_acc	routing_ami
1	0.081940	nan	0.9202	2.26	0.0004	0.0030	N/A	N/A	N/A
2	0.076053	nan	0.9078	2.29	0.0003	0.0028	N/A	N/A	N/A
3	0.074367	nan	0.8907	2.39	-0.0002	0.0029	N/A	N/A	N/A
4	0.073051	nan	0.8908	2.27	-0.0003	0.0029	N/A	N/A	N/A
5	0.071745	nan	0.9222	2.14	-0.0003	0.0031	N/A	N/A	N/A
6	0.070901	nan	0.9283	2.07	-0.0002	0.0032	N/A	N/A	N/A
7	0.071223	nan	0.9451	2.09	-0.0003	0.0033	N/A	N/A	N/A
8	0.070088	nan	0.9513	2.10	-0.0002	0.0046	N/A	N/A	N/A
9	0.068509	nan	0.9517	2.20	-0.0002	0.0054	N/A	N/A	N/A
10	0.067837	0.069191	0.9503	2.17	-0.0002	0.0056	1.0000	1.0000	1.0000
11	0.067345	nan	0.9500	2.12	-0.0000	0.0059	N/A	N/A	N/A
12	0.066505	nan	0.9519	2.14	-0.0000	0.0062	N/A	N/A	N/A
13	0.066484	nan	0.9521	2.12	0.0000	0.0065	N/A	N/A	N/A
14	0.066031	nan	0.9517	2.12	0.0000	0.0064	N/A	N/A	N/A
15	0.065405	nan	0.9519	2.12	0.0001	0.0065	N/A	N/A	N/A
16	0.064847	nan	0.9520	2.13	0.0001	0.0065	N/A	N/A	N/A
17	0.064675	nan	0.9519	2.11	0.0001	0.0066	N/A	N/A	N/A
18	0.064466	nan	0.9517	2.13	0.0001	0.0066	N/A	N/A	N/A
19	0.064316	nan	0.9518	2.13	0.0001	0.0066	N/A	N/A	N/A
20	0.064285	0.063703	0.9518	2.14	0.0001	0.0066	1.0000	1.0000	1.0000
