epoch	train_task_loss	val_loss	expert_entropy_normalized	avg_depth	mean_cos_sim	max_cos_sim	routing_accuracy	routing_hungarian_acc	routing_ami
1	0.089511	nan	0.8954	2.54	-0.0004	0.0037	N/A	N/A	N/A
2	0.075802	nan	0.8814	2.58	-0.0005	0.0038	N/A	N/A	N/A
3	0.074496	nan	0.8997	2.63	-0.0006	0.0033	N/A	N/A	N/A
4	0.073065	nan	0.9214	2.42	-0.0005	0.0037	N/A	N/A	N/A
5	0.072300	nan	0.9282	2.22	-0.0003	0.0038	N/A	N/A	N/A
6	0.070133	nan	0.9193	2.37	-0.0002	0.0037	N/A	N/A	N/A
7	0.069189	nan	0.9103	2.39	-0.0001	0.0035	N/A	N/A	N/A
8	0.067953	nan	0.9296	2.39	0.0000	0.0036	N/A	N/A	N/A
9	0.067623	nan	0.9244	2.40	0.0002	0.0039	N/A	N/A	N/A
10	0.066755	0.065915	0.9248	2.43	0.0003	0.0041	0.9989	0.9989	0.9964
11	0.066596	nan	0.9170	2.45	0.0005	0.0041	N/A	N/A	N/A
12	0.065790	nan	0.9184	2.44	0.0006	0.0046	N/A	N/A	N/A
13	0.065315	nan	0.9207	2.38	0.0006	0.0048	N/A	N/A	N/A
14	0.065077	nan	0.9208	2.45	0.0007	0.0052	N/A	N/A	N/A
15	0.064844	nan	0.9199	2.51	0.0008	0.0052	N/A	N/A	N/A
16	0.064313	nan	0.9215	2.44	0.0008	0.0055	N/A	N/A	N/A
17	0.063947	nan	0.9208	2.48	0.0009	0.0055	N/A	N/A	N/A
18	0.063751	nan	0.9215	2.49	0.0009	0.0056	N/A	N/A	N/A
19	0.063623	nan	0.9218	2.48	0.0009	0.0056	N/A	N/A	N/A
20	0.063379	0.063380	0.9217	2.45	0.0009	0.0056	0.9994	0.9994	0.9977
