epoch	train_task_loss	val_loss	expert_entropy_normalized	avg_depth	mean_cos_sim	max_cos_sim	routing_accuracy	routing_hungarian_acc	routing_ami
1	0.088968	nan	0.8831	3.00	-0.0003	0.0039	N/A	N/A	N/A
2	0.074952	nan	0.9210	2.90	-0.0002	0.0035	N/A	N/A	N/A
3	0.073292	nan	0.9216	2.66	-0.0002	0.0034	N/A	N/A	N/A
4	0.072159	nan	0.9224	2.70	0.0002	0.0048	N/A	N/A	N/A
5	0.071752	nan	0.9154	2.32	0.0006	0.0071	N/A	N/A	N/A
6	0.070430	nan	0.9499	2.24	0.0015	0.0096	N/A	N/A	N/A
7	0.069353	nan	0.9408	2.38	0.0023	0.0125	N/A	N/A	N/A
8	0.068223	nan	0.9414	2.29	0.0030	0.0150	N/A	N/A	N/A
9	0.067612	nan	0.9351	2.26	0.0038	0.0183	N/A	N/A	N/A
10	0.066995	0.065823	0.9461	2.13	0.0045	0.0190	0.1007	0.4713	0.4782
11	0.066563	nan	0.9322	2.18	0.0051	0.0206	N/A	N/A	N/A
12	0.065888	nan	0.9515	2.17	0.0054	0.0214	N/A	N/A	N/A
13	0.065396	nan	0.9403	2.16	0.0057	0.0221	N/A	N/A	N/A
14	0.065164	nan	0.9394	2.14	0.0058	0.0225	N/A	N/A	N/A
15	0.065089	nan	0.9396	2.14	0.0059	0.0229	N/A	N/A	N/A
16	0.064420	nan	0.9367	2.14	0.0060	0.0229	N/A	N/A	N/A
17	0.063970	nan	0.9407	2.17	0.0061	0.0233	N/A	N/A	N/A
18	0.063790	nan	0.9369	2.17	0.0061	0.0233	N/A	N/A	N/A
19	0.063816	nan	0.9405	2.16	0.0061	0.0232	N/A	N/A	N/A
20	0.063429	0.063221	0.9387	2.17	0.0061	0.0232	0.0978	0.5100	0.5350
