epoch	train_task_loss	val_loss	expert_entropy_normalized	avg_depth	mean_cos_sim	max_cos_sim	routing_accuracy	routing_hungarian_acc	routing_ami
1	0.104145	N/A	0.9977	2.44	-0.0002	0.0039	N/A	N/A	N/A
2	0.074593	0.071394	0.9985	2.12	-0.0002	0.0038	0.1991	0.4944	0.4880
3	0.072683	N/A	0.9845	2.15	-0.0000	0.0039	N/A	N/A	N/A
4	0.072130	0.068680	0.9728	2.13	0.0004	0.0044	0.1356	0.5816	0.5191
5	0.069950	N/A	0.9343	2.16	0.0005	0.0044	N/A	N/A	N/A
6	0.068823	0.066253	0.9594	2.29	0.0010	0.0051	0.2659	0.4480	0.4317
7	0.068064	N/A	0.9621	2.22	0.0016	0.0059	N/A	N/A	N/A
8	0.067595	0.065695	0.9781	2.13	0.0018	0.0060	0.1946	0.5165	0.4658
9	0.067036	N/A	0.9763	2.05	0.0023	0.0069	N/A	N/A	N/A
10	0.068151	0.065689	0.9826	2.06	0.0024	0.0083	0.1952	0.4536	0.4410
11	0.066878	N/A	0.9778	2.03	0.0034	0.0099	N/A	N/A	N/A
12	0.066180	0.065147	0.9824	2.02	0.0041	0.0108	0.1348	0.5761	0.4905
13	0.065702	N/A	0.9870	2.02	0.0045	0.0117	N/A	N/A	N/A
14	0.065672	0.066454	0.9892	2.04	0.0047	0.0128	0.1931	0.4549	0.4214
15	0.065833	N/A	0.9847	2.01	0.0053	0.0129	N/A	N/A	N/A
16	0.065281	0.064549	0.9907	2.03	0.0060	0.0146	0.1914	0.5136	0.4461
17	0.064599	N/A	0.9822	2.03	0.0063	0.0151	N/A	N/A	N/A
18	0.064728	0.064477	0.9837	2.03	0.0067	0.0156	0.2119	0.5104	0.4512
19	0.064155	N/A	0.9863	2.03	0.0072	0.0166	N/A	N/A	N/A
20	0.064087	0.063410	0.9919	2.02	0.0074	0.0175	0.1948	0.5063	0.4389
21	0.063925	N/A	0.9872	2.01	0.0075	0.0178	N/A	N/A	N/A
22	0.063930	0.063757	0.9896	2.02	0.0079	0.0183	0.1951	0.5065	0.4381
23	0.063741	N/A	0.9924	2.03	0.0083	0.0192	N/A	N/A	N/A
24	0.063550	0.063623	0.9890	2.01	0.0087	0.0197	0.1964	0.5081	0.4334
25	0.063211	N/A	0.9883	2.01	0.0089	0.0205	N/A	N/A	N/A
26	0.062896	0.063431	0.9933	2.03	0.0092	0.0206	0.1938	0.5075	0.4311
27	0.062936	N/A	0.9937	2.02	0.0093	0.0203	N/A	N/A	N/A
28	0.062815	0.063681	0.9926	2.00	0.0097	0.0211	0.2353	0.4607	0.3789
29	0.062463	N/A	0.9913	2.00	0.0102	0.0215	N/A	N/A	N/A
30	0.062210	0.062891	0.9912	2.00	0.0104	0.0216	0.1912	0.5079	0.4261
31	0.061948	N/A	0.9932	2.01	0.0106	0.0219	N/A	N/A	N/A
32	0.061874	0.063304	0.9928	2.00	0.0107	0.0220	0.1945	0.5004	0.4263
33	0.061736	N/A	0.9910	2.02	0.0109	0.0223	N/A	N/A	N/A
34	0.061440	0.063718	0.9934	2.00	0.0112	0.0228	0.1932	0.5388	0.4261
35	0.061529	N/A	0.9961	2.01	0.0115	0.0231	N/A	N/A	N/A
36	0.061348	0.063354	0.9880	2.01	0.0115	0.0231	0.1925	0.5479	0.4371
37	0.060889	N/A	0.9950	2.01	0.0116	0.0230	N/A	N/A	N/A
38	0.060693	0.063983	0.9888	2.00	0.0117	0.0233	0.1953	0.4629	0.3766
39	0.060275	N/A	0.9948	2.02	0.0117	0.0232	N/A	N/A	N/A
40	0.060336	0.063669	0.9938	2.01	0.0117	0.0231	0.1950	0.5299	0.4039
41	0.060245	N/A	0.9935	2.01	0.0118	0.0233	N/A	N/A	N/A
42	0.060068	0.063463	0.9938	2.01	0.0118	0.0233	0.1957	0.5201	0.3927
43	0.059971	N/A	0.9956	2.01	0.0118	0.0233	N/A	N/A	N/A
44	0.059503	0.063289	0.9929	2.01	0.0119	0.0233	0.1994	0.5241	0.3849
45	0.059638	N/A	0.9941	2.01	0.0119	0.0232	N/A	N/A	N/A
46	0.059577	0.063578	0.9924	2.02	0.0119	0.0232	0.2639	0.5294	0.3894
47	0.059656	N/A	0.9921	2.01	0.0119	0.0232	N/A	N/A	N/A
48	0.059591	0.063516	0.9931	2.02	0.0119	0.0232	0.2552	0.5277	0.3779
49	0.059432	N/A	0.9921	2.02	0.0119	0.0232	N/A	N/A	N/A
50	0.059437	0.063458	0.9924	2.01	0.0119	0.0232	0.2432	0.5270	0.3714
