epoch	train_task_loss	val_loss	expert_entropy_normalized	avg_depth	mean_cos_sim	max_cos_sim	routing_accuracy	routing_hungarian_acc	routing_ami
1	0.085651	N/A	0.9907	2.21	0.0004	0.0024	N/A	N/A	N/A
2	0.074854	0.070822	0.9984	2.37	0.0005	0.0026	0.0862	0.4923	0.4914
3	0.071958	N/A	0.9956	2.23	0.0007	0.0027	N/A	N/A	N/A
4	0.070956	0.068987	0.9936	2.13	0.0009	0.0031	0.0899	0.5131	0.4848
5	0.069920	N/A	0.9717	2.13	0.0014	0.0041	N/A	N/A	N/A
6	0.068498	0.067112	0.9791	2.16	0.0018	0.0048	0.0172	0.6294	0.5562
7	0.067872	N/A	0.9737	2.11	0.0024	0.0056	N/A	N/A	N/A
8	0.067270	0.065712	0.9813	2.07	0.0028	0.0064	0.0129	0.6453	0.6003
9	0.067249	N/A	0.9834	2.05	0.0033	0.0069	N/A	N/A	N/A
10	0.066751	0.065919	0.9915	2.05	0.0041	0.0076	0.0140	0.5274	0.4258
11	0.066805	N/A	0.9914	2.07	0.0044	0.0079	N/A	N/A	N/A
12	0.066160	0.064099	0.9873	2.05	0.0049	0.0082	0.0644	0.4644	0.4052
13	0.066051	N/A	0.9914	2.05	0.0054	0.0085	N/A	N/A	N/A
14	0.065745	0.065171	0.9928	2.05	0.0057	0.0090	0.0159	0.4587	0.4051
15	0.065233	N/A	0.9926	2.03	0.0064	0.0102	N/A	N/A	N/A
16	0.064906	0.066122	0.9943	2.03	0.0068	0.0105	0.0171	0.6475	0.5764
17	0.064948	N/A	0.9963	2.03	0.0070	0.0106	N/A	N/A	N/A
18	0.064764	0.065093	0.9953	2.03	0.0074	0.0111	0.0171	0.4603	0.4069
19	0.064661	N/A	0.9977	2.04	0.0077	0.0117	N/A	N/A	N/A
20	0.064216	0.063845	0.9961	2.03	0.0079	0.0118	0.0865	0.4359	0.3750
21	0.063979	N/A	0.9964	2.02	0.0083	0.0121	N/A	N/A	N/A
22	0.064030	0.062912	0.9969	2.03	0.0085	0.0122	0.0932	0.5314	0.4091
23	0.063822	N/A	0.9933	2.03	0.0088	0.0125	N/A	N/A	N/A
24	0.063494	0.063253	0.9976	2.04	0.0092	0.0130	0.0902	0.4121	0.3480
25	0.063558	N/A	0.9966	2.03	0.0095	0.0133	N/A	N/A	N/A
26	0.063205	0.063996	0.9959	2.02	0.0097	0.0135	0.0866	0.3958	0.3315
27	0.063366	N/A	0.9980	2.04	0.0099	0.0135	N/A	N/A	N/A
28	0.063218	0.063710	0.9980	2.03	0.0102	0.0143	0.0871	0.4339	0.3703
29	0.062930	N/A	0.9980	2.04	0.0105	0.0144	N/A	N/A	N/A
30	0.062715	0.064052	0.9979	2.04	0.0107	0.0147	0.0877	0.4433	0.3816
31	0.062377	N/A	0.9968	2.03	0.0107	0.0149	N/A	N/A	N/A
32	0.062103	0.064917	0.9981	2.04	0.0110	0.0150	0.1634	0.4757	0.3982
33	0.062057	N/A	0.9988	2.03	0.0111	0.0152	N/A	N/A	N/A
34	0.061776	0.063402	0.9983	2.03	0.0113	0.0152	0.0876	0.4749	0.3991
35	0.061672	N/A	0.9988	2.03	0.0114	0.0153	N/A	N/A	N/A
36	0.061364	0.062871	0.9981	2.04	0.0114	0.0154	0.0879	0.4431	0.3793
37	0.061309	N/A	0.9960	2.03	0.0114	0.0154	N/A	N/A	N/A
38	0.061060	0.063477	0.9985	2.04	0.0115	0.0157	0.1335	0.4089	0.3297
39	0.060948	N/A	0.9967	2.04	0.0115	0.0157	N/A	N/A	N/A
40	0.060719	0.063343	0.9970	2.04	0.0115	0.0157	0.0880	0.4000	0.3373
41	0.060596	N/A	0.9970	2.04	0.0115	0.0157	N/A	N/A	N/A
42	0.060392	0.063361	0.9982	2.06	0.0115	0.0158	0.1532	0.4544	0.3908
43	0.060305	N/A	0.9972	2.04	0.0115	0.0158	N/A	N/A	N/A
44	0.060020	0.063545	0.9965	2.04	0.0115	0.0157	0.1628	0.4088	0.3546
45	0.059992	N/A	0.9972	2.03	0.0115	0.0158	N/A	N/A	N/A
46	0.059988	0.063517	0.9947	2.03	0.0115	0.0158	0.1500	0.4441	0.3665
47	0.059702	N/A	0.9952	2.04	0.0115	0.0158	N/A	N/A	N/A
48	0.059878	0.063406	0.9954	2.04	0.0115	0.0158	0.1636	0.4439	0.3857
49	0.059680	N/A	0.9947	2.03	0.0115	0.0158	N/A	N/A	N/A
50	0.059639	0.063423	0.9946	2.04	0.0115	0.0158	0.1636	0.4440	0.3857
