epoch	train_task_loss	val_loss	expert_entropy_normalized	avg_depth	mean_cos_sim	max_cos_sim	routing_accuracy	routing_hungarian_acc	routing_ami
1	0.109339	N/A	0.9669	2.34	0.0002	0.0032	N/A	N/A	N/A
2	0.075119	0.073441	0.9790	2.22	0.0004	0.0032	0.0996	0.5936	0.5720
3	0.072461	N/A	0.9590	2.17	0.0007	0.0031	N/A	N/A	N/A
4	0.071388	0.067710	0.9527	2.28	0.0011	0.0036	0.2486	0.4978	0.4230
5	0.069733	N/A	0.9484	2.29	0.0019	0.0048	N/A	N/A	N/A
6	0.068287	0.066883	0.9297	2.19	0.0023	0.0056	0.2423	0.4542	0.4166
7	0.067624	N/A	0.9176	2.18	0.0030	0.0068	N/A	N/A	N/A
8	0.067022	0.066819	0.9366	2.15	0.0035	0.0074	0.3015	0.5431	0.4731
9	0.066592	N/A	0.9247	2.03	0.0040	0.0084	N/A	N/A	N/A
10	0.066634	0.067234	0.9397	2.02	0.0044	0.0090	0.2190	0.4978	0.4615
11	0.066188	N/A	0.9490	2.00	0.0049	0.0099	N/A	N/A	N/A
12	0.065702	0.064736	0.9541	2.01	0.0052	0.0106	0.2401	0.4530	0.4065
13	0.065440	N/A	0.9582	2.00	0.0058	0.0119	N/A	N/A	N/A
14	0.065176	0.064582	0.9625	2.03	0.0062	0.0129	0.2470	0.4919	0.3983
15	0.065241	N/A	0.9706	2.01	0.0064	0.0139	N/A	N/A	N/A
16	0.064913	0.064345	0.9821	2.00	0.0070	0.0145	0.1639	0.5138	0.4694
17	0.064347	N/A	0.9853	2.01	0.0074	0.0149	N/A	N/A	N/A
18	0.064233	0.064693	0.9851	2.01	0.0077	0.0154	0.1959	0.4981	0.4762
19	0.064031	N/A	0.9889	2.00	0.0078	0.0163	N/A	N/A	N/A
20	0.063985	0.064087	0.9925	2.01	0.0081	0.0166	0.1926	0.4159	0.3673
21	0.063834	N/A	0.9852	2.01	0.0085	0.0176	N/A	N/A	N/A
22	0.063605	0.064071	0.9948	2.00	0.0090	0.0181	0.1927	0.4125	0.3435
23	0.063153	N/A	0.9960	2.00	0.0093	0.0187	N/A	N/A	N/A
24	0.063172	0.063905	0.9962	2.01	0.0096	0.0189	0.1342	0.4250	0.3703
25	0.063097	N/A	0.9964	2.00	0.0098	0.0195	N/A	N/A	N/A
26	0.062801	0.063561	0.9963	2.00	0.0100	0.0196	0.1062	0.4214	0.3700
27	0.062347	N/A	0.9943	2.00	0.0104	0.0204	N/A	N/A	N/A
28	0.062310	0.065104	0.9956	2.00	0.0106	0.0204	0.1344	0.3747	0.2923
29	0.061910	N/A	0.9980	2.02	0.0109	0.0206	N/A	N/A	N/A
30	0.061782	0.065095	0.9988	2.01	0.0111	0.0208	0.0570	0.5214	0.4068
31	0.061966	N/A	0.9977	2.01	0.0115	0.0217	N/A	N/A	N/A
32	0.061333	0.064561	0.9997	2.00	0.0115	0.0214	0.1916	0.5204	0.4438
33	0.061116	N/A	0.9960	2.01	0.0118	0.0220	N/A	N/A	N/A
34	0.061048	0.063334	0.9986	2.00	0.0119	0.0222	0.1809	0.4868	0.4543
35	0.060671	N/A	0.9975	2.02	0.0119	0.0220	N/A	N/A	N/A
36	0.060474	0.064609	0.9976	2.01	0.0120	0.0223	0.1347	0.5223	0.4413
37	0.060665	N/A	0.9980	2.02	0.0122	0.0226	N/A	N/A	N/A
38	0.060140	0.064451	0.9989	2.01	0.0122	0.0226	0.1330	0.5223	0.4412
39	0.059939	N/A	0.9985	2.01	0.0123	0.0226	N/A	N/A	N/A
40	0.059949	0.063976	0.9979	2.01	0.0124	0.0227	0.1298	0.5206	0.4346
41	0.059628	N/A	0.9968	2.03	0.0124	0.0227	N/A	N/A	N/A
42	0.059381	0.063987	0.9973	2.01	0.0124	0.0228	0.1325	0.5202	0.4389
43	0.059395	N/A	0.9975	2.01	0.0124	0.0228	N/A	N/A	N/A
44	0.059258	0.064323	0.9979	2.01	0.0124	0.0228	0.1328	0.5205	0.4387
45	0.059136	N/A	0.9973	2.01	0.0124	0.0227	N/A	N/A	N/A
46	0.059181	0.064196	0.9974	2.02	0.0124	0.0228	0.1324	0.5089	0.4359
47	0.058912	N/A	0.9975	2.02	0.0124	0.0227	N/A	N/A	N/A
48	0.058943	0.064168	0.9975	2.02	0.0124	0.0227	0.1303	0.5187	0.4345
49	0.058630	N/A	0.9974	2.01	0.0124	0.0227	N/A	N/A	N/A
50	0.058714	0.064178	0.9974	2.03	0.0124	0.0227	0.1301	0.5180	0.4341
