epoch	train_task_loss	val_loss	expert_entropy_normalized	avg_depth	mean_cos_sim	max_cos_sim	routing_accuracy	routing_hungarian_acc	routing_ami
1	0.085056	N/A	0.9286	2.63	-0.0002	0.0024	N/A	N/A	N/A
2	0.074305	0.071314	0.9697	2.58	-0.0001	0.0024	0.3544	0.5456	0.5708
3	0.072933	N/A	0.9863	2.40	0.0002	0.0025	N/A	N/A	N/A
4	0.071661	0.068309	0.9879	2.24	0.0004	0.0032	0.2829	0.5169	0.4752
5	0.070302	N/A	0.9720	2.24	0.0008	0.0046	N/A	N/A	N/A
6	0.068703	0.068226	0.9724	2.06	0.0012	0.0053	0.2249	0.4677	0.4658
7	0.068201	N/A	0.9625	2.10	0.0018	0.0063	N/A	N/A	N/A
8	0.067812	0.065682	0.9716	2.03	0.0023	0.0077	0.2662	0.4980	0.4322
9	0.067368	N/A	0.9609	2.08	0.0030	0.0085	N/A	N/A	N/A
10	0.066674	0.065538	0.9577	2.08	0.0034	0.0099	0.2007	0.5537	0.4727
11	0.065950	N/A	0.9681	2.05	0.0037	0.0103	N/A	N/A	N/A
12	0.066430	0.064929	0.9755	2.04	0.0042	0.0108	0.2952	0.3965	0.3850
13	0.065890	N/A	0.9761	2.04	0.0047	0.0116	N/A	N/A	N/A
14	0.065176	0.064548	0.9808	2.04	0.0052	0.0120	0.2580	0.4238	0.3651
15	0.065172	N/A	0.9830	2.06	0.0056	0.0130	N/A	N/A	N/A
16	0.065017	0.066978	0.9824	2.02	0.0061	0.0136	0.2307	0.5306	0.4325
17	0.064907	N/A	0.9914	2.04	0.0065	0.0147	N/A	N/A	N/A
18	0.064878	0.063859	0.9933	2.04	0.0070	0.0151	0.3695	0.4196	0.3208
19	0.064193	N/A	0.9825	2.04	0.0075	0.0156	N/A	N/A	N/A
20	0.064271	0.064750	0.9933	2.02	0.0079	0.0168	0.4571	0.4640	0.4247
21	0.064263	N/A	0.9918	2.03	0.0080	0.0171	N/A	N/A	N/A
22	0.064012	0.063197	0.9914	2.01	0.0083	0.0174	0.3502	0.4710	0.3606
23	0.063654	N/A	0.9921	2.02	0.0087	0.0182	N/A	N/A	N/A
24	0.063427	0.063510	0.9959	2.03	0.0092	0.0188	0.3019	0.4126	0.4284
25	0.063395	N/A	0.9907	2.08	0.0095	0.0191	N/A	N/A	N/A
26	0.063088	0.064266	0.9935	2.03	0.0099	0.0193	0.4033	0.4635	0.3860
27	0.062962	N/A	0.9937	2.03	0.0100	0.0197	N/A	N/A	N/A
28	0.062637	0.063461	0.9964	2.03	0.0102	0.0196	0.4230	0.4244	0.3815
29	0.062374	N/A	0.9951	2.03	0.0105	0.0200	N/A	N/A	N/A
30	0.062451	0.064319	0.9940	2.03	0.0108	0.0206	0.3783	0.4114	0.3799
31	0.062054	N/A	0.9952	2.01	0.0110	0.0211	N/A	N/A	N/A
32	0.061967	0.063159	0.9942	2.03	0.0111	0.0209	0.3809	0.4464	0.3876
33	0.061895	N/A	0.9931	2.03	0.0113	0.0213	N/A	N/A	N/A
34	0.061428	0.063915	0.9947	2.04	0.0115	0.0215	0.3948	0.4707	0.4075
35	0.061295	N/A	0.9970	2.03	0.0116	0.0216	N/A	N/A	N/A
36	0.061214	0.064141	0.9957	2.04	0.0117	0.0216	0.4652	0.4652	0.4025
37	0.060952	N/A	0.9964	2.03	0.0118	0.0219	N/A	N/A	N/A
38	0.060596	0.064510	0.9939	2.05	0.0119	0.0218	0.4479	0.4479	0.3708
39	0.060455	N/A	0.9970	2.08	0.0120	0.0218	N/A	N/A	N/A
40	0.060314	0.063903	0.9969	2.05	0.0120	0.0218	0.4115	0.4545	0.3988
41	0.060330	N/A	0.9946	2.04	0.0120	0.0219	N/A	N/A	N/A
42	0.060080	0.063890	0.9951	2.04	0.0120	0.0218	0.3939	0.4706	0.4025
43	0.059899	N/A	0.9957	2.05	0.0120	0.0218	N/A	N/A	N/A
44	0.059644	0.063964	0.9967	2.05	0.0121	0.0218	0.3969	0.4659	0.3984
45	0.059583	N/A	0.9965	2.04	0.0121	0.0219	N/A	N/A	N/A
46	0.059426	0.063710	0.9963	2.04	0.0121	0.0219	0.3945	0.4698	0.4014
47	0.059125	N/A	0.9964	2.04	0.0121	0.0219	N/A	N/A	N/A
48	0.059264	0.063713	0.9969	2.05	0.0121	0.0219	0.3956	0.4609	0.4003
49	0.059396	N/A	0.9968	2.05	0.0121	0.0219	N/A	N/A	N/A
50	0.059196	0.063734	0.9969	2.06	0.0121	0.0219	0.3960	0.4594	0.4003
