epoch	train_task_loss	val_loss	expert_entropy_normalized	avg_depth	mean_cos_sim	max_cos_sim	routing_accuracy	routing_hungarian_acc	routing_ami
1	0.084034	N/A	0.9283	2.52	-0.0007	0.0022	N/A	N/A	N/A
2	0.074483	0.072286	0.9909	2.52	-0.0008	0.0021	0.0000	0.6023	0.6157
3	0.073629	N/A	0.9834	2.57	-0.0006	0.0020	N/A	N/A	N/A
4	0.071495	0.068564	0.9885	2.42	-0.0003	0.0023	0.0957	0.6081	0.5999
5	0.070680	N/A	0.9823	2.42	0.0001	0.0027	N/A	N/A	N/A
6	0.069888	0.067700	0.9856	2.47	0.0007	0.0033	0.0531	0.5203	0.4477
7	0.068407	N/A	0.9846	2.65	0.0011	0.0041	N/A	N/A	N/A
8	0.068284	0.066842	0.9836	2.50	0.0019	0.0057	0.1027	0.5337	0.5414
9	0.066976	N/A	0.9838	2.56	0.0020	0.0067	N/A	N/A	N/A
10	0.066783	0.065017	0.9849	2.33	0.0027	0.0081	0.1029	0.4883	0.4365
11	0.066692	N/A	0.9869	2.25	0.0035	0.0086	N/A	N/A	N/A
12	0.066043	0.064839	0.9939	2.38	0.0039	0.0094	0.1021	0.5283	0.5115
13	0.065540	N/A	0.9898	2.24	0.0042	0.0100	N/A	N/A	N/A
14	0.065605	0.065432	0.9935	2.17	0.0047	0.0107	0.1028	0.4918	0.5272
15	0.065356	N/A	0.9953	2.24	0.0049	0.0114	N/A	N/A	N/A
16	0.065220	0.064541	0.9924	2.12	0.0055	0.0122	0.1010	0.5240	0.5005
17	0.064556	N/A	0.9982	2.14	0.0060	0.0137	N/A	N/A	N/A
18	0.064578	0.063454	0.9970	2.12	0.0064	0.0139	0.0577	0.4784	0.4617
19	0.064475	N/A	0.9966	2.12	0.0070	0.0154	N/A	N/A	N/A
20	0.064388	0.063147	0.9970	2.14	0.0073	0.0160	0.0578	0.4736	0.4164
21	0.064128	N/A	0.9971	2.13	0.0078	0.0159	N/A	N/A	N/A
22	0.063890	0.063428	0.9961	2.11	0.0081	0.0168	0.0163	0.5447	0.5155
23	0.063718	N/A	0.9960	2.07	0.0085	0.0171	N/A	N/A	N/A
24	0.063505	0.062562	0.9993	2.09	0.0086	0.0174	0.1026	0.5208	0.4590
25	0.063382	N/A	0.9963	2.06	0.0090	0.0172	N/A	N/A	N/A
26	0.062930	0.063506	0.9987	2.09	0.0092	0.0180	0.0147	0.5179	0.4632
27	0.062748	N/A	0.9983	2.09	0.0095	0.0185	N/A	N/A	N/A
28	0.062722	0.063726	0.9954	2.09	0.0097	0.0189	0.0613	0.4656	0.3830
29	0.062785	N/A	0.9985	2.09	0.0100	0.0192	N/A	N/A	N/A
30	0.062402	0.064844	0.9980	2.03	0.0102	0.0193	0.0585	0.4695	0.4113
31	0.062073	N/A	0.9955	2.07	0.0105	0.0200	N/A	N/A	N/A
32	0.061982	0.063455	0.9974	2.07	0.0107	0.0202	0.0602	0.4540	0.4210
33	0.061725	N/A	0.9953	2.11	0.0108	0.0202	N/A	N/A	N/A
34	0.061357	0.064463	0.9982	2.11	0.0110	0.0207	0.0597	0.4283	0.4004
35	0.061235	N/A	0.9967	2.12	0.0111	0.0208	N/A	N/A	N/A
36	0.061216	0.063494	0.9954	2.15	0.0112	0.0210	0.1151	0.4810	0.3876
37	0.060722	N/A	0.9988	2.11	0.0113	0.0209	N/A	N/A	N/A
38	0.060626	0.063615	0.9929	2.12	0.0114	0.0211	0.0612	0.4531	0.3954
39	0.060547	N/A	0.9930	2.13	0.0114	0.0212	N/A	N/A	N/A
40	0.060516	0.063631	0.9930	2.13	0.0115	0.0214	0.0737	0.4693	0.4066
41	0.060359	N/A	0.9919	2.14	0.0115	0.0213	N/A	N/A	N/A
42	0.059842	0.063699	0.9920	2.13	0.0116	0.0213	0.1166	0.4318	0.3799
43	0.059908	N/A	0.9924	2.15	0.0116	0.0214	N/A	N/A	N/A
44	0.059851	0.063834	0.9887	2.13	0.0116	0.0213	0.1153	0.4070	0.3694
45	0.059521	N/A	0.9918	2.12	0.0117	0.0214	N/A	N/A	N/A
46	0.059486	0.063867	0.9917	2.11	0.0117	0.0214	0.1157	0.4247	0.3774
47	0.059441	N/A	0.9900	2.14	0.0117	0.0214	N/A	N/A	N/A
48	0.059352	0.063800	0.9899	2.15	0.0117	0.0214	0.1161	0.4138	0.3734
49	0.059226	N/A	0.9902	2.14	0.0117	0.0214	N/A	N/A	N/A
50	0.059225	0.063785	0.9904	2.13	0.0117	0.0214	0.1162	0.4102	0.3721
