epoch	train_task_loss	val_loss	expert_entropy_normalized	avg_depth	mean_cos_sim	max_cos_sim	routing_accuracy	routing_hungarian_acc	routing_ami
1	0.100573	N/A	0.9700	7.00	-0.0005	0.0040	N/A	N/A	N/A
2	0.075114	0.071555	0.9651	7.00	-0.0001	0.0043	0.1892	0.4858	0.4335
3	0.073591	N/A	0.9928	7.00	0.0006	0.0058	N/A	N/A	N/A
4	0.074385	0.072626	0.9707	7.00	0.0011	0.0088	0.3334	0.4499	0.3835
5	0.073823	N/A	0.9807	7.00	0.0023	0.0103	N/A	N/A	N/A
6	0.072343	0.070295	0.9888	7.00	0.0035	0.0119	0.1840	0.4128	0.3648
7	0.071805	N/A	0.9847	7.00	0.0053	0.0141	N/A	N/A	N/A
8	0.071293	0.069507	0.9906	7.00	0.0070	0.0147	0.1906	0.4422	0.4397
9	0.071861	N/A	0.9966	7.00	0.0094	0.0178	N/A	N/A	N/A
10	0.071819	0.070366	0.9958	7.00	0.0125	0.0275	0.2448	0.4233	0.4171
11	0.071209	N/A	0.9943	7.00	0.0147	0.0299	N/A	N/A	N/A
12	0.070068	0.067950	0.9981	7.00	0.0166	0.0322	0.1664	0.5023	0.4368
13	0.068807	N/A	0.9943	7.00	0.0185	0.0344	N/A	N/A	N/A
14	0.069448	0.069147	0.9944	7.00	0.0200	0.0354	0.2015	0.4453	0.3963
15	0.069113	N/A	0.9894	7.00	0.0228	0.0398	N/A	N/A	N/A
16	0.068116	0.065504	0.9948	7.00	0.0252	0.0437	0.1639	0.4786	0.4744
17	0.066581	N/A	0.9935	7.00	0.0265	0.0447	N/A	N/A	N/A
18	0.068172	0.067303	0.9972	7.00	0.0278	0.0468	0.1654	0.5213	0.4406
19	0.067060	N/A	0.9981	7.00	0.0293	0.0492	N/A	N/A	N/A
20	0.067098	0.067363	0.9936	7.00	0.0318	0.0496	0.1008	0.4574	0.3983
21	0.066086	N/A	0.9956	7.00	0.0335	0.0519	N/A	N/A	N/A
22	0.065558	0.064419	0.9971	7.00	0.0346	0.0538	0.2708	0.4296	0.3777
23	0.065284	N/A	0.9994	7.00	0.0357	0.0565	N/A	N/A	N/A
24	0.065145	0.063806	0.9986	7.00	0.0365	0.0576	0.1710	0.4291	0.4194
25	0.064768	N/A	0.9995	7.00	0.0373	0.0584	N/A	N/A	N/A
26	0.064948	0.065056	0.9988	7.00	0.0379	0.0589	0.2505	0.4084	0.3757
27	0.064867	N/A	0.9990	7.00	0.0391	0.0605	N/A	N/A	N/A
28	0.064268	0.064131	0.9984	7.00	0.0402	0.0618	0.2247	0.5203	0.4345
29	0.064104	N/A	0.9995	7.00	0.0406	0.0625	N/A	N/A	N/A
30	0.064369	0.064625	0.9898	7.00	0.0410	0.0626	0.2921	0.4482	0.3797
31	0.064183	N/A	0.9988	7.00	0.0416	0.0627	N/A	N/A	N/A
32	0.063963	0.064312	0.9974	7.00	0.0421	0.0633	0.2595	0.3948	0.3581
33	0.063630	N/A	0.9975	7.00	0.0425	0.0640	N/A	N/A	N/A
34	0.063325	0.063510	0.9988	7.00	0.0427	0.0643	0.1686	0.4091	0.4011
35	0.063414	N/A	0.9977	7.00	0.0430	0.0647	N/A	N/A	N/A
36	0.063057	0.062881	0.9981	7.00	0.0430	0.0646	0.1817	0.4215	0.4043
37	0.062553	N/A	0.9999	7.00	0.0431	0.0648	N/A	N/A	N/A
38	0.062467	0.063119	0.9994	7.00	0.0432	0.0648	0.2119	0.4007	0.3502
39	0.062053	N/A	0.9996	7.00	0.0434	0.0649	N/A	N/A	N/A
40	0.062001	0.062830	0.9995	7.00	0.0434	0.0648	0.1718	0.3952	0.3733
41	0.061860	N/A	0.9990	7.00	0.0435	0.0649	N/A	N/A	N/A
42	0.061634	0.062887	0.9990	7.00	0.0435	0.0649	0.1720	0.4038	0.3937
43	0.061529	N/A	0.9997	7.00	0.0435	0.0649	N/A	N/A	N/A
44	0.061136	0.062602	0.9993	7.00	0.0435	0.0650	0.1717	0.4034	0.3936
45	0.061237	N/A	0.9997	7.00	0.0435	0.0649	N/A	N/A	N/A
46	0.061082	0.062919	0.9993	7.00	0.0435	0.0649	0.1712	0.3996	0.3754
47	0.061257	N/A	0.9990	7.00	0.0435	0.0649	N/A	N/A	N/A
48	0.061100	0.062803	0.9993	7.00	0.0436	0.0648	0.1714	0.4035	0.3928
49	0.060922	N/A	0.9993	7.00	0.0436	0.0648	N/A	N/A	N/A
50	0.060928	0.062719	0.9994	7.00	0.0436	0.0648	0.1714	0.4042	0.3943
