epoch	train_task_loss	val_loss	expert_entropy_normalized	avg_depth	mean_cos_sim	max_cos_sim	routing_accuracy	routing_hungarian_acc	routing_ami
1	0.086608	N/A	0.9553	7.00	0.0005	0.0026	N/A	N/A	N/A
2	0.075111	0.073413	0.9780	7.00	0.0010	0.0036	0.0829	0.4847	0.4822
3	0.073809	N/A	0.9786	7.00	0.0016	0.0040	N/A	N/A	N/A
4	0.072874	0.070351	0.9925	7.00	0.0024	0.0058	0.0861	0.5208	0.4762
5	0.071832	N/A	0.9953	7.00	0.0035	0.0070	N/A	N/A	N/A
6	0.070820	0.070252	0.9939	7.00	0.0053	0.0103	0.0786	0.4021	0.3627
7	0.071705	N/A	0.9879	7.00	0.0078	0.0150	N/A	N/A	N/A
8	0.071189	0.070560	0.9914	7.00	0.0101	0.0174	0.0777	0.5003	0.4647
9	0.069228	N/A	0.9969	7.00	0.0128	0.0204	N/A	N/A	N/A
10	0.068601	0.067279	0.9957	7.00	0.0149	0.0236	0.0089	0.5174	0.5116
11	0.068492	N/A	0.9976	7.00	0.0163	0.0264	N/A	N/A	N/A
12	0.069672	0.070063	0.9941	7.00	0.0188	0.0328	0.1093	0.4153	0.3100
13	0.069089	N/A	0.9884	7.00	0.0207	0.0380	N/A	N/A	N/A
14	0.068295	0.067008	0.9996	7.00	0.0228	0.0425	0.1200	0.5354	0.4720
15	0.067915	N/A	0.9977	7.00	0.0243	0.0445	N/A	N/A	N/A
16	0.068352	0.067396	0.9971	7.00	0.0272	0.0488	0.1371	0.4377	0.3506
17	0.066917	N/A	0.9992	7.00	0.0289	0.0517	N/A	N/A	N/A
18	0.066731	0.065681	0.9981	7.00	0.0307	0.0542	0.2374	0.5451	0.4721
19	0.066599	N/A	0.9988	7.00	0.0319	0.0557	N/A	N/A	N/A
20	0.065883	0.065067	0.9980	7.00	0.0329	0.0583	0.1964	0.4013	0.3596
21	0.065492	N/A	0.9981	7.00	0.0333	0.0592	N/A	N/A	N/A
22	0.065520	0.064905	0.9996	7.00	0.0343	0.0596	0.1786	0.4805	0.4104
23	0.065144	N/A	0.9997	7.00	0.0351	0.0620	N/A	N/A	N/A
24	0.064699	0.063238	0.9988	7.00	0.0356	0.0629	0.1944	0.4162	0.3547
25	0.064559	N/A	0.9989	7.00	0.0361	0.0640	N/A	N/A	N/A
26	0.064168	0.064588	0.9994	7.00	0.0369	0.0660	0.1214	0.4860	0.4548
27	0.064520	N/A	0.9994	7.00	0.0376	0.0669	N/A	N/A	N/A
28	0.064065	0.063785	0.9980	7.00	0.0382	0.0678	0.1344	0.4684	0.4120
29	0.063986	N/A	0.9983	7.00	0.0386	0.0684	N/A	N/A	N/A
30	0.063882	0.063144	0.9993	7.00	0.0393	0.0702	0.2347	0.5319	0.4786
31	0.063578	N/A	0.9997	7.00	0.0394	0.0702	N/A	N/A	N/A
32	0.063306	0.063414	0.9997	7.00	0.0400	0.0715	0.1791	0.5045	0.4425
33	0.062951	N/A	0.9999	7.00	0.0402	0.0723	N/A	N/A	N/A
34	0.063143	0.063209	0.9993	7.00	0.0408	0.0729	0.1316	0.4947	0.4275
35	0.062929	N/A	0.9997	7.00	0.0409	0.0728	N/A	N/A	N/A
36	0.062545	0.062566	0.9983	7.00	0.0413	0.0734	0.1160	0.5860	0.4608
37	0.062426	N/A	0.9999	7.00	0.0414	0.0740	N/A	N/A	N/A
38	0.062301	0.063079	0.9995	7.00	0.0415	0.0738	0.1787	0.4966	0.4469
39	0.062204	N/A	0.9995	7.00	0.0418	0.0741	N/A	N/A	N/A
40	0.061894	0.062807	0.9994	7.00	0.0417	0.0741	0.1787	0.5165	0.4587
41	0.061828	N/A	0.9998	7.00	0.0418	0.0743	N/A	N/A	N/A
42	0.061498	0.062765	0.9995	7.00	0.0419	0.0741	0.1782	0.4972	0.4591
43	0.061462	N/A	0.9996	7.00	0.0419	0.0744	N/A	N/A	N/A
44	0.061242	0.062852	0.9994	7.00	0.0419	0.0744	0.1786	0.4983	0.4589
45	0.061117	N/A	0.9996	7.00	0.0419	0.0744	N/A	N/A	N/A
46	0.061161	0.063010	0.9995	7.00	0.0419	0.0744	0.1785	0.4984	0.4597
47	0.060835	N/A	0.9996	7.00	0.0419	0.0744	N/A	N/A	N/A
48	0.060935	0.062774	0.9995	7.00	0.0419	0.0745	0.1787	0.4983	0.4598
49	0.060690	N/A	0.9996	7.00	0.0419	0.0745	N/A	N/A	N/A
50	0.060714	0.062812	0.9995	7.00	0.0419	0.0745	0.1787	0.4983	0.4595
