epoch	train_task_loss	val_loss	expert_entropy_normalized	avg_depth	mean_cos_sim	max_cos_sim	routing_accuracy	routing_hungarian_acc	routing_ami
1	0.104263	N/A	0.9451	7.00	-0.0002	0.0035	N/A	N/A	N/A
2	0.075267	0.074293	0.9652	7.00	0.0004	0.0035	0.0986	0.4512	0.4239
3	0.073981	N/A	0.9783	7.00	0.0009	0.0036	N/A	N/A	N/A
4	0.073712	0.073136	0.9928	7.00	0.0023	0.0066	0.0999	0.5007	0.5351
5	0.073475	N/A	0.9696	7.00	0.0041	0.0096	N/A	N/A	N/A
6	0.071372	0.071345	0.9904	7.00	0.0061	0.0133	0.0995	0.5785	0.5576
7	0.070283	N/A	0.9930	7.00	0.0082	0.0166	N/A	N/A	N/A
8	0.069637	0.068546	0.9953	7.00	0.0098	0.0200	0.0528	0.4469	0.4547
9	0.071614	N/A	0.9776	7.00	0.0113	0.0247	N/A	N/A	N/A
10	0.071124	0.069744	0.9912	7.00	0.0136	0.0300	0.1572	0.5311	0.4846
11	0.071386	N/A	0.9686	7.00	0.0164	0.0372	N/A	N/A	N/A
12	0.070658	0.069725	0.9953	7.00	0.0177	0.0403	0.1828	0.4476	0.3731
13	0.069805	N/A	0.9927	7.00	0.0207	0.0449	N/A	N/A	N/A
14	0.068001	0.067849	0.9955	7.00	0.0221	0.0468	0.1005	0.4984	0.4483
15	0.067700	N/A	0.9974	7.00	0.0239	0.0490	N/A	N/A	N/A
16	0.067864	0.066305	0.9963	7.00	0.0269	0.0535	0.1028	0.4873	0.4307
17	0.067076	N/A	0.9962	7.00	0.0280	0.0553	N/A	N/A	N/A
18	0.068847	0.068208	0.9979	7.00	0.0311	0.0583	0.2098	0.5014	0.4224
19	0.067657	N/A	0.9989	7.00	0.0325	0.0589	N/A	N/A	N/A
20	0.065948	0.065001	0.9992	7.00	0.0347	0.0631	0.1059	0.5391	0.5486
21	0.065514	N/A	0.9980	7.00	0.0359	0.0646	N/A	N/A	N/A
22	0.065264	0.063866	0.9988	7.00	0.0371	0.0662	0.1318	0.4531	0.4343
23	0.065093	N/A	0.9987	7.00	0.0381	0.0666	N/A	N/A	N/A
24	0.064794	0.063187	0.9991	7.00	0.0397	0.0700	0.0641	0.4798	0.4460
25	0.064863	N/A	0.9958	7.00	0.0397	0.0705	N/A	N/A	N/A
26	0.064500	0.064207	0.9983	7.00	0.0406	0.0716	0.0636	0.5004	0.4357
27	0.064061	N/A	0.9992	7.00	0.0412	0.0723	N/A	N/A	N/A
28	0.064144	0.063926	0.9994	7.00	0.0421	0.0729	0.0631	0.5690	0.5442
29	0.063752	N/A	0.9982	7.00	0.0428	0.0744	N/A	N/A	N/A
30	0.063644	0.064140	0.9967	7.00	0.0435	0.0750	0.0630	0.5150	0.4543
31	0.063628	N/A	0.9979	7.00	0.0438	0.0752	N/A	N/A	N/A
32	0.063329	0.063927	0.9996	7.00	0.0441	0.0758	0.1055	0.5554	0.4395
33	0.062968	N/A	0.9996	7.00	0.0445	0.0765	N/A	N/A	N/A
34	0.063101	0.062711	0.9966	7.00	0.0447	0.0765	0.0625	0.6186	0.5431
35	0.062632	N/A	0.9994	7.00	0.0450	0.0767	N/A	N/A	N/A
36	0.062549	0.062937	0.9995	7.00	0.0451	0.0767	0.0618	0.4906	0.4029
37	0.062725	N/A	0.9992	7.00	0.0452	0.0770	N/A	N/A	N/A
38	0.062213	0.063060	0.9996	7.00	0.0453	0.0771	0.0616	0.5404	0.4449
39	0.061919	N/A	0.9997	7.00	0.0455	0.0773	N/A	N/A	N/A
40	0.061957	0.062827	0.9992	7.00	0.0455	0.0772	0.1067	0.5053	0.4220
41	0.061624	N/A	0.9993	7.00	0.0456	0.0776	N/A	N/A	N/A
42	0.061350	0.062785	0.9995	7.00	0.0456	0.0776	0.0633	0.5301	0.4562
43	0.061502	N/A	0.9995	7.00	0.0456	0.0775	N/A	N/A	N/A
44	0.061262	0.063292	0.9998	7.00	0.0457	0.0776	0.0634	0.5286	0.4562
45	0.061171	N/A	0.9997	7.00	0.0457	0.0776	N/A	N/A	N/A
46	0.061116	0.062901	0.9995	7.00	0.0456	0.0776	0.0632	0.5674	0.4785
47	0.060861	N/A	0.9993	7.00	0.0456	0.0776	N/A	N/A	N/A
48	0.060955	0.062897	0.9993	7.00	0.0456	0.0776	0.0636	0.5525	0.4705
49	0.060731	N/A	0.9992	7.00	0.0456	0.0776	N/A	N/A	N/A
50	0.060655	0.062934	0.9992	7.00	0.0456	0.0776	0.0635	0.5467	0.4680
