epoch	train_task_loss	val_loss	expert_entropy_normalized	avg_depth	mean_cos_sim	max_cos_sim	routing_accuracy	routing_hungarian_acc	routing_ami
1	0.086709	N/A	0.9392	7.00	-0.0000	0.0023	N/A	N/A	N/A
2	0.074454	0.071466	0.9722	7.00	0.0005	0.0028	0.4053	0.6181	0.5728
3	0.073161	N/A	0.9756	7.00	0.0013	0.0047	N/A	N/A	N/A
4	0.072846	0.070910	0.9876	7.00	0.0022	0.0060	0.3380	0.4758	0.4209
5	0.072173	N/A	0.9837	7.00	0.0042	0.0100	N/A	N/A	N/A
6	0.072357	0.070610	0.9850	7.00	0.0060	0.0149	0.4946	0.4946	0.4929
7	0.072616	N/A	0.9932	7.00	0.0090	0.0182	N/A	N/A	N/A
8	0.072551	0.070675	0.9871	7.00	0.0113	0.0215	0.3550	0.5588	0.5667
9	0.071786	N/A	0.9871	7.00	0.0129	0.0243	N/A	N/A	N/A
10	0.070969	0.071425	0.9915	7.00	0.0167	0.0287	0.4117	0.4487	0.3806
11	0.071409	N/A	0.9868	7.00	0.0188	0.0327	N/A	N/A	N/A
12	0.070658	0.069361	0.9961	7.00	0.0199	0.0349	0.4895	0.5189	0.4634
13	0.068883	N/A	0.9913	7.00	0.0221	0.0373	N/A	N/A	N/A
14	0.067898	0.066124	0.9952	7.00	0.0242	0.0407	0.5228	0.5228	0.4807
15	0.068795	N/A	0.9976	7.00	0.0255	0.0432	N/A	N/A	N/A
16	0.066826	0.064459	0.9975	7.00	0.0275	0.0476	0.4959	0.4959	0.4125
17	0.066469	N/A	0.9988	7.00	0.0292	0.0504	N/A	N/A	N/A
18	0.066484	0.064300	0.9987	7.00	0.0307	0.0536	0.3667	0.4433	0.4448
19	0.065718	N/A	0.9975	7.00	0.0318	0.0554	N/A	N/A	N/A
20	0.065530	0.064665	0.9992	7.00	0.0325	0.0572	0.4436	0.4950	0.4553
21	0.065790	N/A	0.9994	7.00	0.0339	0.0598	N/A	N/A	N/A
22	0.065227	0.064183	0.9986	7.00	0.0348	0.0617	0.3708	0.4485	0.4474
23	0.065197	N/A	0.9996	7.00	0.0356	0.0626	N/A	N/A	N/A
24	0.067698	0.067765	0.9977	7.00	0.0347	0.0635	0.4374	0.4875	0.4863
25	0.067533	N/A	0.9708	7.00	0.0358	0.0641	N/A	N/A	N/A
26	0.066213	0.065492	0.9881	7.00	0.0367	0.0660	0.2475	0.4729	0.4115
27	0.064910	N/A	0.9940	7.00	0.0377	0.0669	N/A	N/A	N/A
28	0.064603	0.064102	0.9991	7.00	0.0386	0.0687	0.3918	0.4460	0.4109
29	0.064334	N/A	0.9986	7.00	0.0398	0.0702	N/A	N/A	N/A
30	0.064254	0.063979	0.9995	7.00	0.0403	0.0714	0.3906	0.4454	0.4064
31	0.063708	N/A	0.9991	7.00	0.0404	0.0715	N/A	N/A	N/A
32	0.063738	0.062988	0.9998	7.00	0.0406	0.0723	0.3636	0.4237	0.3955
33	0.063562	N/A	0.9995	7.00	0.0410	0.0727	N/A	N/A	N/A
34	0.063038	0.063645	0.9994	7.00	0.0414	0.0737	0.5110	0.5110	0.5179
35	0.063067	N/A	0.9997	7.00	0.0417	0.0737	N/A	N/A	N/A
36	0.062906	0.063606	0.9999	7.00	0.0418	0.0742	0.4347	0.4910	0.4362
37	0.062748	N/A	0.9984	7.00	0.0418	0.0738	N/A	N/A	N/A
38	0.062451	0.064025	0.9988	7.00	0.0419	0.0743	0.3658	0.5016	0.4774
39	0.062445	N/A	0.9987	7.00	0.0420	0.0744	N/A	N/A	N/A
40	0.062282	0.063137	0.9963	7.00	0.0419	0.0745	0.4345	0.4899	0.5002
41	0.062047	N/A	0.9982	7.00	0.0420	0.0747	N/A	N/A	N/A
42	0.061890	0.063382	0.9980	7.00	0.0421	0.0747	0.4342	0.4915	0.5013
43	0.061737	N/A	0.9984	7.00	0.0422	0.0747	N/A	N/A	N/A
44	0.061410	0.063365	0.9983	7.00	0.0422	0.0747	0.4344	0.4902	0.4965
45	0.061340	N/A	0.9982	7.00	0.0422	0.0748	N/A	N/A	N/A
46	0.061246	0.063048	0.9977	7.00	0.0422	0.0748	0.4343	0.4919	0.4987
47	0.060894	N/A	0.9970	7.00	0.0422	0.0748	N/A	N/A	N/A
48	0.061051	0.063101	0.9966	7.00	0.0422	0.0748	0.4343	0.4917	0.4991
49	0.061184	N/A	0.9966	7.00	0.0422	0.0748	N/A	N/A	N/A
50	0.061040	0.063099	0.9966	7.00	0.0422	0.0748	0.4342	0.4917	0.4991
