epoch	train_task_loss	val_loss	expert_entropy_normalized	avg_depth	mean_cos_sim	max_cos_sim	routing_accuracy	routing_hungarian_acc	routing_ami
1	0.086756	N/A	0.9156	7.00	-0.0003	0.0028	N/A	N/A	N/A
2	0.074894	0.073117	0.9417	7.00	0.0007	0.0055	0.1018	0.5104	0.4817
3	0.074082	N/A	0.9689	7.00	0.0022	0.0103	N/A	N/A	N/A
4	0.073315	0.070547	0.9578	7.00	0.0038	0.0158	0.0504	0.5653	0.6291
5	0.071910	N/A	0.9802	7.00	0.0058	0.0230	N/A	N/A	N/A
6	0.072029	0.070460	0.9719	7.00	0.0076	0.0303	0.0619	0.5016	0.4192
7	0.070426	N/A	0.9788	7.00	0.0100	0.0400	N/A	N/A	N/A
8	0.070349	0.069660	0.9806	7.00	0.0123	0.0483	0.0618	0.4572	0.4472
9	0.069238	N/A	0.9890	7.00	0.0147	0.0561	N/A	N/A	N/A
10	0.068866	0.065071	0.9868	7.00	0.0170	0.0608	0.0918	0.4916	0.4732
11	0.068757	N/A	0.9917	7.00	0.0197	0.0653	N/A	N/A	N/A
12	0.070786	0.069715	0.9744	7.00	0.0237	0.0765	0.0471	0.4420	0.4260
13	0.070017	N/A	0.9890	7.00	0.0279	0.0861	N/A	N/A	N/A
14	0.068532	0.068095	0.9949	7.00	0.0301	0.0867	0.0626	0.3652	0.2518
15	0.067721	N/A	0.9909	7.00	0.0322	0.0911	N/A	N/A	N/A
16	0.067942	0.066281	0.9887	7.00	0.0339	0.0925	0.1100	0.3956	0.3334
17	0.066952	N/A	0.9996	7.00	0.0386	0.0983	N/A	N/A	N/A
18	0.066041	0.065644	0.9995	7.00	0.0397	0.1018	0.0904	0.4876	0.4379
19	0.065997	N/A	0.9992	7.00	0.0409	0.1035	N/A	N/A	N/A
20	0.065203	0.064102	0.9996	7.00	0.0419	0.1064	0.3088	0.4792	0.4173
21	0.065341	N/A	0.9990	7.00	0.0431	0.1091	N/A	N/A	N/A
22	0.065233	0.064841	0.9994	7.00	0.0443	0.1114	0.0601	0.4336	0.4368
23	0.065104	N/A	0.9968	7.00	0.0457	0.1136	N/A	N/A	N/A
24	0.064772	0.063610	0.9993	7.00	0.0464	0.1148	0.1516	0.4209	0.3929
25	0.064504	N/A	0.9991	7.00	0.0474	0.1171	N/A	N/A	N/A
26	0.064185	0.063575	0.9984	7.00	0.0478	0.1185	0.2752	0.4726	0.4098
27	0.063903	N/A	0.9996	7.00	0.0488	0.1202	N/A	N/A	N/A
28	0.063834	0.064038	0.9993	7.00	0.0494	0.1210	0.1972	0.5240	0.5288
29	0.063907	N/A	0.9989	7.00	0.0497	0.1212	N/A	N/A	N/A
30	0.063751	0.064180	0.9995	7.00	0.0503	0.1229	0.1781	0.5256	0.5070
31	0.063375	N/A	0.9985	7.00	0.0509	0.1235	N/A	N/A	N/A
32	0.063210	0.063377	0.9994	7.00	0.0513	0.1245	0.1164	0.4792	0.4795
33	0.063049	N/A	0.9970	7.00	0.0517	0.1252	N/A	N/A	N/A
34	0.062732	0.063168	0.9992	7.00	0.0521	0.1256	0.1762	0.4644	0.4098
35	0.062674	N/A	0.9974	7.00	0.0524	0.1262	N/A	N/A	N/A
36	0.062517	0.062864	0.9998	7.00	0.0524	0.1264	0.2384	0.4517	0.4042
37	0.062230	N/A	0.9995	7.00	0.0526	0.1272	N/A	N/A	N/A
38	0.062033	0.062705	0.9991	7.00	0.0528	0.1270	0.2589	0.5177	0.4268
39	0.062028	N/A	0.9985	7.00	0.0529	0.1273	N/A	N/A	N/A
40	0.061808	0.063148	0.9991	7.00	0.0529	0.1275	0.2166	0.5117	0.4426
41	0.061684	N/A	0.9995	7.00	0.0529	0.1272	N/A	N/A	N/A
42	0.061341	0.062777	0.9992	7.00	0.0530	0.1274	0.2179	0.5377	0.4551
43	0.061206	N/A	0.9982	7.00	0.0530	0.1273	N/A	N/A	N/A
44	0.061274	0.062819	0.9978	7.00	0.0530	0.1272	0.3042	0.6274	0.5463
45	0.060882	N/A	0.9977	7.00	0.0530	0.1272	N/A	N/A	N/A
46	0.060819	0.062791	0.9979	7.00	0.0530	0.1273	0.3040	0.5762	0.4865
47	0.060734	N/A	0.9980	7.00	0.0530	0.1272	N/A	N/A	N/A
48	0.060774	0.062857	0.9982	7.00	0.0530	0.1272	0.3037	0.5676	0.4779
49	0.060504	N/A	0.9981	7.00	0.0530	0.1272	N/A	N/A	N/A
50	0.060546	0.062864	0.9981	7.00	0.0530	0.1272	0.3035	0.5711	0.4792
