epoch	train_task_loss	val_loss	expert_entropy_normalized	avg_depth	mean_cos_sim	max_cos_sim	routing_accuracy	routing_hungarian_acc	routing_ami
1	0.086903	N/A	0.8879	2.85	-0.0002	0.0039	N/A	N/A	N/A
2	0.075228	0.072511	0.8946	2.65	-0.0001	0.0038	0.1416	0.4902	0.4125
3	0.074134	N/A	0.9202	2.50	0.0001	0.0039	N/A	N/A	N/A
4	0.072707	0.069327	0.9322	2.53	0.0003	0.0041	0.1417	0.4911	0.3926
5	0.071302	N/A	0.9483	2.41	0.0010	0.0046	N/A	N/A	N/A
6	0.070895	0.068339	0.9529	2.67	0.0018	0.0076	0.1449	0.4072	0.3380
7	0.069837	N/A	0.9572	2.69	0.0034	0.0103	N/A	N/A	N/A
8	0.070304	0.066630	0.9576	2.65	0.0046	0.0154	0.1475	0.4781	0.3929
9	0.069082	N/A	0.9566	2.50	0.0073	0.0204	N/A	N/A	N/A
10	0.068358	0.065892	0.9650	2.52	0.0092	0.0215	0.1445	0.5163	0.4345
11	0.067790	N/A	0.9611	2.38	0.0113	0.0267	N/A	N/A	N/A
12	0.066516	0.064949	0.9567	2.44	0.0128	0.0297	0.1473	0.4485	0.3678
13	0.066541	N/A	0.9466	2.42	0.0135	0.0305	N/A	N/A	N/A
14	0.066135	0.065071	0.9618	2.38	0.0143	0.0297	0.1468	0.4425	0.4285
15	0.066207	N/A	0.9619	2.33	0.0155	0.0330	N/A	N/A	N/A
16	0.065799	0.065370	0.9710	2.42	0.0172	0.0369	0.0756	0.5882	0.5505
17	0.065114	N/A	0.9754	2.55	0.0184	0.0390	N/A	N/A	N/A
18	0.065084	0.065616	0.9694	2.46	0.0192	0.0411	0.1167	0.5847	0.5630
19	0.064837	N/A	0.9750	2.49	0.0200	0.0415	N/A	N/A	N/A
20	0.064661	0.064184	0.9734	2.39	0.0201	0.0408	0.1522	0.5412	0.4719
21	0.064406	N/A	0.9761	2.61	0.0214	0.0433	N/A	N/A	N/A
22	0.064195	0.063549	0.9759	2.52	0.0221	0.0438	0.0735	0.6277	0.5663
23	0.063990	N/A	0.9782	2.35	0.0225	0.0452	N/A	N/A	N/A
24	0.063820	0.064221	0.9743	2.39	0.0236	0.0492	0.0765	0.5788	0.5112
25	0.063359	N/A	0.9781	2.36	0.0241	0.0505	N/A	N/A	N/A
26	0.063330	0.063234	0.9822	2.49	0.0250	0.0509	0.0781	0.4782	0.4190
27	0.063247	N/A	0.9788	2.34	0.0253	0.0521	N/A	N/A	N/A
28	0.063167	0.064103	0.9813	2.43	0.0260	0.0529	0.2279	0.5548	0.5032
29	0.062939	N/A	0.9795	2.23	0.0258	0.0534	N/A	N/A	N/A
30	0.062706	0.063196	0.9837	2.41	0.0283	0.0540	0.1467	0.4773	0.4214
31	0.062505	N/A	0.9839	2.36	0.0285	0.0547	N/A	N/A	N/A
32	0.062275	0.063893	0.9838	2.62	0.0289	0.0553	0.0739	0.5394	0.5180
33	0.062153	N/A	0.9861	2.47	0.0292	0.0562	N/A	N/A	N/A
34	0.061874	0.063378	0.9882	2.46	0.0293	0.0564	0.0738	0.5740	0.5364
35	0.061754	N/A	0.9882	2.43	0.0294	0.0564	N/A	N/A	N/A
36	0.061777	0.063441	0.9869	2.39	0.0295	0.0563	0.0749	0.5435	0.5414
37	0.061470	N/A	0.9912	2.43	0.0297	0.0565	N/A	N/A	N/A
38	0.061229	0.063990	0.9900	2.39	0.0297	0.0566	0.0753	0.5458	0.4993
39	0.060895	N/A	0.9891	2.43	0.0298	0.0565	N/A	N/A	N/A
40	0.060901	0.063731	0.9904	2.46	0.0297	0.0564	0.0749	0.5408	0.5218
41	0.060793	N/A	0.9876	2.46	0.0299	0.0565	N/A	N/A	N/A
42	0.060579	0.063757	0.9884	2.46	0.0300	0.0565	0.0751	0.5442	0.4832
43	0.060601	N/A	0.9880	2.44	0.0300	0.0565	N/A	N/A	N/A
44	0.060270	0.063663	0.9889	2.41	0.0300	0.0565	0.0743	0.5454	0.5205
45	0.060290	N/A	0.9879	2.45	0.0300	0.0564	N/A	N/A	N/A
46	0.060310	0.063859	0.9889	2.45	0.0300	0.0564	0.0741	0.6201	0.5623
47	0.060375	N/A	0.9879	2.45	0.0300	0.0564	N/A	N/A	N/A
48	0.060085	0.063873	0.9882	2.46	0.0300	0.0563	0.0742	0.6210	0.5592
49	0.060197	N/A	0.9882	2.44	0.0300	0.0564	N/A	N/A	N/A
50	0.060072	0.063836	0.9884	2.46	0.0300	0.0563	0.0742	0.6209	0.5593
