epoch	train_task_loss	val_loss	expert_entropy_normalized	avg_depth	mean_cos_sim	max_cos_sim	routing_accuracy	routing_hungarian_acc	routing_ami
1	0.081499	N/A	0.8281	2.52	0.0004	0.0031	N/A	N/A	N/A
2	0.075112	0.076849	0.8938	2.53	0.0005	0.0030	0.0575	0.4443	0.4255
3	0.073110	N/A	0.9041	2.43	0.0011	0.0065	N/A	N/A	N/A
4	0.071487	0.068603	0.9061	2.40	0.0019	0.0115	0.0077	0.4459	0.4487
5	0.070643	N/A	0.9358	2.45	0.0032	0.0188	N/A	N/A	N/A
6	0.069458	0.068763	0.9116	2.15	0.0045	0.0242	0.0100	0.4809	0.4569
7	0.069316	N/A	0.9351	2.15	0.0058	0.0305	N/A	N/A	N/A
8	0.068397	0.066763	0.9161	2.13	0.0070	0.0384	0.0140	0.4827	0.4475
9	0.067764	N/A	0.9154	2.20	0.0080	0.0408	N/A	N/A	N/A
10	0.067521	0.068192	0.9422	2.24	0.0096	0.0471	0.1298	0.4821	0.4819
11	0.067328	N/A	0.9350	2.16	0.0114	0.0525	N/A	N/A	N/A
12	0.067015	0.065571	0.9427	2.15	0.0127	0.0586	0.0117	0.4383	0.4431
13	0.066477	N/A	0.9471	2.27	0.0142	0.0636	N/A	N/A	N/A
14	0.065898	0.065537	0.9435	2.24	0.0155	0.0672	0.0635	0.5893	0.4879
15	0.065655	N/A	0.9539	2.16	0.0172	0.0739	N/A	N/A	N/A
16	0.065357	0.065332	0.9614	2.33	0.0183	0.0778	0.0112	0.5193	0.4889
17	0.065055	N/A	0.9567	2.38	0.0189	0.0795	N/A	N/A	N/A
18	0.065431	0.063910	0.9717	2.48	0.0208	0.0835	0.1281	0.5145	0.5124
19	0.064953	N/A	0.9776	2.44	0.0224	0.0863	N/A	N/A	N/A
20	0.064494	0.063970	0.9705	2.58	0.0231	0.0900	0.0150	0.5170	0.4859
21	0.064314	N/A	0.9827	2.50	0.0233	0.0917	N/A	N/A	N/A
22	0.064139	0.064235	0.9813	2.45	0.0242	0.0946	0.0170	0.4695	0.4252
23	0.064061	N/A	0.9807	2.49	0.0254	0.0981	N/A	N/A	N/A
24	0.063622	0.063306	0.9831	2.66	0.0262	0.0987	0.0917	0.5515	0.5335
25	0.063588	N/A	0.9842	2.54	0.0267	0.0998	N/A	N/A	N/A
26	0.063244	0.064535	0.9754	2.37	0.0273	0.1007	0.0597	0.5504	0.5093
27	0.063545	N/A	0.9835	2.43	0.0284	0.1014	N/A	N/A	N/A
28	0.062896	0.064349	0.9808	2.66	0.0292	0.1026	0.1377	0.5212	0.5062
29	0.062974	N/A	0.9846	2.48	0.0297	0.1037	N/A	N/A	N/A
30	0.062768	0.064225	0.9827	2.63	0.0303	0.1046	0.1692	0.4304	0.4512
31	0.062313	N/A	0.9844	2.46	0.0307	0.1048	N/A	N/A	N/A
32	0.062000	0.064426	0.9842	2.57	0.0308	0.1051	0.1367	0.5472	0.5296
33	0.061974	N/A	0.9857	2.70	0.0308	0.1051	N/A	N/A	N/A
34	0.061856	0.064115	0.9870	2.53	0.0312	0.1059	0.1376	0.5513	0.5371
35	0.061692	N/A	0.9830	2.50	0.0312	0.1057	N/A	N/A	N/A
36	0.061380	0.063175	0.9837	2.61	0.0315	0.1059	0.1398	0.5385	0.5196
37	0.061426	N/A	0.9846	2.62	0.0317	0.1055	N/A	N/A	N/A
38	0.061244	0.063882	0.9882	2.55	0.0318	0.1058	0.0959	0.4753	0.4493
39	0.061101	N/A	0.9835	2.56	0.0319	0.1059	N/A	N/A	N/A
40	0.060828	0.064106	0.9799	2.61	0.0320	0.1061	0.0934	0.4789	0.4527
41	0.060651	N/A	0.9833	2.61	0.0320	0.1059	N/A	N/A	N/A
42	0.060478	0.063920	0.9834	2.53	0.0321	0.1060	0.0945	0.5228	0.4599
43	0.060386	N/A	0.9894	2.58	0.0321	0.1058	N/A	N/A	N/A
44	0.060182	0.064266	0.9887	2.62	0.0322	0.1059	0.1661	0.5041	0.5137
45	0.060189	N/A	0.9902	2.62	0.0322	0.1059	N/A	N/A	N/A
46	0.060134	0.064014	0.9912	2.60	0.0323	0.1060	0.2203	0.4611	0.4851
47	0.059869	N/A	0.9898	2.62	0.0323	0.1060	N/A	N/A	N/A
48	0.060085	0.063907	0.9923	2.57	0.0323	0.1060	0.1682	0.5010	0.5079
49	0.059830	N/A	0.9884	2.55	0.0323	0.1060	N/A	N/A	N/A
50	0.059798	0.063966	0.9883	2.61	0.0323	0.1060	0.1693	0.4997	0.4965
