epoch	train_task_loss	val_loss	expert_entropy_normalized	avg_depth	mean_cos_sim	max_cos_sim	routing_accuracy	routing_hungarian_acc	routing_ami
1	0.088907	N/A	0.8856	3.08	-0.0003	0.0037	N/A	N/A	N/A
2	0.075014	0.073853	0.9152	3.05	-0.0002	0.0035	0.1005	0.4512	0.4260
3	0.073550	N/A	0.9288	2.93	-0.0000	0.0034	N/A	N/A	N/A
4	0.072041	0.071465	0.9291	3.29	0.0003	0.0055	0.0990	0.4503	0.4198
5	0.072478	N/A	0.9431	2.77	0.0011	0.0062	N/A	N/A	N/A
6	0.070791	0.067556	0.9528	2.77	0.0019	0.0080	0.1005	0.5331	0.5214
7	0.069525	N/A	0.9418	2.65	0.0033	0.0123	N/A	N/A	N/A
8	0.068531	0.066211	0.9365	2.82	0.0045	0.0153	0.0983	0.4529	0.4131
9	0.067819	N/A	0.9538	2.70	0.0059	0.0205	N/A	N/A	N/A
10	0.067186	0.065644	0.9493	2.76	0.0072	0.0240	0.0995	0.5784	0.5632
11	0.067316	N/A	0.9562	2.65	0.0095	0.0319	N/A	N/A	N/A
12	0.066334	0.065161	0.9591	2.73	0.0106	0.0345	0.0990	0.5349	0.5236
13	0.067070	N/A	0.9579	2.73	0.0116	0.0341	N/A	N/A	N/A
14	0.066291	0.064317	0.9436	2.74	0.0136	0.0398	0.1831	0.4948	0.4840
15	0.066307	N/A	0.9384	2.36	0.0149	0.0404	N/A	N/A	N/A
16	0.065780	0.063849	0.9441	2.34	0.0163	0.0445	0.1017	0.5694	0.5457
17	0.065292	N/A	0.9582	2.29	0.0171	0.0467	N/A	N/A	N/A
18	0.065049	0.064299	0.9585	2.40	0.0173	0.0466	0.0994	0.5736	0.5520
19	0.065017	N/A	0.9629	2.28	0.0178	0.0469	N/A	N/A	N/A
20	0.064823	0.063372	0.9586	2.30	0.0191	0.0489	0.0996	0.5735	0.5545
21	0.064647	N/A	0.9680	2.24	0.0196	0.0498	N/A	N/A	N/A
22	0.064301	0.063593	0.9751	2.21	0.0202	0.0501	0.0990	0.5537	0.5424
23	0.063900	N/A	0.9722	2.28	0.0209	0.0505	N/A	N/A	N/A
24	0.064021	0.063762	0.9742	2.38	0.0213	0.0511	0.0977	0.6293	0.6157
25	0.063992	N/A	0.9738	2.36	0.0220	0.0520	N/A	N/A	N/A
26	0.063764	0.063575	0.9756	2.41	0.0222	0.0522	0.0963	0.6228	0.5943
27	0.063432	N/A	0.9823	2.37	0.0227	0.0528	N/A	N/A	N/A
28	0.063561	0.064675	0.9814	2.45	0.0231	0.0541	0.1315	0.5854	0.5564
29	0.063087	N/A	0.9829	2.48	0.0237	0.0552	N/A	N/A	N/A
30	0.062918	0.064634	0.9823	2.54	0.0242	0.0561	0.0980	0.6200	0.5858
31	0.063333	N/A	0.9810	2.43	0.0243	0.0562	N/A	N/A	N/A
32	0.062670	0.063649	0.9737	2.45	0.0247	0.0570	0.0984	0.6166	0.5923
33	0.062290	N/A	0.9797	2.30	0.0249	0.0572	N/A	N/A	N/A
34	0.062606	0.062610	0.9720	2.56	0.0252	0.0572	0.0989	0.5735	0.5472
35	0.062076	N/A	0.9725	2.31	0.0254	0.0573	N/A	N/A	N/A
36	0.061989	0.063377	0.9807	2.46	0.0255	0.0576	0.0989	0.5792	0.5500
37	0.062202	N/A	0.9790	2.40	0.0257	0.0579	N/A	N/A	N/A
38	0.061940	0.063304	0.9768	2.41	0.0257	0.0581	0.1324	0.5817	0.5797
39	0.061584	N/A	0.9739	2.34	0.0259	0.0583	N/A	N/A	N/A
40	0.061580	0.063302	0.9753	2.39	0.0260	0.0585	0.1237	0.5525	0.5108
41	0.061359	N/A	0.9818	2.54	0.0261	0.0585	N/A	N/A	N/A
42	0.061090	0.063101	0.9860	2.49	0.0261	0.0586	0.1311	0.5410	0.5392
43	0.061134	N/A	0.9860	2.50	0.0262	0.0585	N/A	N/A	N/A
44	0.061035	0.063270	0.9839	2.48	0.0262	0.0586	0.1300	0.5773	0.5675
45	0.060930	N/A	0.9843	2.48	0.0262	0.0586	N/A	N/A	N/A
46	0.060965	0.063060	0.9850	2.50	0.0262	0.0586	0.1303	0.5765	0.5679
47	0.060837	N/A	0.9850	2.50	0.0262	0.0586	N/A	N/A	N/A
48	0.060801	0.063070	0.9853	2.45	0.0262	0.0586	0.1302	0.5755	0.5667
49	0.060605	N/A	0.9852	2.48	0.0262	0.0586	N/A	N/A	N/A
50	0.060614	0.063089	0.9853	2.46	0.0262	0.0586	0.1302	0.5755	0.5668
