epoch	train_task_loss	val_loss	expert_entropy_normalized	avg_depth	mean_cos_sim	max_cos_sim	routing_accuracy	routing_hungarian_acc	routing_ami
1	0.086794	N/A	0.9388	2.95	-0.0001	0.0045	N/A	N/A	N/A
2	0.075109	0.071421	0.9714	2.85	-0.0003	0.0038	0.1868	0.4877	0.4384
3	0.074861	N/A	0.9725	2.62	-0.0001	0.0035	N/A	N/A	N/A
4	0.073404	0.070491	0.9892	2.62	0.0003	0.0033	0.1897	0.4820	0.4513
5	0.073012	N/A	0.9924	2.38	0.0017	0.0060	N/A	N/A	N/A
6	0.072489	0.071428	0.9867	2.40	0.0025	0.0078	0.1915	0.4504	0.4166
7	0.071524	N/A	0.9665	2.46	0.0035	0.0100	N/A	N/A	N/A
8	0.070370	0.068522	0.9812	2.29	0.0046	0.0119	0.2695	0.5142	0.4624
9	0.069914	N/A	0.9723	2.28	0.0080	0.0146	N/A	N/A	N/A
10	0.069916	0.069213	0.9688	2.35	0.0115	0.0193	0.2435	0.4572	0.4586
11	0.068350	N/A	0.9752	2.13	0.0130	0.0214	N/A	N/A	N/A
12	0.068167	0.066837	0.9755	2.14	0.0145	0.0220	0.1974	0.5315	0.4887
13	0.067454	N/A	0.9543	2.11	0.0160	0.0251	N/A	N/A	N/A
14	0.066388	0.065942	0.9808	2.10	0.0165	0.0259	0.2264	0.5603	0.5133
15	0.066654	N/A	0.9773	2.13	0.0170	0.0263	N/A	N/A	N/A
16	0.066552	0.066136	0.9728	2.11	0.0179	0.0282	0.2259	0.5296	0.4697
17	0.065554	N/A	0.9778	2.16	0.0185	0.0291	N/A	N/A	N/A
18	0.065355	0.064816	0.9833	2.09	0.0192	0.0298	0.2691	0.4931	0.4273
19	0.065075	N/A	0.9786	2.11	0.0199	0.0303	N/A	N/A	N/A
20	0.065019	0.065400	0.9851	2.06	0.0205	0.0315	0.2360	0.4825	0.4026
21	0.064531	N/A	0.9766	2.04	0.0213	0.0327	N/A	N/A	N/A
22	0.064396	0.063990	0.9870	2.04	0.0219	0.0330	0.1584	0.5219	0.5082
23	0.064112	N/A	0.9859	2.06	0.0226	0.0343	N/A	N/A	N/A
24	0.063915	0.063990	0.9902	2.13	0.0232	0.0342	0.2360	0.5224	0.4487
25	0.063618	N/A	0.9927	2.18	0.0238	0.0354	N/A	N/A	N/A
26	0.063338	0.064061	0.9910	2.16	0.0243	0.0361	0.1267	0.3943	0.3782
27	0.063321	N/A	0.9923	2.09	0.0248	0.0361	N/A	N/A	N/A
28	0.063209	0.064164	0.9869	2.02	0.0255	0.0378	0.2320	0.4566	0.4089
29	0.063022	N/A	0.9877	2.11	0.0259	0.0384	N/A	N/A	N/A
30	0.062722	0.063281	0.9923	2.07	0.0262	0.0387	0.2792	0.4573	0.4055
31	0.062638	N/A	0.9907	2.05	0.0265	0.0389	N/A	N/A	N/A
32	0.062430	0.063245	0.9926	2.08	0.0270	0.0396	0.1832	0.4941	0.4131
33	0.062071	N/A	0.9891	2.09	0.0272	0.0401	N/A	N/A	N/A
34	0.062172	0.063409	0.9875	2.04	0.0273	0.0403	0.1986	0.5533	0.4958
35	0.061963	N/A	0.9944	2.05	0.0277	0.0407	N/A	N/A	N/A
36	0.061804	0.063577	0.9892	2.05	0.0276	0.0406	0.2150	0.4856	0.4220
37	0.061509	N/A	0.9910	2.15	0.0277	0.0406	N/A	N/A	N/A
38	0.061265	0.063407	0.9912	2.14	0.0277	0.0406	0.2461	0.5010	0.4166
39	0.060990	N/A	0.9916	2.08	0.0278	0.0407	N/A	N/A	N/A
40	0.061017	0.063513	0.9944	2.10	0.0279	0.0406	0.1616	0.4856	0.4337
41	0.060932	N/A	0.9955	2.07	0.0280	0.0407	N/A	N/A	N/A
42	0.060687	0.063328	0.9942	2.06	0.0279	0.0407	0.2673	0.5219	0.4668
43	0.060794	N/A	0.9899	2.09	0.0280	0.0407	N/A	N/A	N/A
44	0.060407	0.063277	0.9924	2.07	0.0280	0.0406	0.1617	0.4867	0.4763
45	0.060438	N/A	0.9923	2.08	0.0280	0.0407	N/A	N/A	N/A
46	0.060368	0.063444	0.9909	2.09	0.0280	0.0406	0.2299	0.4850	0.4562
47	0.060317	N/A	0.9909	2.08	0.0280	0.0407	N/A	N/A	N/A
48	0.060352	0.063394	0.9907	2.11	0.0280	0.0407	0.1717	0.4873	0.4583
49	0.060227	N/A	0.9911	2.08	0.0280	0.0407	N/A	N/A	N/A
50	0.060131	0.063391	0.9912	2.09	0.0280	0.0407	0.1651	0.4838	0.4606
