epoch	train_task_loss	val_loss	expert_entropy_normalized	avg_depth	mean_cos_sim	max_cos_sim	routing_accuracy	routing_hungarian_acc	routing_ami
1	0.081787	N/A	0.8848	2.56	0.0002	0.0031	N/A	N/A	N/A
2	0.074758	0.070982	0.9523	2.43	0.0002	0.0033	0.0883	0.5242	0.5076
3	0.072331	N/A	0.9630	2.43	0.0005	0.0036	N/A	N/A	N/A
4	0.071758	0.072385	0.9683	2.19	0.0009	0.0041	0.0885	0.5169	0.4801
5	0.073043	N/A	0.9751	2.55	0.0037	0.0136	N/A	N/A	N/A
6	0.070954	0.070795	0.9682	2.32	0.0060	0.0182	0.0849	0.5205	0.4796
7	0.070607	N/A	0.9587	2.30	0.0083	0.0236	N/A	N/A	N/A
8	0.069118	0.069200	0.9699	2.32	0.0101	0.0287	0.0848	0.5177	0.4763
9	0.068627	N/A	0.9567	2.43	0.0120	0.0307	N/A	N/A	N/A
10	0.068605	0.067683	0.9733	2.20	0.0136	0.0374	0.0846	0.5191	0.4775
11	0.067160	N/A	0.9660	2.11	0.0146	0.0394	N/A	N/A	N/A
12	0.066708	0.064547	0.9665	2.17	0.0156	0.0406	0.0868	0.5146	0.4747
13	0.067353	N/A	0.9688	2.23	0.0169	0.0424	N/A	N/A	N/A
14	0.066759	0.065814	0.9700	2.08	0.0190	0.0432	0.0948	0.4786	0.4431
15	0.066073	N/A	0.9660	2.07	0.0199	0.0441	N/A	N/A	N/A
16	0.065436	0.065115	0.9652	2.07	0.0204	0.0444	0.1639	0.4833	0.4593
17	0.065128	N/A	0.9672	2.08	0.0209	0.0460	N/A	N/A	N/A
18	0.065740	0.065073	0.9609	2.06	0.0228	0.0496	0.0762	0.5724	0.5411
19	0.065039	N/A	0.9558	2.05	0.0236	0.0505	N/A	N/A	N/A
20	0.064480	0.064672	0.9572	2.07	0.0241	0.0519	0.0854	0.5637	0.5298
21	0.064431	N/A	0.9774	2.09	0.0244	0.0525	N/A	N/A	N/A
22	0.064234	0.064222	0.9847	2.07	0.0251	0.0544	0.0860	0.5635	0.5284
23	0.064137	N/A	0.9721	2.08	0.0258	0.0555	N/A	N/A	N/A
24	0.063932	0.064013	0.9802	2.11	0.0265	0.0571	0.1626	0.4869	0.5077
25	0.063692	N/A	0.9817	2.06	0.0269	0.0581	N/A	N/A	N/A
26	0.063486	0.064621	0.9854	2.04	0.0275	0.0582	0.1631	0.4613	0.4806
27	0.063785	N/A	0.9965	2.00	0.0278	0.0594	N/A	N/A	N/A
28	0.063173	0.064385	0.9725	2.02	0.0284	0.0603	0.1626	0.4862	0.5061
29	0.063267	N/A	0.9932	2.01	0.0287	0.0616	N/A	N/A	N/A
30	0.062982	0.063899	0.9952	2.02	0.0291	0.0612	0.1627	0.4623	0.4764
31	0.062626	N/A	0.9935	2.08	0.0293	0.0614	N/A	N/A	N/A
32	0.062424	0.064660	0.9981	2.03	0.0295	0.0615	0.0852	0.4621	0.4783
33	0.062289	N/A	0.9961	2.04	0.0298	0.0619	N/A	N/A	N/A
34	0.062149	0.064169	0.9952	2.05	0.0300	0.0626	0.0861	0.5390	0.5175
35	0.062015	N/A	0.9960	2.06	0.0303	0.0627	N/A	N/A	N/A
36	0.061841	0.063430	0.9957	2.05	0.0304	0.0628	0.0862	0.5382	0.5173
37	0.061739	N/A	0.9948	2.02	0.0304	0.0632	N/A	N/A	N/A
38	0.061505	0.063854	0.9951	2.02	0.0307	0.0635	0.1626	0.4623	0.4747
39	0.061473	N/A	0.9951	2.03	0.0307	0.0637	N/A	N/A	N/A
40	0.061233	0.063820	0.9949	2.03	0.0308	0.0639	0.0864	0.5386	0.5164
41	0.061117	N/A	0.9953	2.02	0.0309	0.0640	N/A	N/A	N/A
42	0.060942	0.063887	0.9952	2.02	0.0310	0.0641	0.1622	0.4629	0.4749
43	0.060935	N/A	0.9952	2.03	0.0310	0.0642	N/A	N/A	N/A
44	0.060707	0.063874	0.9947	2.02	0.0310	0.0642	0.1626	0.4623	0.4746
45	0.060607	N/A	0.9947	2.02	0.0310	0.0642	N/A	N/A	N/A
46	0.060758	0.063891	0.9946	2.02	0.0310	0.0642	0.1625	0.4624	0.4748
47	0.060445	N/A	0.9946	2.02	0.0311	0.0642	N/A	N/A	N/A
48	0.060599	0.063750	0.9946	2.03	0.0311	0.0642	0.1626	0.4623	0.4749
49	0.060272	N/A	0.9946	2.02	0.0311	0.0642	N/A	N/A	N/A
50	0.060454	0.063747	0.9946	2.02	0.0311	0.0642	0.1626	0.4623	0.4749
