epoch	train_task_loss	val_loss	expert_entropy_normalized	avg_depth	mean_cos_sim	max_cos_sim	routing_accuracy	routing_hungarian_acc	routing_ami
1	0.088868	N/A	0.9112	3.59	-0.0001	0.0042	N/A	N/A	N/A
2	0.075442	0.072330	0.9412	3.13	-0.0001	0.0042	0.1815	0.4514	0.4365
3	0.073142	N/A	0.9459	2.74	0.0001	0.0041	N/A	N/A	N/A
4	0.072151	0.070481	0.9453	2.84	0.0005	0.0043	0.1804	0.4476	0.4210
5	0.071168	N/A	0.9328	2.62	0.0013	0.0085	N/A	N/A	N/A
6	0.070321	0.068520	0.9453	2.54	0.0023	0.0123	0.1813	0.4471	0.4120
7	0.069011	N/A	0.9204	2.51	0.0038	0.0181	N/A	N/A	N/A
8	0.068220	0.067980	0.9293	2.30	0.0045	0.0206	0.1754	0.4489	0.4019
9	0.067477	N/A	0.9202	2.26	0.0060	0.0242	N/A	N/A	N/A
10	0.067064	0.066355	0.9429	2.32	0.0073	0.0272	0.1797	0.4896	0.4826
11	0.066895	N/A	0.9331	2.15	0.0087	0.0322	N/A	N/A	N/A
12	0.066378	0.064943	0.9473	2.09	0.0098	0.0380	0.0985	0.5192	0.5266
13	0.066125	N/A	0.9595	2.17	0.0115	0.0419	N/A	N/A	N/A
14	0.065730	0.064638	0.9547	2.18	0.0125	0.0462	0.1815	0.4187	0.4335
15	0.065879	N/A	0.9627	2.23	0.0135	0.0506	N/A	N/A	N/A
16	0.064980	0.065089	0.9502	2.18	0.0147	0.0541	0.1754	0.4697	0.5050
17	0.065548	N/A	0.9713	2.40	0.0189	0.0606	N/A	N/A	N/A
18	0.064799	0.064680	0.9699	2.13	0.0201	0.0622	0.1792	0.4349	0.3967
19	0.064621	N/A	0.9734	2.32	0.0208	0.0643	N/A	N/A	N/A
20	0.064528	0.063696	0.9720	2.35	0.0218	0.0662	0.1007	0.4330	0.4251
21	0.064393	N/A	0.9817	2.26	0.0225	0.0671	N/A	N/A	N/A
22	0.063946	0.063841	0.9888	2.25	0.0232	0.0685	0.1788	0.4184	0.4295
23	0.063562	N/A	0.9871	2.32	0.0237	0.0693	N/A	N/A	N/A
24	0.063419	0.063781	0.9903	2.04	0.0239	0.0695	0.1786	0.4037	0.3797
25	0.063872	N/A	0.9894	2.14	0.0253	0.0706	N/A	N/A	N/A
26	0.063263	0.063581	0.9923	2.10	0.0261	0.0713	0.1013	0.5182	0.5178
27	0.062805	N/A	0.9904	2.18	0.0267	0.0727	N/A	N/A	N/A
28	0.062931	0.064200	0.9895	2.12	0.0274	0.0736	0.1794	0.5079	0.4805
29	0.062474	N/A	0.9874	2.13	0.0277	0.0746	N/A	N/A	N/A
30	0.062326	0.064464	0.9819	2.15	0.0278	0.0748	0.1037	0.5364	0.4859
31	0.062830	N/A	0.9964	2.15	0.0282	0.0753	N/A	N/A	N/A
32	0.062226	0.063885	0.9941	2.13	0.0285	0.0753	0.1017	0.5138	0.4664
33	0.061899	N/A	0.9955	2.18	0.0288	0.0762	N/A	N/A	N/A
34	0.061973	0.062932	0.9949	2.12	0.0290	0.0771	0.1032	0.4783	0.4462
35	0.061336	N/A	0.9939	2.13	0.0293	0.0774	N/A	N/A	N/A
36	0.061372	0.063762	0.9950	2.14	0.0294	0.0778	0.1028	0.4978	0.4264
37	0.061494	N/A	0.9931	2.20	0.0298	0.0779	N/A	N/A	N/A
38	0.061187	0.063356	0.9956	2.13	0.0300	0.0782	0.1025	0.4975	0.4280
39	0.060777	N/A	0.9953	2.17	0.0300	0.0783	N/A	N/A	N/A
40	0.060743	0.062966	0.9940	2.15	0.0302	0.0786	0.1027	0.5160	0.5082
41	0.060518	N/A	0.9952	2.15	0.0302	0.0784	N/A	N/A	N/A
42	0.060392	0.062858	0.9951	2.17	0.0303	0.0786	0.1029	0.4868	0.4416
43	0.060407	N/A	0.9952	2.17	0.0304	0.0786	N/A	N/A	N/A
44	0.060330	0.063136	0.9968	2.16	0.0303	0.0785	0.1029	0.4639	0.4388
45	0.060280	N/A	0.9977	2.17	0.0304	0.0786	N/A	N/A	N/A
46	0.060229	0.062911	0.9961	2.15	0.0304	0.0786	0.1029	0.4922	0.4712
47	0.060045	N/A	0.9953	2.17	0.0304	0.0786	N/A	N/A	N/A
48	0.059982	0.062811	0.9954	2.14	0.0304	0.0786	0.1029	0.5099	0.4623
49	0.059708	N/A	0.9950	2.14	0.0304	0.0786	N/A	N/A	N/A
50	0.059761	0.062950	0.9953	2.12	0.0304	0.0786	0.1029	0.5097	0.4545
