epoch	train_task_loss	val_loss	expert_entropy_normalized	avg_depth	mean_cos_sim	max_cos_sim	routing_accuracy	routing_hungarian_acc	routing_ami
1	0.087564	N/A	0.9160	2.27	-0.0002	0.0047	N/A	N/A	N/A
2	0.076752	0.073314	0.8853	2.33	-0.0006	0.0032	0.6191	0.6201	0.5804
3	0.074824	N/A	0.9093	2.43	-0.0009	0.0027	N/A	N/A	N/A
4	0.072398	0.068663	0.8893	2.36	-0.0009	0.0023	0.9971	0.9971	0.9911
5	0.071362	N/A	0.9022	2.36	-0.0010	0.0020	N/A	N/A	N/A
6	0.071171	0.067492	0.8987	2.29	-0.0008	0.0024	0.9977	0.9977	0.9926
7	0.069845	N/A	0.8682	2.90	-0.0007	0.0025	N/A	N/A	N/A
8	0.068812	0.065684	0.8255	2.83	-0.0006	0.0032	0.9972	0.9972	0.9915
9	0.068678	N/A	0.8154	2.62	-0.0005	0.0036	N/A	N/A	N/A
10	0.068321	0.067144	0.8633	2.55	-0.0001	0.0040	0.9976	0.9976	0.9925
11	0.066879	N/A	0.8686	2.49	0.0003	0.0048	N/A	N/A	N/A
12	0.066258	0.065617	0.8989	2.32	0.0005	0.0051	0.9979	0.9979	0.9932
13	0.065995	N/A	0.9060	2.29	0.0006	0.0053	N/A	N/A	N/A
14	0.065965	0.064989	0.9061	2.32	0.0008	0.0053	0.9977	0.9977	0.9928
15	0.066053	N/A	0.9064	2.30	0.0009	0.0059	N/A	N/A	N/A
16	0.065698	0.064770	0.9136	2.27	0.0012	0.0061	0.9979	0.9979	0.9933
17	0.064991	N/A	0.9011	2.24	0.0014	0.0065	N/A	N/A	N/A
18	0.064817	0.064073	0.9181	2.10	0.0015	0.0072	0.9979	0.9979	0.9934
19	0.064537	N/A	0.9294	2.08	0.0016	0.0071	N/A	N/A	N/A
20	0.064451	0.063771	0.9383	2.09	0.0019	0.0076	0.9994	0.9994	0.9976
21	0.064304	N/A	0.9403	2.10	0.0022	0.0086	N/A	N/A	N/A
22	0.064294	0.063869	0.9402	2.19	0.0024	0.0091	1.0000	1.0000	1.0000
23	0.063953	N/A	0.9381	2.07	0.0026	0.0092	N/A	N/A	N/A
24	0.063916	0.063868	0.9428	2.10	0.0029	0.0096	1.0000	1.0000	1.0000
25	0.063654	N/A	0.9421	2.09	0.0031	0.0097	N/A	N/A	N/A
26	0.063313	0.063359	0.9424	2.08	0.0033	0.0103	1.0000	1.0000	1.0000
27	0.063288	N/A	0.9426	2.07	0.0034	0.0109	N/A	N/A	N/A
28	0.063173	0.064444	0.9425	2.07	0.0035	0.0113	1.0000	1.0000	1.0000
29	0.062945	N/A	0.9426	2.06	0.0037	0.0116	N/A	N/A	N/A
30	0.062648	0.063456	0.9423	2.06	0.0039	0.0119	1.0000	1.0000	1.0000
31	0.062527	N/A	0.9426	2.06	0.0039	0.0123	N/A	N/A	N/A
32	0.062406	0.063463	0.9455	2.07	0.0041	0.0125	1.0000	1.0000	1.0000
33	0.062263	N/A	0.9432	2.07	0.0042	0.0128	N/A	N/A	N/A
34	0.062063	0.063654	0.9472	2.05	0.0043	0.0131	1.0000	1.0000	1.0000
35	0.062030	N/A	0.9433	2.08	0.0045	0.0133	N/A	N/A	N/A
36	0.061893	0.063336	0.9465	2.06	0.0046	0.0136	1.0000	1.0000	1.0000
37	0.061627	N/A	0.9460	2.08	0.0047	0.0138	N/A	N/A	N/A
38	0.061404	0.063802	0.9424	2.07	0.0048	0.0141	1.0000	1.0000	1.0000
39	0.061118	N/A	0.9424	2.09	0.0048	0.0142	N/A	N/A	N/A
40	0.061138	0.063747	0.9425	2.09	0.0049	0.0143	1.0000	1.0000	1.0000
41	0.061136	N/A	0.9425	2.07	0.0049	0.0145	N/A	N/A	N/A
42	0.060957	0.063700	0.9425	2.06	0.0050	0.0145	1.0000	1.0000	1.0000
43	0.060887	N/A	0.9424	2.07	0.0050	0.0146	N/A	N/A	N/A
44	0.060608	0.063473	0.9424	2.07	0.0050	0.0146	1.0000	1.0000	1.0000
45	0.060689	N/A	0.9424	2.09	0.0050	0.0146	N/A	N/A	N/A
46	0.060624	0.063729	0.9425	2.07	0.0050	0.0146	1.0000	1.0000	1.0000
47	0.060608	N/A	0.9424	2.08	0.0050	0.0146	N/A	N/A	N/A
48	0.060598	0.063693	0.9424	2.08	0.0050	0.0147	1.0000	1.0000	1.0000
49	0.060569	N/A	0.9424	2.09	0.0050	0.0147	N/A	N/A	N/A
50	0.060439	0.063648	0.9424	2.07	0.0050	0.0147	1.0000	1.0000	1.0000
