epoch	train_task_loss	val_loss	expert_entropy_normalized	avg_depth	mean_cos_sim	max_cos_sim	routing_accuracy	routing_hungarian_acc	routing_ami
1	0.081916	N/A	0.9180	2.23	0.0005	0.0028	N/A	N/A	N/A
2	0.076093	0.081639	0.9093	2.26	0.0004	0.0030	0.5843	0.6899	0.6548
3	0.074401	N/A	0.9138	2.07	-0.0000	0.0029	N/A	N/A	N/A
4	0.074014	0.070443	0.9318	2.38	-0.0002	0.0029	0.9968	0.9968	0.9894
5	0.072354	N/A	0.9445	2.16	-0.0003	0.0033	N/A	N/A	N/A
6	0.070504	0.068744	0.9390	2.16	-0.0005	0.0045	0.9940	0.9940	0.9844
7	0.070048	N/A	0.9476	2.15	-0.0005	0.0053	N/A	N/A	N/A
8	0.069266	0.066291	0.9497	2.09	-0.0004	0.0067	0.9983	0.9983	0.9946
9	0.068155	N/A	0.9521	2.10	-0.0003	0.0075	N/A	N/A	N/A
10	0.067981	0.066105	0.9526	2.10	-0.0001	0.0084	1.0000	1.0000	1.0000
11	0.067110	N/A	0.9524	2.08	0.0002	0.0091	N/A	N/A	N/A
12	0.066962	0.064541	0.9530	2.05	0.0005	0.0097	1.0000	1.0000	1.0000
13	0.066970	N/A	0.9537	2.01	0.0008	0.0099	N/A	N/A	N/A
14	0.066231	0.065084	0.9527	2.01	0.0010	0.0108	1.0000	1.0000	1.0000
15	0.065798	N/A	0.9531	2.02	0.0012	0.0110	N/A	N/A	N/A
16	0.065198	0.066992	0.9530	2.01	0.0014	0.0114	1.0000	1.0000	1.0000
17	0.065361	N/A	0.9542	2.05	0.0017	0.0117	N/A	N/A	N/A
18	0.065082	0.064587	0.9539	2.01	0.0019	0.0122	1.0000	1.0000	1.0000
19	0.064999	N/A	0.9529	2.02	0.0022	0.0128	N/A	N/A	N/A
20	0.064643	0.063968	0.9525	2.02	0.0025	0.0128	1.0000	1.0000	1.0000
21	0.064266	N/A	0.9533	2.01	0.0026	0.0132	N/A	N/A	N/A
22	0.064232	0.063967	0.9533	2.01	0.0029	0.0135	1.0000	1.0000	1.0000
23	0.064131	N/A	0.9534	2.01	0.0032	0.0135	N/A	N/A	N/A
24	0.063834	0.063558	0.9545	2.02	0.0034	0.0134	1.0000	1.0000	1.0000
25	0.063806	N/A	0.9531	2.01	0.0035	0.0134	N/A	N/A	N/A
26	0.063373	0.064000	0.9540	2.01	0.0036	0.0136	1.0000	1.0000	1.0000
27	0.063507	N/A	0.9532	2.01	0.0038	0.0137	N/A	N/A	N/A
28	0.063223	0.064162	0.9533	2.01	0.0039	0.0141	1.0000	1.0000	1.0000
29	0.063221	N/A	0.9533	2.02	0.0040	0.0141	N/A	N/A	N/A
30	0.062927	0.064003	0.9531	2.01	0.0042	0.0143	1.0000	1.0000	1.0000
31	0.062781	N/A	0.9536	2.02	0.0043	0.0143	N/A	N/A	N/A
32	0.062535	0.064331	0.9529	2.02	0.0044	0.0144	1.0000	1.0000	1.0000
33	0.062434	N/A	0.9530	2.02	0.0045	0.0145	N/A	N/A	N/A
34	0.062365	0.063893	0.9529	2.01	0.0046	0.0146	1.0000	1.0000	1.0000
35	0.062173	N/A	0.9532	2.01	0.0047	0.0146	N/A	N/A	N/A
36	0.061821	0.063329	0.9532	2.02	0.0047	0.0145	1.0000	1.0000	1.0000
37	0.061806	N/A	0.9533	2.01	0.0047	0.0145	N/A	N/A	N/A
38	0.061655	0.063750	0.9534	2.02	0.0048	0.0146	1.0000	1.0000	1.0000
39	0.061705	N/A	0.9533	2.02	0.0048	0.0145	N/A	N/A	N/A
40	0.061519	0.063663	0.9534	2.01	0.0049	0.0145	1.0000	1.0000	1.0000
41	0.061307	N/A	0.9533	2.02	0.0049	0.0144	N/A	N/A	N/A
42	0.061123	0.063669	0.9534	2.02	0.0049	0.0144	1.0000	1.0000	1.0000
43	0.061115	N/A	0.9533	2.01	0.0049	0.0144	N/A	N/A	N/A
44	0.060897	0.063822	0.9533	2.01	0.0049	0.0144	1.0000	1.0000	1.0000
45	0.060778	N/A	0.9533	2.01	0.0049	0.0144	N/A	N/A	N/A
46	0.060808	0.063784	0.9533	2.02	0.0049	0.0144	1.0000	1.0000	1.0000
47	0.060654	N/A	0.9533	2.02	0.0049	0.0144	N/A	N/A	N/A
48	0.060694	0.063700	0.9532	2.02	0.0049	0.0144	1.0000	1.0000	1.0000
49	0.060685	N/A	0.9532	2.03	0.0049	0.0144	N/A	N/A	N/A
50	0.060479	0.063706	0.9533	2.01	0.0049	0.0144	1.0000	1.0000	1.0000
