epoch	train_task_loss	val_loss	expert_entropy_normalized	avg_depth	mean_cos_sim	max_cos_sim	routing_accuracy	routing_hungarian_acc	routing_ami
1	0.089643	N/A	0.8986	2.54	-0.0005	0.0037	N/A	N/A	N/A
2	0.076345	0.074782	0.8906	2.60	-0.0006	0.0034	0.8117	0.8117	0.7373
3	0.074639	N/A	0.9197	2.23	-0.0007	0.0030	N/A	N/A	N/A
4	0.073051	0.069055	0.9429	2.20	-0.0007	0.0029	0.9989	0.9989	0.9962
5	0.071966	N/A	0.9342	2.31	-0.0007	0.0028	N/A	N/A	N/A
6	0.070442	0.069148	0.9184	2.50	-0.0007	0.0028	0.9983	0.9983	0.9947
7	0.069050	N/A	0.8986	2.31	-0.0006	0.0034	N/A	N/A	N/A
8	0.068363	0.067881	0.9183	2.30	-0.0003	0.0053	0.9989	0.9989	0.9962
9	0.067814	N/A	0.9097	2.26	-0.0002	0.0054	N/A	N/A	N/A
10	0.066870	0.066234	0.9207	2.25	0.0000	0.0063	0.9989	0.9989	0.9964
11	0.067014	N/A	0.9196	2.25	0.0003	0.0066	N/A	N/A	N/A
12	0.066372	0.064750	0.9334	2.25	0.0008	0.0091	0.9989	0.9989	0.9964
13	0.065994	N/A	0.9362	2.18	0.0010	0.0094	N/A	N/A	N/A
14	0.065795	0.064557	0.9269	2.14	0.0014	0.0106	0.9994	0.9994	0.9977
15	0.065800	N/A	0.9292	2.15	0.0016	0.0106	N/A	N/A	N/A
16	0.065415	0.064662	0.9312	2.16	0.0020	0.0112	0.9992	0.9992	0.9973
17	0.065058	N/A	0.9348	2.09	0.0022	0.0112	N/A	N/A	N/A
18	0.064706	0.064375	0.9385	2.14	0.0025	0.0118	1.0000	1.0000	1.0000
19	0.064582	N/A	0.9302	2.06	0.0027	0.0123	N/A	N/A	N/A
20	0.064341	0.063948	0.9456	2.02	0.0030	0.0127	1.0000	1.0000	1.0000
21	0.064271	N/A	0.9502	2.00	0.0031	0.0134	N/A	N/A	N/A
22	0.063956	0.063842	0.9504	1.98	0.0033	0.0136	1.0000	1.0000	1.0000
23	0.063589	N/A	0.9517	1.99	0.0036	0.0147	N/A	N/A	N/A
24	0.063549	0.064344	0.9524	1.99	0.0038	0.0154	1.0000	1.0000	1.0000
25	0.063769	N/A	0.9522	2.03	0.0040	0.0161	N/A	N/A	N/A
26	0.063125	0.064170	0.9518	1.98	0.0040	0.0160	1.0000	1.0000	1.0000
27	0.062755	N/A	0.9529	2.00	0.0043	0.0165	N/A	N/A	N/A
28	0.062936	0.064844	0.9530	1.99	0.0044	0.0165	1.0000	1.0000	1.0000
29	0.062559	N/A	0.9529	2.00	0.0047	0.0173	N/A	N/A	N/A
30	0.062291	0.064668	0.9531	2.00	0.0047	0.0173	1.0000	1.0000	1.0000
31	0.062537	N/A	0.9531	2.00	0.0048	0.0175	N/A	N/A	N/A
32	0.062072	0.064538	0.9530	2.00	0.0050	0.0178	1.0000	1.0000	1.0000
33	0.061809	N/A	0.9532	2.00	0.0051	0.0179	N/A	N/A	N/A
34	0.061797	0.063190	0.9557	2.02	0.0053	0.0182	1.0000	1.0000	1.0000
35	0.061439	N/A	0.9585	2.04	0.0052	0.0180	N/A	N/A	N/A
36	0.061324	0.064430	0.9602	2.04	0.0053	0.0184	1.0000	1.0000	1.0000
37	0.061498	N/A	0.9597	2.04	0.0054	0.0186	N/A	N/A	N/A
38	0.061091	0.064176	0.9598	2.06	0.0055	0.0187	1.0000	1.0000	1.0000
39	0.060856	N/A	0.9597	2.04	0.0056	0.0189	N/A	N/A	N/A
40	0.060762	0.064167	0.9596	2.05	0.0056	0.0192	1.0000	1.0000	1.0000
41	0.060532	N/A	0.9595	2.04	0.0056	0.0193	N/A	N/A	N/A
42	0.060411	0.063926	0.9595	2.05	0.0057	0.0194	1.0000	1.0000	1.0000
43	0.060361	N/A	0.9595	2.03	0.0057	0.0196	N/A	N/A	N/A
44	0.060297	0.064078	0.9596	2.04	0.0057	0.0196	1.0000	1.0000	1.0000
45	0.060162	N/A	0.9596	2.05	0.0057	0.0197	N/A	N/A	N/A
46	0.060209	0.063953	0.9596	2.05	0.0057	0.0197	1.0000	1.0000	1.0000
47	0.060100	N/A	0.9596	2.05	0.0057	0.0198	N/A	N/A	N/A
48	0.060086	0.063929	0.9596	2.04	0.0057	0.0198	1.0000	1.0000	1.0000
49	0.059824	N/A	0.9596	2.04	0.0057	0.0198	N/A	N/A	N/A
50	0.059965	0.063960	0.9596	2.05	0.0057	0.0198	1.0000	1.0000	1.0000
