epoch	train_task_loss	val_loss	expert_entropy_normalized	avg_depth	mean_cos_sim	max_cos_sim	routing_accuracy	routing_hungarian_acc	routing_ami
1	0.084090	N/A	0.9062	3.03	-0.0005	0.0024	N/A	N/A	N/A
2	0.075437	0.071778	0.9136	3.38	-0.0006	0.0025	0.8107	0.8107	0.7907
3	0.074292	N/A	0.9256	2.91	-0.0008	0.0027	N/A	N/A	N/A
4	0.072869	0.069913	0.9344	2.47	-0.0008	0.0026	0.9960	0.9960	0.9875
5	0.071930	N/A	0.9654	2.38	-0.0007	0.0024	N/A	N/A	N/A
6	0.070276	0.067764	0.9676	2.20	-0.0005	0.0023	0.9974	0.9974	0.9918
7	0.069787	N/A	0.9639	2.23	-0.0005	0.0022	N/A	N/A	N/A
8	0.069240	0.067699	0.9606	2.11	-0.0003	0.0024	0.9981	0.9981	0.9941
9	0.068581	N/A	0.9597	2.24	-0.0002	0.0018	N/A	N/A	N/A
10	0.067401	0.066773	0.9642	2.10	0.0001	0.0026	1.0000	1.0000	1.0000
11	0.067050	N/A	0.9627	2.04	0.0002	0.0038	N/A	N/A	N/A
12	0.066799	0.064514	0.9608	2.08	0.0005	0.0051	1.0000	1.0000	1.0000
13	0.066911	N/A	0.9643	2.11	0.0006	0.0053	N/A	N/A	N/A
14	0.065842	0.065152	0.9645	2.05	0.0008	0.0064	1.0000	1.0000	1.0000
15	0.065735	N/A	0.9629	2.10	0.0008	0.0071	N/A	N/A	N/A
16	0.065328	0.064718	0.9622	2.06	0.0010	0.0082	1.0000	1.0000	1.0000
17	0.065109	N/A	0.9628	2.04	0.0011	0.0084	N/A	N/A	N/A
18	0.065340	0.063855	0.9609	2.07	0.0013	0.0098	1.0000	1.0000	1.0000
19	0.064653	N/A	0.9583	2.02	0.0015	0.0106	N/A	N/A	N/A
20	0.064548	0.064433	0.9546	2.01	0.0017	0.0112	1.0000	1.0000	1.0000
21	0.064708	N/A	0.9545	2.00	0.0020	0.0115	N/A	N/A	N/A
22	0.064281	0.063664	0.9543	1.99	0.0020	0.0117	1.0000	1.0000	1.0000
23	0.063888	N/A	0.9550	2.02	0.0022	0.0121	N/A	N/A	N/A
24	0.063911	0.063846	0.9555	1.99	0.0023	0.0128	1.0000	1.0000	1.0000
25	0.063725	N/A	0.9543	2.06	0.0025	0.0133	N/A	N/A	N/A
26	0.063412	0.063860	0.9545	1.97	0.0026	0.0140	1.0000	1.0000	1.0000
27	0.063257	N/A	0.9553	1.97	0.0028	0.0138	N/A	N/A	N/A
28	0.063068	0.063850	0.9492	1.96	0.0030	0.0145	1.0000	1.0000	1.0000
29	0.062849	N/A	0.9526	1.94	0.0030	0.0147	N/A	N/A	N/A
30	0.062886	0.064896	0.9488	1.97	0.0032	0.0149	1.0000	1.0000	1.0000
31	0.062670	N/A	0.9483	1.95	0.0034	0.0151	N/A	N/A	N/A
32	0.062465	0.063435	0.9461	1.95	0.0035	0.0156	1.0000	1.0000	1.0000
33	0.062700	N/A	0.9458	1.95	0.0035	0.0160	N/A	N/A	N/A
34	0.062003	0.063951	0.9473	1.95	0.0037	0.0162	1.0000	1.0000	1.0000
35	0.061953	N/A	0.9470	1.97	0.0038	0.0167	N/A	N/A	N/A
36	0.061797	0.064235	0.9466	1.95	0.0038	0.0167	1.0000	1.0000	1.0000
37	0.061772	N/A	0.9466	1.96	0.0039	0.0168	N/A	N/A	N/A
38	0.061448	0.064179	0.9461	1.94	0.0040	0.0170	1.0000	1.0000	1.0000
39	0.061315	N/A	0.9461	1.95	0.0040	0.0172	N/A	N/A	N/A
40	0.061241	0.063961	0.9457	1.96	0.0041	0.0174	1.0000	1.0000	1.0000
41	0.061167	N/A	0.9457	1.95	0.0041	0.0175	N/A	N/A	N/A
42	0.061024	0.064195	0.9456	1.94	0.0041	0.0176	1.0000	1.0000	1.0000
43	0.060833	N/A	0.9456	1.95	0.0042	0.0177	N/A	N/A	N/A
44	0.060672	0.063942	0.9456	1.94	0.0042	0.0177	1.0000	1.0000	1.0000
45	0.060663	N/A	0.9455	1.95	0.0042	0.0177	N/A	N/A	N/A
46	0.060445	0.063811	0.9455	1.95	0.0042	0.0177	1.0000	1.0000	1.0000
47	0.060188	N/A	0.9455	1.95	0.0042	0.0178	N/A	N/A	N/A
48	0.060388	0.063733	0.9456	1.96	0.0042	0.0177	1.0000	1.0000	1.0000
49	0.060542	N/A	0.9455	1.95	0.0042	0.0178	N/A	N/A	N/A
50	0.060321	0.063742	0.9455	1.95	0.0042	0.0178	1.0000	1.0000	1.0000
