epoch	train_task_loss	val_loss	expert_entropy_normalized	avg_depth	mean_cos_sim	max_cos_sim	routing_accuracy	routing_hungarian_acc	routing_ami
1	0.082741	N/A	0.8986	2.21	-0.0005	0.0027	N/A	N/A	N/A
2	0.076978	0.072104	0.9437	2.41	-0.0009	0.0032	0.7658	0.8963	0.9446
3	0.076274	N/A	0.9517	2.25	-0.0009	0.0033	N/A	N/A	N/A
4	0.074328	0.072656	0.9364	2.13	-0.0008	0.0036	0.9985	0.9985	0.9953
5	0.072953	N/A	0.9171	2.04	-0.0007	0.0037	N/A	N/A	N/A
6	0.071640	0.068474	0.9085	2.05	-0.0005	0.0050	1.0000	1.0000	1.0000
7	0.069876	N/A	0.9010	2.13	-0.0003	0.0077	N/A	N/A	N/A
8	0.069421	0.067896	0.8884	2.12	-0.0001	0.0091	1.0000	1.0000	1.0000
9	0.068005	N/A	0.9048	2.23	0.0001	0.0102	N/A	N/A	N/A
10	0.067576	0.065174	0.8966	2.22	0.0004	0.0118	1.0000	1.0000	1.0000
11	0.067324	N/A	0.9012	2.13	0.0005	0.0124	N/A	N/A	N/A
12	0.066537	0.065213	0.8937	2.10	0.0007	0.0135	1.0000	1.0000	1.0000
13	0.066161	N/A	0.8852	2.07	0.0009	0.0137	N/A	N/A	N/A
14	0.066175	0.066404	0.8929	2.12	0.0010	0.0151	1.0000	1.0000	1.0000
15	0.065991	N/A	0.9015	2.14	0.0012	0.0160	N/A	N/A	N/A
16	0.065444	0.064799	0.8911	2.11	0.0014	0.0171	1.0000	1.0000	1.0000
17	0.065019	N/A	0.9107	1.96	0.0017	0.0182	N/A	N/A	N/A
18	0.065087	0.064804	0.9219	2.07	0.0018	0.0188	1.0000	1.0000	1.0000
19	0.064829	N/A	0.9066	1.93	0.0021	0.0196	N/A	N/A	N/A
20	0.064515	0.063629	0.9313	1.93	0.0023	0.0202	1.0000	1.0000	1.0000
21	0.065136	N/A	0.9332	1.87	0.0024	0.0214	N/A	N/A	N/A
22	0.064494	0.063843	0.9261	1.90	0.0026	0.0216	1.0000	1.0000	1.0000
23	0.064121	N/A	0.9308	1.85	0.0027	0.0218	N/A	N/A	N/A
24	0.063753	0.063600	0.9376	1.83	0.0029	0.0227	1.0000	1.0000	1.0000
25	0.063883	N/A	0.9387	1.81	0.0031	0.0234	N/A	N/A	N/A
26	0.063382	0.063700	0.9384	1.83	0.0033	0.0236	1.0000	1.0000	1.0000
27	0.063092	N/A	0.9388	1.81	0.0035	0.0243	N/A	N/A	N/A
28	0.063008	0.063756	0.9395	1.82	0.0037	0.0246	1.0000	1.0000	1.0000
29	0.062999	N/A	0.9398	1.83	0.0038	0.0248	N/A	N/A	N/A
30	0.062868	0.064309	0.9397	1.79	0.0040	0.0253	1.0000	1.0000	1.0000
31	0.062400	N/A	0.9395	1.81	0.0041	0.0253	N/A	N/A	N/A
32	0.062435	0.063838	0.9395	1.80	0.0041	0.0256	1.0000	1.0000	1.0000
33	0.062383	N/A	0.9396	1.81	0.0043	0.0261	N/A	N/A	N/A
34	0.061978	0.064346	0.9397	1.81	0.0044	0.0264	1.0000	1.0000	1.0000
35	0.061856	N/A	0.9397	1.81	0.0046	0.0268	N/A	N/A	N/A
36	0.061841	0.063685	0.9393	1.83	0.0046	0.0268	1.0000	1.0000	1.0000
37	0.061320	N/A	0.9397	1.80	0.0047	0.0271	N/A	N/A	N/A
38	0.061424	0.063866	0.9397	1.80	0.0047	0.0270	1.0000	1.0000	1.0000
39	0.061257	N/A	0.9396	1.80	0.0048	0.0273	N/A	N/A	N/A
40	0.061250	0.064051	0.9396	1.81	0.0049	0.0274	1.0000	1.0000	1.0000
41	0.061093	N/A	0.9396	1.80	0.0049	0.0275	N/A	N/A	N/A
42	0.060698	0.063587	0.9395	1.80	0.0050	0.0276	1.0000	1.0000	1.0000
43	0.060873	N/A	0.9396	1.81	0.0050	0.0276	N/A	N/A	N/A
44	0.060816	0.063657	0.9395	1.84	0.0050	0.0277	1.0000	1.0000	1.0000
45	0.060492	N/A	0.9395	1.84	0.0050	0.0276	N/A	N/A	N/A
46	0.060595	0.063683	0.9395	1.82	0.0050	0.0276	1.0000	1.0000	1.0000
47	0.060441	N/A	0.9396	1.80	0.0050	0.0277	N/A	N/A	N/A
48	0.060391	0.063692	0.9396	1.81	0.0050	0.0277	1.0000	1.0000	1.0000
49	0.060107	N/A	0.9396	1.81	0.0050	0.0277	N/A	N/A	N/A
50	0.060274	0.063700	0.9396	1.81	0.0050	0.0277	1.0000	1.0000	1.0000
