epoch	train_task_loss	val_loss	expert_entropy_normalized	avg_depth	mean_cos_sim	max_cos_sim	routing_accuracy	routing_hungarian_acc	routing_ami
1	0.091084	N/A	0.8969	2.18	-0.0004	0.0035	N/A	N/A	N/A
2	0.075393	0.074075	0.9338	2.16	-0.0001	0.0036	0.1214	0.4988	0.5310
3	0.073987	N/A	0.9363	2.14	0.0004	0.0049	N/A	N/A	N/A
4	0.072560	0.070473	0.9269	2.09	0.0012	0.0066	0.1232	0.5513	0.5566
5	0.072106	N/A	0.9313	2.02	0.0024	0.0129	N/A	N/A	N/A
6	0.072315	0.070262	0.9692	2.05	0.0041	0.0176	0.1859	0.4014	0.3754
7	0.071342	N/A	0.9377	2.03	0.0057	0.0216	N/A	N/A	N/A
8	0.071112	0.066903	0.9769	2.09	0.0069	0.0282	0.1232	0.5544	0.5337
9	0.069194	N/A	0.9837	2.04	0.0082	0.0319	N/A	N/A	N/A
10	0.069183	0.066275	0.9737	2.02	0.0095	0.0371	0.1798	0.4881	0.3988
11	0.067619	N/A	0.9726	1.99	0.0107	0.0433	N/A	N/A	N/A
12	0.066859	0.067908	0.9843	2.06	0.0116	0.0465	0.1242	0.4756	0.4789
13	0.066928	N/A	0.9755	2.00	0.0126	0.0501	N/A	N/A	N/A
14	0.066415	0.065799	0.9761	2.00	0.0138	0.0553	0.1953	0.4758	0.5072
15	0.066536	N/A	0.9839	2.00	0.0151	0.0603	N/A	N/A	N/A
16	0.065844	0.065126	0.9909	2.00	0.0164	0.0648	0.1811	0.4727	0.4692
17	0.065367	N/A	0.9858	2.01	0.0177	0.0718	N/A	N/A	N/A
18	0.065211	0.064121	0.9929	2.01	0.0189	0.0744	0.1242	0.5296	0.5121
19	0.064937	N/A	0.9972	2.01	0.0198	0.0755	N/A	N/A	N/A
20	0.064888	0.063500	0.9928	2.01	0.0210	0.0792	0.1236	0.4517	0.4318
21	0.064426	N/A	0.9904	2.01	0.0221	0.0825	N/A	N/A	N/A
22	0.064451	0.064145	0.9961	2.01	0.0228	0.0843	0.2038	0.4851	0.5192
23	0.064385	N/A	0.9964	2.02	0.0236	0.0867	N/A	N/A	N/A
24	0.063998	0.063994	0.9960	2.04	0.0243	0.0886	0.1235	0.5294	0.5389
25	0.063698	N/A	0.9940	2.04	0.0253	0.0915	N/A	N/A	N/A
26	0.063658	0.063713	0.9960	2.01	0.0261	0.0931	0.2795	0.4638	0.5139
27	0.063497	N/A	0.9978	2.02	0.0267	0.0939	N/A	N/A	N/A
28	0.063326	0.063778	0.9962	2.08	0.0271	0.0946	0.1238	0.5292	0.5057
29	0.063036	N/A	0.9969	2.01	0.0278	0.0976	N/A	N/A	N/A
30	0.062759	0.063053	0.9991	2.00	0.0285	0.0981	0.1257	0.4734	0.4710
31	0.062548	N/A	0.9974	1.98	0.0287	0.0991	N/A	N/A	N/A
32	0.062577	0.063670	0.9968	2.00	0.0292	0.0994	0.2589	0.4250	0.4438
33	0.062233	N/A	0.9907	1.99	0.0295	0.1003	N/A	N/A	N/A
34	0.061954	0.063060	0.9925	1.98	0.0299	0.1016	0.1228	0.5024	0.4960
35	0.061928	N/A	0.9973	1.99	0.0301	0.1020	N/A	N/A	N/A
36	0.061657	0.063171	0.9949	1.97	0.0302	0.1027	0.1252	0.5592	0.5427
37	0.061350	N/A	0.9951	1.97	0.0305	0.1032	N/A	N/A	N/A
38	0.061154	0.063624	0.9919	1.97	0.0306	0.1034	0.1236	0.5522	0.5200
39	0.060815	N/A	0.9947	1.98	0.0307	0.1033	N/A	N/A	N/A
40	0.060844	0.063891	0.9965	1.99	0.0307	0.1036	0.1236	0.5518	0.5334
41	0.060668	N/A	0.9987	1.98	0.0308	0.1036	N/A	N/A	N/A
42	0.060457	0.063544	0.9966	1.97	0.0308	0.1038	0.1233	0.5520	0.5332
43	0.060468	N/A	0.9923	1.98	0.0308	0.1039	N/A	N/A	N/A
44	0.060113	0.063280	0.9949	1.97	0.0308	0.1040	0.1234	0.5521	0.5310
45	0.060240	N/A	0.9967	1.96	0.0308	0.1040	N/A	N/A	N/A
46	0.060124	0.063503	0.9962	1.97	0.0308	0.1040	0.1234	0.5446	0.5317
47	0.060145	N/A	0.9972	1.97	0.0308	0.1040	N/A	N/A	N/A
48	0.059900	0.063507	0.9968	1.97	0.0308	0.1040	0.1234	0.5518	0.5299
49	0.059881	N/A	0.9966	1.97	0.0308	0.1039	N/A	N/A	N/A
50	0.059855	0.063472	0.9966	1.98	0.0308	0.1040	0.1234	0.5519	0.5302
