epoch	train_task_loss	val_loss	expert_entropy_normalized	avg_depth	mean_cos_sim	max_cos_sim	routing_accuracy	routing_hungarian_acc	routing_ami
1	0.087320	N/A	0.9036	2.06	0.0001	0.0031	N/A	N/A	N/A
2	0.074998	0.070946	0.9019	2.05	0.0005	0.0032	0.0823	0.3449	0.3250
3	0.072589	N/A	0.9654	2.00	0.0013	0.0055	N/A	N/A	N/A
4	0.071752	0.070288	0.9600	2.00	0.0023	0.0094	0.1536	0.3937	0.3434
5	0.071160	N/A	0.9818	2.01	0.0039	0.0144	N/A	N/A	N/A
6	0.070094	0.067532	0.9806	2.02	0.0055	0.0196	0.0145	0.4763	0.4586
7	0.069054	N/A	0.9743	2.04	0.0069	0.0240	N/A	N/A	N/A
8	0.069113	0.067447	0.9780	2.03	0.0096	0.0295	0.0079	0.5908	0.5221
9	0.068110	N/A	0.9837	2.01	0.0106	0.0320	N/A	N/A	N/A
10	0.067835	0.066071	0.9882	2.01	0.0133	0.0394	0.0600	0.4311	0.3626
11	0.067011	N/A	0.9933	2.01	0.0150	0.0472	N/A	N/A	N/A
12	0.066843	0.064028	0.9846	2.07	0.0171	0.0526	0.0039	0.4570	0.4079
13	0.066914	N/A	0.9909	2.00	0.0199	0.0586	N/A	N/A	N/A
14	0.065997	0.065022	0.9931	2.01	0.0209	0.0618	0.0755	0.4389	0.4103
15	0.066334	N/A	0.9949	2.00	0.0232	0.0663	N/A	N/A	N/A
16	0.065690	0.065569	0.9924	1.96	0.0254	0.0715	0.0790	0.4913	0.4691
17	0.065261	N/A	0.9965	2.02	0.0268	0.0753	N/A	N/A	N/A
18	0.065114	0.063815	0.9960	2.01	0.0282	0.0820	0.0780	0.4906	0.4288
19	0.065065	N/A	0.9871	1.99	0.0299	0.0856	N/A	N/A	N/A
20	0.064848	0.063625	0.9827	2.03	0.0314	0.0890	0.0793	0.4483	0.4418
21	0.064238	N/A	0.9938	2.01	0.0323	0.0929	N/A	N/A	N/A
22	0.064226	0.063596	0.9966	1.97	0.0334	0.0954	0.1566	0.4910	0.4336
23	0.064177	N/A	0.9962	2.01	0.0349	0.1013	N/A	N/A	N/A
24	0.063753	0.062815	0.9973	1.99	0.0359	0.1031	0.0764	0.4866	0.4284
25	0.063575	N/A	0.9993	2.01	0.0370	0.1057	N/A	N/A	N/A
26	0.063296	0.063613	0.9957	1.99	0.0377	0.1074	0.0797	0.4763	0.4314
27	0.063503	N/A	0.9928	2.00	0.0384	0.1085	N/A	N/A	N/A
28	0.063209	0.063433	0.9944	1.97	0.0391	0.1100	0.0885	0.4662	0.4152
29	0.062938	N/A	0.9931	1.98	0.0397	0.1107	N/A	N/A	N/A
30	0.062735	0.062777	0.9925	1.98	0.0405	0.1122	0.0793	0.4868	0.4501
31	0.062379	N/A	0.9899	1.95	0.0411	0.1131	N/A	N/A	N/A
32	0.062272	0.063243	0.9906	1.96	0.0416	0.1153	0.0810	0.5173	0.4631
33	0.062183	N/A	0.9975	2.00	0.0422	0.1167	N/A	N/A	N/A
34	0.061920	0.063321	0.9908	1.92	0.0425	0.1171	0.0810	0.4406	0.3675
35	0.061697	N/A	0.9969	1.99	0.0426	0.1171	N/A	N/A	N/A
36	0.061516	0.062601	0.9972	2.01	0.0429	0.1175	0.0800	0.5450	0.4957
37	0.061387	N/A	0.9940	1.98	0.0431	0.1177	N/A	N/A	N/A
38	0.061134	0.063083	0.9967	2.00	0.0431	0.1179	0.0800	0.4717	0.4016
39	0.061018	N/A	0.9910	2.00	0.0432	0.1182	N/A	N/A	N/A
40	0.060794	0.062845	0.9939	2.01	0.0434	0.1190	0.0805	0.4421	0.4047
41	0.060738	N/A	0.9912	2.04	0.0434	0.1191	N/A	N/A	N/A
42	0.060394	0.062654	0.9905	2.02	0.0435	0.1192	0.0806	0.5418	0.4953
43	0.060354	N/A	0.9960	2.05	0.0435	0.1191	N/A	N/A	N/A
44	0.060172	0.062794	0.9933	2.03	0.0435	0.1193	0.0802	0.5486	0.4869
45	0.060128	N/A	0.9922	2.04	0.0435	0.1192	N/A	N/A	N/A
46	0.060135	0.062944	0.9901	2.05	0.0435	0.1191	0.0805	0.5559	0.5088
47	0.059787	N/A	0.9883	2.05	0.0435	0.1191	N/A	N/A	N/A
48	0.059978	0.062779	0.9855	2.05	0.0434	0.1190	0.0805	0.4842	0.4266
49	0.059741	N/A	0.9851	2.03	0.0434	0.1190	N/A	N/A	N/A
50	0.059726	0.062770	0.9858	2.05	0.0434	0.1190	0.0805	0.5051	0.4426
