epoch	train_task_loss	val_loss	expert_entropy_normalized	avg_depth	mean_cos_sim	max_cos_sim	routing_accuracy	routing_hungarian_acc	routing_ami
1	0.083610	N/A	0.8277	2.16	-0.0002	0.0037	N/A	N/A	N/A
2	0.074373	0.072395	0.9118	2.09	0.0002	0.0038	0.1786	0.4567	0.4060
3	0.072464	N/A	0.9218	2.02	0.0008	0.0054	N/A	N/A	N/A
4	0.071294	0.069134	0.9485	2.03	0.0016	0.0090	0.1753	0.4993	0.4615
5	0.070170	N/A	0.9431	2.01	0.0027	0.0133	N/A	N/A	N/A
6	0.068825	0.067357	0.9650	2.10	0.0035	0.0157	0.0963	0.4583	0.4403
7	0.068335	N/A	0.9679	2.04	0.0046	0.0195	N/A	N/A	N/A
8	0.068140	0.065927	0.9652	2.02	0.0060	0.0232	0.1752	0.4247	0.3800
9	0.067102	N/A	0.9715	2.02	0.0076	0.0318	N/A	N/A	N/A
10	0.067092	0.066889	0.9697	2.01	0.0088	0.0359	0.0923	0.4149	0.3582
11	0.069001	N/A	0.9541	2.04	0.0102	0.0390	N/A	N/A	N/A
12	0.067819	0.067119	0.9321	2.01	0.0118	0.0420	0.1514	0.5060	0.5021
13	0.069107	N/A	0.9673	2.08	0.0148	0.0494	N/A	N/A	N/A
14	0.066778	0.064899	0.9741	2.04	0.0176	0.0536	0.0980	0.4443	0.3965
15	0.066014	N/A	0.9596	1.99	0.0196	0.0560	N/A	N/A	N/A
16	0.065602	0.064213	0.9717	2.02	0.0202	0.0538	0.0993	0.5655	0.5317
17	0.065625	N/A	0.9409	2.01	0.0236	0.0614	N/A	N/A	N/A
18	0.067463	0.065077	0.9553	2.03	0.0259	0.0652	0.0830	0.4486	0.3751
19	0.066117	N/A	0.9661	1.98	0.0272	0.0690	N/A	N/A	N/A
20	0.065549	0.064094	0.9626	2.00	0.0286	0.0709	0.0818	0.4153	0.3553
21	0.065011	N/A	0.9755	2.07	0.0293	0.0714	N/A	N/A	N/A
22	0.064630	0.063865	0.9719	2.05	0.0302	0.0730	0.0814	0.4486	0.3685
23	0.064161	N/A	0.9904	2.02	0.0309	0.0737	N/A	N/A	N/A
24	0.063896	0.063422	0.9790	2.11	0.0315	0.0746	0.0875	0.4494	0.3958
25	0.063958	N/A	0.9771	1.97	0.0321	0.0750	N/A	N/A	N/A
26	0.063700	0.063663	0.9864	2.05	0.0326	0.0765	0.1598	0.4117	0.3639
27	0.063350	N/A	0.9778	1.98	0.0333	0.0768	N/A	N/A	N/A
28	0.063376	0.064319	0.9803	2.04	0.0339	0.0771	0.0104	0.4111	0.3344
29	0.062906	N/A	0.9866	2.06	0.0342	0.0787	N/A	N/A	N/A
30	0.062726	0.063744	0.9862	2.00	0.0346	0.0787	0.1553	0.4439	0.3724
31	0.062719	N/A	0.9858	2.01	0.0348	0.0782	N/A	N/A	N/A
32	0.062421	0.063768	0.9854	2.00	0.0351	0.0794	0.0820	0.4427	0.3846
33	0.062226	N/A	0.9867	2.03	0.0353	0.0794	N/A	N/A	N/A
34	0.062080	0.063003	0.9910	1.99	0.0354	0.0797	0.0098	0.4582	0.3940
35	0.061773	N/A	0.9901	1.98	0.0356	0.0794	N/A	N/A	N/A
36	0.061591	0.063851	0.9920	2.01	0.0358	0.0797	0.0677	0.4480	0.3396
37	0.061804	N/A	0.9858	2.04	0.0358	0.0798	N/A	N/A	N/A
38	0.061213	0.063546	0.9868	2.00	0.0358	0.0797	0.1427	0.4420	0.3547
39	0.060935	N/A	0.9746	2.00	0.0360	0.0801	N/A	N/A	N/A
40	0.060843	0.063524	0.9810	2.04	0.0360	0.0800	0.0124	0.4575	0.3872
41	0.060684	N/A	0.9896	2.01	0.0360	0.0797	N/A	N/A	N/A
42	0.060502	0.063534	0.9885	2.03	0.0361	0.0795	0.0826	0.4565	0.3767
43	0.060449	N/A	0.9900	2.05	0.0361	0.0797	N/A	N/A	N/A
44	0.060302	0.063713	0.9926	2.07	0.0361	0.0796	0.0352	0.4572	0.3655
45	0.060291	N/A	0.9964	2.07	0.0361	0.0795	N/A	N/A	N/A
46	0.060317	0.063442	0.9956	2.08	0.0361	0.0794	0.0447	0.4574	0.3617
47	0.060005	N/A	0.9945	2.05	0.0361	0.0794	N/A	N/A	N/A
48	0.060093	0.063417	0.9925	2.04	0.0361	0.0794	0.0348	0.4573	0.3650
49	0.059842	N/A	0.9928	2.06	0.0361	0.0794	N/A	N/A	N/A
50	0.059900	0.063532	0.9932	2.05	0.0361	0.0794	0.0454	0.4574	0.3614
