group,run_name,epochs,batch_size,d_model,num_blocks,num_experts,max_depth,fixed_depth,train_task_loss,val_loss,expert_entropy,avg_depth,max_cos_sim,routing_accuracy,elapsed_sec
structural,MoRE_1block,5,768,256,1,7,7,False,0.012556,0.011868,1.943,1.92,0.0082,0.0192,148.03
structural,MoRE_2blocks,5,768,256,2,7,7,False,0.012998,0.012129,1.9366,3.17,0.0086,0.1908,204.79
fixed_depth,FixedDepth_1,5,768,256,1,7,1,True,0.011169,0.010646,1.9392,1.0,0.0194,0.1685,73.32
fixed_depth,FixedDepth_5,5,768,256,1,7,5,True,0.009856,0.009358,1.9219,5.0,0.0065,0.4016,112.60
batch_size,BatchSize_128,5,128,256,1,7,7,False,0.007123,0.006705,1.9403,1.5,0.033,0.1259,460.92
batch_size,BatchSize_256,5,256,256,1,7,7,False,0.011058,0.010278,1.9365,1.53,0.0198,0.2479,258.79
batch_size,BatchSize_512,5,512,256,1,7,7,False,0.01138,0.011571,1.9427,2.58,0.0117,0.0055,158.76
batch_size,BatchSize_1024,5,1024,256,1,7,7,False,0.01245,0.011581,1.9383,1.42,0.0098,0.1901,107.85
batch_size,BatchSize_1536,5,1536,256,1,7,7,False,0.017934,0.015895,1.9291,2.18,0.0072,0.1378,94.75
batch_size,BatchSize_2048,5,2048,256,1,7,7,False,0.018749,0.017217,1.945,2.44,0.0074,0.4196,97.31
batch_size,BatchSize_2560,5,2560,256,1,7,7,False,0.020619,0.019454,1.8919,1.52,0.0044,0.4224,86.15
scaling_laws,Nano_MoE,5,768,128,1,7,1,True,0.013747,0.012328,1.9164,1.0,0.0205,0.3132,71.36
scaling_laws,Nano_MoRE,5,768,128,1,7,7,False,0.015038,0.01317,1.9336,1.56,0.0173,0.297,121.67
scaling_laws,Micro_MoE,5,768,256,1,7,1,True,0.011308,0.010495,1.922,1.0,0.0101,0.3711,71.06
scaling_laws,Micro_MoRE,5,768,256,1,7,7,False,0.012952,0.01274,1.9391,2.31,0.0094,0.2109,125.17
scaling_laws,Mini_MoE,5,768,512,1,7,1,True,0.007253,0.006884,1.9296,1.0,0.0138,0.3327,90.60
scaling_laws,Mini_MoRE,5,768,512,1,7,7,False,0.015195,0.013661,1.9354,1.86,0.0168,0.2395,150.95
scaling_laws,Nano_MoR,5,768,128,1,1,7,False,0.019349,0.015334,-0.0,4.06,-1.0,0.1046,85.43
scaling_laws,Micro_MoR,5,768,256,1,1,7,False,0.025567,0.021126,-0.0,3.53,-1.0,0.1046,80.91
scaling_laws,Mini_MoR,5,768,512,1,1,7,False,0.033598,0.029251,-0.0,3.96,-1.0,0.1046,87.85
