metric,value
depth_dist/step_1_pct,61.30924224853515
depth_dist/step_2_pct,28.097477555274963
depth_dist/step_3_pct,5.66890761256218
depth_dist/step_4_pct,1.4957983046770096
depth_dist/step_5_pct,0.5747898947447538
depth_dist/step_6_pct,0.3243697574362159
depth_dist/step_7_pct,2.529411762952805
diag/max_pairwise_cosine_sim,0.010227890685200691
epoch,50
perf/throughput_tokens_sec,"1,164.1040081046924"
train/aux_routing_loss,0.0006927840715532081
train/avg_recursion_steps,1.453703761100769
train/expert_load_entropy,0
train/halting_loss,0.054659311489392355the entire run t
train/task_loss,0.02001138101131605
train/total_loss,0.38907652977974183
val/loss,0.01821179527895791
