[Epoch 001/50] task=0.1040  bal=26.5634  halt=0.2353  val=0.0576  entropy=1.932  cos=0.005  tok/s=420
[Epoch 002/50] task=0.0581  bal=27.0239  halt=0.2447  val=0.0467  entropy=1.937  cos=0.006  tok/s=393
[Epoch 003/50] task=0.0444  bal=27.0807  halt=0.2283  val=0.0351  entropy=1.931  cos=0.007  tok/s=400
[Epoch 004/50] task=0.0350  bal=27.1307  halt=0.2327  val=0.0430  entropy=1.931  cos=0.008  tok/s=394
[Epoch 005/50] task=0.0374  bal=27.1579  halt=0.2259  val=0.0426  entropy=1.915  cos=0.010  tok/s=398
[Epoch 006/50] task=0.0487  bal=27.2080  halt=0.2558  val=0.0413  entropy=1.904  cos=0.011  tok/s=369
[Epoch 007/50] task=0.0381  bal=27.2162  halt=0.1949  val=0.0404  entropy=1.927  cos=0.012  tok/s=388
[Epoch 008/50] task=0.0449  bal=27.2234  halt=0.2029  val=0.0470  entropy=1.923  cos=0.013  tok/s=385
[Epoch 009/50] task=0.0477  bal=27.2313  halt=0.2455  val=0.0485  entropy=1.936  cos=0.014  tok/s=377
[Epoch 010/50] task=0.0439  bal=27.2360  halt=0.2234  val=0.0451  entropy=1.943  cos=0.015  tok/s=374
[Epoch 011/50] task=0.0447  bal=27.2339  halt=0.2880  val=0.0456  entropy=1.935  cos=0.017  tok/s=366
[Epoch 012/50] task=0.0413  bal=27.2346  halt=0.3124  val=0.0430  entropy=1.908  cos=0.019  tok/s=361
[Epoch 013/50] task=0.0391  bal=27.2379  halt=0.2830  val=0.0438  entropy=1.927  cos=0.020  tok/s=363
[Epoch 014/50] task=0.0409  bal=27.2381  halt=0.2841  val=0.0439  entropy=1.928  cos=0.022  tok/s=373
[Epoch 015/50] task=0.0410  bal=27.2384  halt=0.2647  val=0.0466  entropy=1.916  cos=0.025  tok/s=379
[Epoch 016/50] task=0.0409  bal=27.2349  halt=0.2632  val=0.0428  entropy=1.918  cos=0.025  tok/s=383
[Epoch 017/50] task=0.0433  bal=27.2368  halt=0.2534  val=0.0409  entropy=1.929  cos=0.026  tok/s=380
[Epoch 018/50] task=0.0422  bal=27.2391  halt=0.2038  val=0.0433  entropy=1.943  cos=0.028  tok/s=342
[Epoch 019/50] task=0.0434  bal=27.2396  halt=0.2623  val=0.0464  entropy=1.937  cos=0.028  tok/s=339
[Epoch 020/50] task=0.0485  bal=27.2396  halt=0.2480  val=0.0478  entropy=1.942  cos=0.029  tok/s=364
[Epoch 021/50] task=0.0486  bal=27.2392  halt=0.2175  val=0.0446  entropy=1.940  cos=0.030  tok/s=372
